OBJECTID,DESCRIPTION,ID,MP13019A_B,MP13019A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1002,95571 (Weott),95571,23,68,68,5025000.0,13668.542806526488,1756054002881,Synapse54,1756054002881,Synapse54
1003,95573 (Willow Creek),95573,149,62,62,280682500.0,115810.87884172158,1756054002881,Synapse54,1756054002881,Synapse54
1004,95585 (Leggett),95585,79,122,122,411397575.546875,173138.39033330523,1756054002881,Synapse54,1756054002881,Synapse54
1005,93635 (Los Banos),93635,6834,104,104,2246233750.0,355930.782024106,1756054002881,Synapse54,1756054002881,Synapse54
1006,93636 (Madera),93636,3390,135,135,868111250.0,182889.54223993956,1756054002881,Synapse54,1756054002881,Synapse54
1007,93637 (Madera),93637,4739,91,91,929632500.0,184658.59692763665,1756054002881,Synapse54,1756054002881,Synapse54
1008,93638 (Madera),93638,4714,78,78,346235000.0,112501.24119977794,1756054002881,Synapse54,1756054002881,Synapse54
1009,93640 (Mendota),93640,981,55,55,1840822500.0,318369.87952964316,1756054002881,Synapse54,1756054002881,Synapse54
1010,93641 (Miramonte),93641,52,60,60,112066250.0,70450.30710292947,1756054002881,Synapse54,1756054002881,Synapse54
1011,93643 (North Fork),93643,372,81,81,789527500.0,213179.41519228893,1756054002881,Synapse54,1756054002881,Synapse54
1012,93644 (Oakhurst),93644,1303,114,114,963998750.0,267612.9324411306,1756054002881,Synapse54,1756054002881,Synapse54
1013,93645 (O Neals),93645,39,109,109,163503750.0,102862.77535102062,1756054002881,Synapse54,1756054002881,Synapse54
1014,93646 (Orange Cove),93646,610,48,48,172491250.0,77939.48430778224,1756054002881,Synapse54,1756054002881,Synapse54
1015,93647 (Orosi),93647,640,47,47,278632500.0,96572.70543048352,1756054002881,Synapse54,1756054002881,Synapse54
1016,93648 (Parlier),93648,856,46,46,82298750.0,49244.04250576419,1756054002881,Synapse54,1756054002881,Synapse54
1017,93650 (Fresno),93650,301,67,67,2897500.0,10561.256654038014,1756054002881,Synapse54,1756054002881,Synapse54
1018,93651 (Prather),93651,247,128,128,73731250.0,50815.57171808267,1756054002881,Synapse54,1756054002881,Synapse54
1019,93652 (Raisin City),93652,18,42,42,8100000.0,14102.498439450079,1756054002881,Synapse54,1756054002881,Synapse54
1020,93653 (Raymond),93653,108,72,72,1122716250.0,217740.36624507385,1756054002881,Synapse54,1756054002881,Synapse54
1021,93654 (Reedley),93654,3778,92,92,460216250.0,157158.7969617846,1756054002881,Synapse54,1756054002881,Synapse54
1022,93656 (Riverdale),93656,478,60,60,440418750.0,131471.914829953,1756054002881,Synapse54,1756054002881,Synapse54
1023,93657 (Sanger),93657,4942,103,103,1006098750.0,289296.3227706144,1756054002881,Synapse54,1756054002881,Synapse54
