OBJECTID,DESCRIPTION,ID,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
64,92509 (Jurupa Valley),92509,8965,11.27,11.27,116866250.0,47428.70899972364,1756054216011,Synapse54,1756054216011,Synapse54
65,92518 (March Air Reserve Base),92518,91,5.42,5.42,38241250.0,32992.245231222754,1756054216011,Synapse54,1756054216011,Synapse54
66,92521 (Riverside),92521,21,0.5,0.5,4610000.0,12148.698391121136,1756054216011,Synapse54,1756054216011,Synapse54
67,92530 (Lake Elsinore),92530,7426,12.18,12.18,438397500.0,112963.1858719261,1756054216011,Synapse54,1756054216011,Synapse54
68,92532 (Lake Elsinore),92532,3352,12.08,12.08,63673750.0,65388.410720160115,1756054216011,Synapse54,1756054216011,Synapse54
69,92536 (Aguanga),92536,293,8.21,8.21,354418750.0,120213.46731845246,1756054216011,Synapse54,1756054216011,Synapse54
70,92539 (Anza),92539,411,8.45,8.45,579091250.0,144201.50706698783,1756054216011,Synapse54,1756054216011,Synapse54
71,92543 (Hemet),92543,4843,11.89,11.89,68802500.0,61367.79442167451,1756054216011,Synapse54,1756054216011,Synapse54
72,92544 (Hemet),92544,5727,11.69,11.69,414903750.0,151338.12956250404,1756054216011,Synapse54,1756054216011,Synapse54
73,92545 (Hemet),92545,4320,9.36,9.36,104872500.0,86730.68453675932,1756054216011,Synapse54,1756054216011,Synapse54
74,92548 (Homeland),92548,1064,11.27,11.27,38288750.0,33509.64277118994,1756054216011,Synapse54,1756054216011,Synapse54
75,92549 (Idyllwild),92549,256,6.26,6.26,358915000.0,107864.63976792223,1756054216011,Synapse54,1756054216011,Synapse54
76,92551 (Moreno Valley),92551,4294,12.43,12.43,22831250.0,19728.964458924765,1756054216011,Synapse54,1756054216011,Synapse54
77,92553 (Moreno Valley),92553,9442,12.34,12.34,38985000.0,28591.739186878363,1756054216011,Synapse54,1756054216011,Synapse54
78,92555 (Moreno Valley),92555,5256,11.08,11.08,275277500.0,91449.45508308428,1756054216011,Synapse54,1756054216011,Synapse54
79,92557 (Moreno Valley),92557,6182,11.32,11.32,79985000.0,53460.86448257353,1756054216011,Synapse54,1756054216011,Synapse54
80,92561 (Mountain Center),92561,116,6.19,6.19,1620912500.0,315017.98964642035,1756054216011,Synapse54,1756054216011,Synapse54
81,92562 (Murrieta),92562,6347,9.95,9.95,221006250.0,95812.13808091207,1756054216011,Synapse54,1756054216011,Synapse54
82,92563 (Murrieta),92563,8183,10.84,10.84,78192500.0,53899.198339420196,1756054216011,Synapse54,1756054216011,Synapse54
83,92567 (Nuevo),92567,1179,10.81,10.81,115155000.0,52551.257802414395,1756054216011,Synapse54,1756054216011,Synapse54
84,92570 (Perris),92570,7577,12.44,12.44,391848750.0,141636.61094909988,1756054216011,Synapse54,1756054216011,Synapse54
85,92571 (Perris),92571,7922,13.12,13.12,129411250.0,59493.83243138058,1756054216011,Synapse54,1756054216011,Synapse54
86,92582 (San Jacinto),92582,2811,12.04,12.04,77062500.0,47625.591915771925,1756054216011,Synapse54,1756054216011,Synapse54
87,92583 (San Jacinto),92583,4309,11.86,11.86,117017500.0,68854.68187138022,1756054216011,Synapse54,1756054216011,Synapse54
88,92584 (Menifee),92584,8199,12.22,12.22,125473750.0,88632.97807464864,1756054216011,Synapse54,1756054216011,Synapse54
89,92585 (Menifee),92585,3441,11.42,11.42,65328750.0,63969.72667996268,1756054216011,Synapse54,1756054216011,Synapse54
90,92586 (Menifee),92586,1337,6.05,6.05,22697500.0,25680.59999652119,1756054216011,Synapse54,1756054216011,Synapse54
91,92587 (Menifee),92587,1929,10.95,10.95,33000000.0,28855.688766937034,1756054216011,Synapse54,1756054216011,Synapse54
92,92590 (Temecula),92590,376,7.97,7.97,171402500.0,74224.59376095551,1756054216011,Synapse54,1756054216011,Synapse54
93,92591 (Temecula),92591,4757,10.51,10.51,57467500.0,46864.2059342935,1756054216011,Synapse54,1756054216011,Synapse54
94,92592 (Temecula),92592,7944,9.87,9.87,449697500.0,150010.17362394696,1756054216011,Synapse54,1756054216011,Synapse54
95,92595 (Wildomar),92595,3635,10.26,10.26,77962500.0,49546.47682350081,1756054216011,Synapse54,1756054216011,Synapse54
96,92596 (Winchester),92596,4931,11.62,11.62,236541250.0,105694.89597132463,1756054216011,Synapse54,1756054216011,Synapse54
97,92602 (Irvine),92602,3472,10.45,10.45,54335000.0,48615.20874763779,1756054216011,Synapse54,1756054216011,Synapse54
98,92603 (Irvine),92603,1665,8.18,8.18,49596250.0,39851.28103911499,1756054216011,Synapse54,1756054216011,Synapse54
99,92604 (Irvine),92604,2033,7.39,7.39,12971250.0,14796.767588249384,1756054216011,Synapse54,1756054216011,Synapse54
100,92606 (Irvine),92606,1993,8.64,8.64,11687516.33984375,24285.50058514748,1756054216011,Synapse54,1756054216011,Synapse54
101,92610 (Foothill Ranch),92610,1045,9.23,9.23,41970000.0,42026.008696583456,1756054216011,Synapse54,1756054216011,Synapse54
102,92612 (Irvine),92612,2014,5.93,5.93,24991250.0,30023.681639087186,1756054216011,Synapse54,1756054216011,Synapse54
103,92614 (Irvine),92614,2421,7.79,7.79,16787500.0,22384.83540840505,1756054216011,Synapse54,1756054216011,Synapse54
104,92617 (Irvine),92617,801,3.26,3.26,8672500.0,15412.013244571113,1756054216011,Synapse54,1756054216011,Synapse54
105,92618 (Irvine),92618,8347,12.4,12.4,94576250.0,64024.6551904949,1756054216011,Synapse54,1756054216011,Synapse54
106,92620 (Irvine),92620,6621,10.44,10.44,23306250.0,21025.73996103775,1756054216011,Synapse54,1756054216011,Synapse54
107,92624 (Capistrano Beach),92624,615,8.38,8.38,5602500.0,19224.425787531967,1756054216011,Synapse54,1756054216011,Synapse54
108,92625 (Corona del Mar),92625,695,6.16,6.16,9253750.0,22768.574163236848,1756054216011,Synapse54,1756054216011,Synapse54
109,92626 (Costa Mesa),92626,4356,8.76,8.76,35749444.4375,30953.607275611746,1756054216011,Synapse54,1756054216011,Synapse54
110,92627 (Costa Mesa),92627,6040,9.75,9.75,24660526.3203125,32009.424849547257,1756054216011,Synapse54,1756054216011,Synapse54
111,92629 (Dana Point),92629,1617,6.27,6.27,19367500.0,26404.176955851315,1756054216011,Synapse54,1756054216011,Synapse54
112,92630 (Lake Forest),92630,7221,10.56,10.56,39691250.0,33234.410302807584,1756054216011,Synapse54,1756054216011,Synapse54
113,92637 (Laguna Woods),92637,117,0.64,0.64,12412045.45703125,24637.976550366835,1756054216011,Synapse54,1756054216011,Synapse54
114,92646 (Huntington Beach),92646,4324,7.63,7.63,31957500.0,27762.065402696444,1756054216011,Synapse54,1756054216011,Synapse54
115,92647 (Huntington Beach),92647,5097,8.49,8.49,28932500.0,33867.74871894199,1756054216011,Synapse54,1756054216011,Synapse54
116,92648 (Huntington Beach),92648,2944,6.73,6.73,30280000.0,28473.954706364795,1756054216011,Synapse54,1756054216011,Synapse54
117,92649 (Huntington Beach),92649,2268,6.89,6.89,19831250.0,56450.29251686164,1756054216011,Synapse54,1756054216011,Synapse54
118,92651 (Laguna Beach),92651,1199,5.19,5.19,67526250.0,62490.433798214086,1756054216011,Synapse54,1756054216011,Synapse54
119,92653 (Laguna Hills),92653,2358,8.57,8.57,24331250.0,35888.268819247765,1756054216011,Synapse54,1756054216011,Synapse54
120,92655 (Midway City),92655,607,7.0,7.0,2486250.0,12474.692560266567,1756054216011,Synapse54,1756054216011,Synapse54
121,92656 (Aliso Viejo),92656,5078,9.5,9.5,32877599.19921875,34966.50159209713,1756054216011,Synapse54,1756054216011,Synapse54
122,92657 (Newport Coast),92657,764,8.18,8.18,33871111.109375,40735.605455959,1756054216011,Synapse54,1756054216011,Synapse54
123,92660 (Newport Beach),92660,2592,7.15,7.15,34988824.7734375,72801.1498150933,1756054216011,Synapse54,1756054216011,Synapse54
124,92661 (Newport Beach),92661,193,5.63,5.63,2449775.0,14182.819254330147,1756054216011,Synapse54,1756054216011,Synapse54
125,92662 (Newport Beach),92662,88,3.61,3.61,756250.0,4073.1965054184398,1756054216011,Synapse54,1756054216011,Synapse54
126,92663 (Newport Beach),92663,1227,6.08,6.08,12661250.0,29524.238996506057,1756054216011,Synapse54,1756054216011,Synapse54
127,92672 (San Clemente),92672,3668,8.61,8.61,122097500.0,68144.85534340238,1756054216011,Synapse54,1756054216011,Synapse54
128,92673 (San Clemente),92673,2495,8.66,8.66,43796250.0,35322.34411652421,1756054216011,Synapse54,1756054216011,Synapse54
129,92675 (San Juan Capistrano),92675,3570,8.83,8.83,398135000.0,159328.0017001646,1756054216011,Synapse54,1756054216011,Synapse54
130,92676 (Silverado),92676,149,7.63,7.63,185577580.6484375,69847.88033705542,1756054216011,Synapse54,1756054216011,Synapse54
131,92677 (Laguna Niguel),92677,4735,7.47,7.47,62363750.0,49653.56764980074,1756054216011,Synapse54,1756054216011,Synapse54
132,92679 (Trabuco Canyon),92679,2818,8.58,8.58,131953669.3515625,96766.9142094817,1756054216011,Synapse54,1756054216011,Synapse54
133,92683 (Westminster),92683,6873,7.71,7.71,37225000.0,54186.216950067326,1756054216011,Synapse54,1756054216011,Synapse54
134,92688 (Rancho Santa Margarita),92688,4240,9.62,9.62,34180000.0,38611.769223276526,1756054216011,Synapse54,1756054216011,Synapse54
135,92691 (Mission Viejo),92691,3861,8.51,8.51,33036250.0,38001.18237164921,1756054216011,Synapse54,1756054216011,Synapse54
136,92692 (Mission Viejo),92692,3555,7.82,7.82,36926250.0,46348.02646266434,1756054216011,Synapse54,1756054216011,Synapse54
137,92694 (Ladera Ranch),92694,5107,14.18,14.18,30588750.0,43863.23830896375,1756054216011,Synapse54,1756054216011,Synapse54
138,92697 (Irvine),92697,4,0.79,0.79,640000.0,3555.8432426418512,1756054216011,Synapse54,1756054216011,Synapse54
139,92701 (Santa Ana),92701,5935,11.35,11.35,12300000.0,17909.285594515157,1756054216011,Synapse54,1756054216011,Synapse54
140,92703 (Santa Ana),92703,6085,9.95,9.95,15516250.0,25608.827947224716,1756054216011,Synapse54,1756054216011,Synapse54
141,92704 (Santa Ana),92704,7896,9.64,9.64,28642500.0,33855.42088207186,1756054216011,Synapse54,1756054216011,Synapse54
142,92705 (Santa Ana),92705,4403,8.61,8.61,43200000.0,77393.0258273789,1756054216011,Synapse54,1756054216011,Synapse54
143,92706 (Santa Ana),92706,3447,10.55,10.55,13002500.0,24009.66740740803,1756054216011,Synapse54,1756054216011,Synapse54
144,92707 (Santa Ana),92707,5619,10.46,10.46,19470000.0,30897.365733854946,1756054216011,Synapse54,1756054216011,Synapse54
145,92708 (Fountain Valley),92708,3953,7.19,7.19,33996250.0,27518.702015973777,1756054216011,Synapse54,1756054216011,Synapse54
146,92780 (Tustin),92780,5324,9.92,9.92,24413750.0,32757.49656408988,1756054216011,Synapse54,1756054216011,Synapse54
147,92782 (Tustin),92782,2957,10.04,10.04,21093750.0,42452.81886104531,1756054216011,Synapse54,1756054216011,Synapse54
148,92801 (Anaheim),92801,5835,10.41,10.41,22840000.0,36651.55106988114,1756054216011,Synapse54,1756054216011,Synapse54
149,92802 (Anaheim),92802,3974,9.78,9.78,16627666.6640625,25129.664495851255,1756054216011,Synapse54,1756054216011,Synapse54
150,92804 (Anaheim),92804,8550,9.81,9.81,27093750.0,36797.87377561943,1756054216011,Synapse54,1756054216011,Synapse54
151,92805 (Anaheim),92805,7509,9.75,9.75,24434833.3359375,26630.492011417336,1756054216011,Synapse54,1756054216011,Synapse54
152,92806 (Anaheim),92806,3821,9.68,9.68,30277500.0,35397.16242525879,1756054216011,Synapse54,1756054216011,Synapse54
153,92807 (Anaheim),92807,3255,8.92,8.92,43425000.0,49369.07786874545,1756054216011,Synapse54,1756054216011,Synapse54
154,92808 (Anaheim),92808,1669,8.4,8.4,135771250.0,67114.4473414959,1756054216011,Synapse54,1756054216011,Synapse54
155,92821 (Brea),92821,3931,9.4,9.4,40157500.0,31640.813398465692,1756054216011,Synapse54,1756054216011,Synapse54
156,92823 (Brea),92823,689,11.98,11.98,40087500.0,32182.422041735485,1756054216011,Synapse54,1756054216011,Synapse54
157,92831 (Fullerton),92831,3178,8.24,8.24,22971250.0,23931.067124648023,1756054216011,Synapse54,1756054216011,Synapse54
158,92832 (Fullerton),92832,2624,10.07,10.07,10311250.0,16109.402594640136,1756054216011,Synapse54,1756054216011,Synapse54
159,92833 (Fullerton),92833,4808,9.3,9.3,28923750.0,27760.4610883227,1756054216011,Synapse54,1756054216011,Synapse54
160,92835 (Fullerton),92835,1872,7.63,7.63,21915000.0,32662.879063291384,1756054216011,Synapse54,1756054216011,Synapse54
161,92840 (Garden Grove),92840,4753,8.7,8.7,19585000.0,23926.962718451425,1756054216011,Synapse54,1756054216011,Synapse54
162,92841 (Garden Grove),92841,3175,9.0,9.0,17046250.0,30056.2093910369,1756054216011,Synapse54,1756054216011,Synapse54
163,92843 (Garden Grove),92843,3992,8.94,8.94,14896250.0,29992.39321922365,1756054216011,Synapse54,1756054216011,Synapse54
164,92844 (Garden Grove),92844,2112,8.5,8.5,7895000.0,16403.528390326035,1756054216011,Synapse54,1756054216011,Synapse54
165,92845 (Garden Grove),92845,1370,8.57,8.57,8133750.0,11819.88810437026,1756054216011,Synapse54,1756054216011,Synapse54
166,92860 (Norco),92860,2098,8.09,8.09,54128750.0,49115.86210371589,1756054216011,Synapse54,1756054216011,Synapse54
167,92861 (Villa Park),92861,341,6.11,6.11,8340000.0,17926.67245314459,1756054216011,Synapse54,1756054216011,Synapse54
168,92865 (Orange),92865,2149,10.58,10.58,13336250.0,16133.265595069315,1756054216011,Synapse54,1756054216011,Synapse54
169,92866 (Orange),92866,1638,10.43,10.43,7418750.0,12813.804565973127,1756054216011,Synapse54,1756054216011,Synapse54
170,92867 (Orange),92867,3996,9.2,9.2,29515000.0,52452.17586230138,1756054216011,Synapse54,1756054216011,Synapse54
171,92868 (Orange),92868,2350,8.36,8.36,12813750.0,21889.700334687273,1756054216011,Synapse54,1756054216011,Synapse54
172,92869 (Orange),92869,3123,8.79,8.79,49452500.0,43559.182698021956,1756054216011,Synapse54,1756054216011,Synapse54
173,92870 (Placentia),92870,5074,9.61,9.61,25658750.0,42875.80354717247,1756054216011,Synapse54,1756054216011,Synapse54
174,92878 (Corona),92878,1732,10.26,10.26,28011250.0,43014.98620425098,1756054216011,Synapse54,1756054216011,Synapse54
175,92879 (Corona),92879,5101,10.52,10.52,35812500.0,35718.5917383939,1756054216011,Synapse54,1756054216011,Synapse54
176,92880 (Corona),92880,7007,11.7,11.7,66393750.0,60879.49666935877,1756054216011,Synapse54,1756054216011,Synapse54
177,92881 (Corona),92881,2862,9.4,9.4,87822500.0,78100.13412564347,1756054216011,Synapse54,1756054216011,Synapse54
178,92882 (Corona),92882,6983,10.5,10.5,100377500.0,56643.47421769441,1756054216011,Synapse54,1756054216011,Synapse54
179,92883 (Corona),92883,3963,9.97,9.97,213882500.0,87517.171289697,1756054216011,Synapse54,1756054216011,Synapse54
180,92886 (Yorba Linda),92886,4036,8.21,8.21,56058750.0,49514.934612607736,1756054216011,Synapse54,1756054216011,Synapse54
181,92887 (Yorba Linda),92887,1602,8.0,8.0,34530000.0,37985.248233257116,1756054216011,Synapse54,1756054216011,Synapse54
182,93001 (Ventura),93001,3002,8.38,8.38,328800721.75390625,138054.9955498076,1756054216011,Synapse54,1756054216011,Synapse54
183,93003 (Ventura),93003,4131,8.35,8.35,74552500.0,55676.02575982478,1756054216011,Synapse54,1756054216011,Synapse54
184,90621 (Buena Park),90621,3531,9.96,9.96,14926250.0,21087.679435974318,1756054216011,Synapse54,1756054216011,Synapse54
185,93004 (Ventura),93004,2813,8.92,8.92,26253750.0,24293.608892124525,1756054216011,Synapse54,1756054216011,Synapse54
186,93010 (Camarillo),93010,4313,9.45,9.45,79716250.0,46831.915462838704,1756054216011,Synapse54,1756054216011,Synapse54
187,93012 (Camarillo),93012,2929,7.62,7.62,184080000.0,94772.80839757764,1756054216011,Synapse54,1756054216011,Synapse54
188,93013 (Carpinteria),93013,1304,8.22,8.22,79270000.0,51873.42689239334,1756054216011,Synapse54,1756054216011,Synapse54
189,93015 (Fillmore),93015,2255,11.29,11.29,400038750.0,134789.0342106503,1756054216011,Synapse54,1756054216011,Synapse54
190,93021 (Moorpark),93021,3716,10.17,10.17,234746250.0,99048.10368902325,1756054216011,Synapse54,1756054216011,Synapse54
191,93022 (Oak View),93022,528,9.22,9.22,13133750.0,25118.329999860227,1756054216011,Synapse54,1756054216011,Synapse54
192,93023 (Ojai),93023,1571,7.7,7.7,1181358803.4804688,195447.1922160022,1756054216011,Synapse54,1756054216011,Synapse54
193,93030 (Oxnard),93030,6426,11.2,11.2,53537500.0,50865.79887099985,1756054216011,Synapse54,1756054216011,Synapse54
194,93033 (Oxnard),93033,9287,11.97,11.97,130200000.0,78026.87368580469,1756054216011,Synapse54,1756054216011,Synapse54
195,93035 (Oxnard),93035,2183,7.86,7.86,17435000.0,62007.549074571805,1756054216011,Synapse54,1756054216011,Synapse54
196,93036 (Oxnard),93036,5633,11.38,11.38,57343750.0,44444.19463078578,1756054216011,Synapse54,1756054216011,Synapse54
197,93040 (Piru),93040,286,11.5,11.5,210346250.0,69953.9423901976,1756054216011,Synapse54,1756054216011,Synapse54
198,93041 (Port Hueneme),93041,2485,10.88,10.88,17655000.0,45728.7533863953,1756054216011,Synapse54,1756054216011,Synapse54
199,93042 (Point Mugu Nawc),93042,1,5.88,5.88,21217500.0,39144.09398891686,1756054216011,Synapse54,1756054216011,Synapse54
200,93043 (Port Hueneme CBC Base),93043,165,26.7,26.7,5371250.0,18340.340638344987,1756054216011,Synapse54,1756054216011,Synapse54
201,93060 (Santa Paula),93060,3923,11.11,11.11,444843750.0,130581.77761447629,1756054216011,Synapse54,1756054216011,Synapse54
202,93063 (Simi Valley),93063,4560,8.41,8.41,151668750.0,72081.40181131517,1756054216011,Synapse54,1756054216011,Synapse54
203,93065 (Simi Valley),93065,6735,9.18,9.18,162708750.0,98893.97184780746,1756054216011,Synapse54,1756054216011,Synapse54
204,93066 (Somis),93066,295,9.77,9.77,213165000.0,70614.50191605966,1756054216011,Synapse54,1756054216011,Synapse54
205,93067 (Summerland),93067,49,5.29,5.29,3173750.0,13823.137880104807,1756054216011,Synapse54,1756054216011,Synapse54
206,93101 (Santa Barbara),93101,2360,7.82,7.82,12738750.0,27780.3304886334,1756054216011,Synapse54,1756054216011,Synapse54
207,93103 (Santa Barbara),93103,1458,7.42,7.42,16533750.0,29598.426540677967,1756054216011,Synapse54,1756054216011,Synapse54
208,93105 (Santa Barbara),93105,1890,7.06,7.06,1085646890.625,322486.5248719495,1756054216011,Synapse54,1756054216011,Synapse54
209,93106 (Santa Barbara),93106,17,0.35,0.35,3377500.0,10299.680398798031,1756054216011,Synapse54,1756054216011,Synapse54
210,93108 (Santa Barbara),93108,600,5.59,5.59,166683750.0,95528.79525072398,1756054216011,Synapse54,1756054216011,Synapse54
211,93109 (Santa Barbara),93109,813,7.11,7.11,13007500.0,26406.026345091894,1756054216011,Synapse54,1756054216011,Synapse54
212,93110 (Santa Barbara),93110,1162,7.65,7.65,27055000.0,32648.046786382944,1756054216011,Synapse54,1756054216011,Synapse54
213,93111 (Santa Barbara),93111,1487,8.36,8.36,33908750.0,38270.054689742254,1756054216011,Synapse54,1756054216011,Synapse54
214,93117 (Goleta),93117,3779,7.06,7.06,570517500.0,186790.30470483637,1756054216011,Synapse54,1756054216011,Synapse54
215,93201 (Alpaugh),93201,182,15.88,15.88,53031250.0,42400.502769921804,1756054216011,Synapse54,1756054216011,Synapse54
