OBJECTID,DESCRIPTION,ID,GENZ_FY,GENZ_FY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
26,92364 (Nipton),92364,15,20.27,20.27,6662700000.0,495982.3479221093,1756054260270,Synapse54,1756054260270,Synapse54
27,92365 (Newberry Springs),92365,371,17.67,17.67,2015372500.0,283603.0952464746,1756054260270,Synapse54,1756054260270,Synapse54
28,92368 (Oro Grande),92368,168,19.16,19.16,263910000.0,69753.73208396425,1756054260270,Synapse54,1756054260270,Synapse54
29,92371 (Phelan),92371,3818,22.34,22.34,495092500.0,136736.61966382695,1756054260270,Synapse54,1756054260270,Synapse54
30,92372 (Pinon Hills),92372,915,18.37,18.37,74847500.0,51049.10986571373,1756054260270,Synapse54,1756054260270,Synapse54
31,92373 (Redlands),92373,7777,21.54,21.54,163128750.0,89297.98121789581,1756054260270,Synapse54,1756054260270,Synapse54
32,92374 (Redlands),92374,12649,26.17,26.17,76466250.0,52153.39311998224,1756054260270,Synapse54,1756054260270,Synapse54
33,92376 (Rialto),92376,24041,27.75,27.75,49923750.0,39680.21948472379,1756054260270,Synapse54,1756054260270,Synapse54
34,92377 (Rialto),92377,5441,24.15,24.15,36657500.0,29736.2696185539,1756054260270,Synapse54,1756054260270,Synapse54
35,92378 (Rimforest),92378,59,22.87,22.87,1331250.0,5709.97183051108,1756054260270,Synapse54,1756054260270,Synapse54
36,92382 (Running Springs),92382,925,16.83,16.83,72786250.0,41738.801968663414,1756054260270,Synapse54,1756054260270,Synapse54
37,92384 (Shoshone),92384,12,17.14,17.14,6149136250.0,351475.9713463227,1756054260270,Synapse54,1756054260270,Synapse54
38,92385 (Skyforest),92385,64,19.34,19.34,1886250.0,7682.238548172248,1756054260270,Synapse54,1756054260270,Synapse54
39,92386 (Sugarloaf),92386,326,14.18,14.18,5848750.0,12327.857358947613,1756054260270,Synapse54,1756054260270,Synapse54
40,92389 (Tecopa),92389,50,19.84,19.84,1444243750.0,199918.4382367414,1756054260270,Synapse54,1756054260270,Synapse54
41,92391 (Twin Peaks),92391,519,22.3,22.3,7715000.0,18302.818690646458,1756054260270,Synapse54,1756054260270,Synapse54
42,92392 (Victorville),92392,19325,28.67,28.67,137711250.0,60765.98824847531,1756054260270,Synapse54,1756054260270,Synapse54
43,92394 (Victorville),92394,13056,29.47,29.47,121477500.0,88305.61698855038,1756054260270,Synapse54,1756054260270,Synapse54
44,92395 (Victorville),92395,12758,26.62,26.62,68708145.1640625,47846.85223202196,1756054260270,Synapse54,1756054260270,Synapse54
45,92397 (Wrightwood),92397,861,16.67,16.67,140215000.0,84425.74718512002,1756054260270,Synapse54,1756054260270,Synapse54
46,92398 (Yermo),92398,256,22.18,22.18,101285000.0,60647.751832491886,1756054260270,Synapse54,1756054260270,Synapse54
47,92399 (Yucaipa),92399,12142,21.35,21.35,172393750.0,78202.61353775508,1756054260270,Synapse54,1756054260270,Synapse54
48,85328 (Cibola),85328,23,13.94,13.94,527471250.0,162187.00041854146,1756054260270,Synapse54,1756054260270,Synapse54
49,92401 (San Bernardino),92401,470,27.81,27.81,2431250.0,11026.825288417274,1756054260270,Synapse54,1756054260270,Synapse54
50,92404 (San Bernardino),92404,17730,27.43,27.43,83843750.0,59702.91140620923,1756054260270,Synapse54,1756054260270,Synapse54
51,92405 (San Bernardino),92405,8287,27.26,27.26,19550000.0,22817.92291360122,1756054260270,Synapse54,1756054260270,Synapse54
52,92407 (San Bernardino),92407,19570,28.13,28.13,655255227.2773438,262930.7761975885,1756054260270,Synapse54,1756054260270,Synapse54
53,92408 (San Bernardino),92408,4201,27.88,27.88,44236250.0,37255.81035689737,1756054260270,Synapse54,1756054260270,Synapse54
54,92410 (San Bernardino),92410,15168,30.03,30.03,31268750.0,49893.12531732991,1756054260270,Synapse54,1756054260270,Synapse54
55,92411 (San Bernardino),92411,8117,30.59,30.59,17991250.0,18900.85406904243,1756054260270,Synapse54,1756054260270,Synapse54
56,92415 (San Bernardino),92415,0,0.0,0.0,275000.0,3000.0,1756054260270,Synapse54,1756054260270,Synapse54
57,92501 (Riverside),92501,6044,25.06,25.06,22537500.0,29360.344553073046,1756054260270,Synapse54,1756054260270,Synapse54
58,92503 (Riverside),92503,24055,25.28,25.28,107661250.0,83524.3000869383,1756054260270,Synapse54,1756054260270,Synapse54
59,92504 (Riverside),92504,13869,24.65,24.65,85888750.0,78010.88809143189,1756054260270,Synapse54,1756054260270,Synapse54
60,92505 (Riverside),92505,13391,26.81,26.81,47511250.0,39417.83554710996,1756054260270,Synapse54,1756054260270,Synapse54
61,92506 (Riverside),92506,9427,20.54,20.54,65882500.0,59310.71744028767,1756054260270,Synapse54,1756054260270,Synapse54
62,92507 (Riverside),92507,24999,35.51,35.51,67203750.0,75253.54192382339,1756054260270,Synapse54,1756054260270,Synapse54
63,92508 (Riverside),92508,8436,23.63,23.63,48228750.0,42104.659565642694,1756054260270,Synapse54,1756054260270,Synapse54
64,92509 (Jurupa Valley),92509,20873,25.96,25.96,116866250.0,47428.70899972364,1756054260270,Synapse54,1756054260270,Synapse54
65,92518 (March Air Reserve Base),92518,196,10.53,10.53,38241250.0,32992.245231222754,1756054260270,Synapse54,1756054260270,Synapse54
66,92521 (Riverside),92521,4138,98.29,98.29,4610000.0,12148.698391121136,1756054260270,Synapse54,1756054260270,Synapse54
67,92530 (Lake Elsinore),92530,16244,25.99,25.99,438397500.0,112963.1858719261,1756054260270,Synapse54,1756054260270,Synapse54
68,92532 (Lake Elsinore),92532,7325,25.8,25.8,63673750.0,65388.410720160115,1756054260270,Synapse54,1756054260270,Synapse54
69,92536 (Aguanga),92536,538,14.99,14.99,354418750.0,120213.46731845246,1756054260270,Synapse54,1756054260270,Synapse54
70,92539 (Anza),92539,791,16.44,16.44,579091250.0,144201.50706698783,1756054260270,Synapse54,1756054260270,Synapse54
71,92543 (Hemet),92543,9360,22.47,22.47,68802500.0,61367.79442167451,1756054260270,Synapse54,1756054260270,Synapse54
72,92544 (Hemet),92544,11865,24.32,24.32,414903750.0,151338.12956250404,1756054260270,Synapse54,1756054260270,Synapse54
73,92545 (Hemet),92545,9371,20.05,20.05,104872500.0,86730.68453675932,1756054260270,Synapse54,1756054260270,Synapse54
74,92548 (Homeland),92548,2541,26.03,26.03,38288750.0,33509.64277118994,1756054260270,Synapse54,1756054260270,Synapse54
75,92549 (Idyllwild),92549,592,14.66,14.66,358915000.0,107864.63976792223,1756054260270,Synapse54,1756054260270,Synapse54
76,92551 (Moreno Valley),92551,9618,27.06,27.06,22831250.0,19728.964458924765,1756054260270,Synapse54,1756054260270,Synapse54
77,92553 (Moreno Valley),92553,22504,29.08,29.08,38985000.0,28591.739186878363,1756054260270,Synapse54,1756054260270,Synapse54
78,92555 (Moreno Valley),92555,13497,25.94,25.94,275277500.0,91449.45508308428,1756054260270,Synapse54,1756054260270,Synapse54
79,92557 (Moreno Valley),92557,13991,25.26,25.26,79985000.0,53460.86448257353,1756054260270,Synapse54,1756054260270,Synapse54
80,92561 (Mountain Center),92561,256,13.47,13.47,1620912500.0,315017.98964642035,1756054260270,Synapse54,1756054260270,Synapse54
81,92562 (Murrieta),92562,16386,23.54,23.54,221006250.0,95812.13808091207,1756054260270,Synapse54,1756054260270,Synapse54
82,92563 (Murrieta),92563,19703,25.16,25.16,78192500.0,53899.198339420196,1756054260270,Synapse54,1756054260270,Synapse54
83,92567 (Nuevo),92567,2993,25.53,25.53,115155000.0,52551.257802414395,1756054260270,Synapse54,1756054260270,Synapse54
84,92570 (Perris),92570,16528,26.7,26.7,391848750.0,141636.61094909988,1756054260270,Synapse54,1756054260270,Synapse54
85,92571 (Perris),92571,18200,29.33,29.33,129411250.0,59493.83243138058,1756054260270,Synapse54,1756054260270,Synapse54
86,92582 (San Jacinto),92582,6788,27.89,27.89,77062500.0,47625.591915771925,1756054260270,Synapse54,1756054260270,Synapse54
87,92583 (San Jacinto),92583,9802,26.09,26.09,117017500.0,68854.68187138022,1756054260270,Synapse54,1756054260270,Synapse54
88,92584 (Menifee),92584,17142,24.17,24.17,125473750.0,88632.97807464864,1756054260270,Synapse54,1756054260270,Synapse54
89,92585 (Menifee),92585,7194,22.87,22.87,65328750.0,63969.72667996268,1756054260270,Synapse54,1756054260270,Synapse54
90,92586 (Menifee),92586,2896,12.97,12.97,22697500.0,25680.59999652119,1756054260270,Synapse54,1756054260270,Synapse54
91,92587 (Menifee),92587,3554,20.16,20.16,33000000.0,28855.688766937034,1756054260270,Synapse54,1756054260270,Synapse54
92,92590 (Temecula),92590,1150,24.4,24.4,171402500.0,74224.59376095551,1756054260270,Synapse54,1756054260270,Synapse54
93,92591 (Temecula),92591,10942,23.46,23.46,57467500.0,46864.2059342935,1756054260270,Synapse54,1756054260270,Synapse54
94,92592 (Temecula),92592,18803,23.36,23.36,449697500.0,150010.17362394696,1756054260270,Synapse54,1756054260270,Synapse54
95,92595 (Wildomar),92595,8433,23.0,23.0,77962500.0,49546.47682350081,1756054260270,Synapse54,1756054260270,Synapse54
96,92596 (Winchester),92596,11382,25.58,25.58,236541250.0,105694.89597132463,1756054260270,Synapse54,1756054260270,Synapse54
97,92602 (Irvine),92602,9501,26.27,26.27,54335000.0,48615.20874763779,1756054260270,Synapse54,1756054260270,Synapse54
98,92603 (Irvine),92603,4702,23.42,23.42,49596250.0,39851.28103911499,1756054260270,Synapse54,1756054260270,Synapse54
99,92604 (Irvine),92604,5625,20.6,20.6,12971250.0,14796.767588249384,1756054260270,Synapse54,1756054260270,Synapse54
100,92606 (Irvine),92606,5823,25.32,25.32,11687516.33984375,24285.50058514748,1756054260270,Synapse54,1756054260270,Synapse54
101,92610 (Foothill Ranch),92610,2352,21.1,21.1,41970000.0,42026.008696583456,1756054260270,Synapse54,1756054260270,Synapse54
102,92612 (Irvine),92612,13346,36.68,36.68,24991250.0,30023.681639087186,1756054260270,Synapse54,1756054260270,Synapse54
103,92614 (Irvine),92614,10062,29.42,29.42,16787500.0,22384.83540840505,1756054260270,Synapse54,1756054260270,Synapse54
104,92617 (Irvine),92617,19817,80.17,80.17,8672500.0,15412.013244571113,1756054260270,Synapse54,1756054260270,Synapse54
105,92618 (Irvine),92618,16321,23.63,23.63,94576250.0,64024.6551904949,1756054260270,Synapse54,1756054260270,Synapse54
106,92620 (Irvine),92620,14111,22.38,22.38,23306250.0,21025.73996103775,1756054260270,Synapse54,1756054260270,Synapse54
107,92624 (Capistrano Beach),92624,1255,16.95,16.95,5602500.0,19224.425787531967,1756054260270,Synapse54,1756054260270,Synapse54
108,92625 (Corona del Mar),92625,1535,13.68,13.68,9253750.0,22768.574163236848,1756054260270,Synapse54,1756054260270,Synapse54
109,92626 (Costa Mesa),92626,12804,25.04,25.04,35749444.4375,30953.607275611746,1756054260270,Synapse54,1756054260270,Synapse54
110,92627 (Costa Mesa),92627,14600,23.4,23.4,24660526.3203125,32009.424849547257,1756054260270,Synapse54,1756054260270,Synapse54
111,92629 (Dana Point),92629,4622,17.89,17.89,19367500.0,26404.176955851315,1756054260270,Synapse54,1756054260270,Synapse54
112,92630 (Lake Forest),92630,13321,19.45,19.45,39691250.0,33234.410302807584,1756054260270,Synapse54,1756054260270,Synapse54
113,92637 (Laguna Woods),92637,259,1.42,1.42,12412045.45703125,24637.976550366835,1756054260270,Synapse54,1756054260270,Synapse54
114,92646 (Huntington Beach),92646,10701,19.12,19.12,31957500.0,27762.065402696444,1756054260270,Synapse54,1756054260270,Synapse54
115,92647 (Huntington Beach),92647,14041,23.61,23.61,28932500.0,33867.74871894199,1756054260270,Synapse54,1756054260270,Synapse54
116,92648 (Huntington Beach),92648,8938,20.38,20.38,30280000.0,28473.954706364795,1756054260270,Synapse54,1756054260270,Synapse54
117,92649 (Huntington Beach),92649,5784,17.76,17.76,19831250.0,56450.29251686164,1756054260270,Synapse54,1756054260270,Synapse54
118,92651 (Laguna Beach),92651,3941,17.28,17.28,67526250.0,62490.433798214086,1756054260270,Synapse54,1756054260270,Synapse54
119,92653 (Laguna Hills),92653,5320,19.52,19.52,24331250.0,35888.268819247765,1756054260270,Synapse54,1756054260270,Synapse54
120,92655 (Midway City),92655,2184,25.14,25.14,2486250.0,12474.692560266567,1756054260270,Synapse54,1756054260270,Synapse54
121,92656 (Aliso Viejo),92656,12085,22.98,22.98,32877599.19921875,34966.50159209713,1756054260270,Synapse54,1756054260270,Synapse54
122,92657 (Newport Coast),92657,1635,17.71,17.71,33871111.109375,40735.605455959,1756054260270,Synapse54,1756054260270,Synapse54
123,92660 (Newport Beach),92660,7716,21.34,21.34,34988824.7734375,72801.1498150933,1756054260270,Synapse54,1756054260270,Synapse54
124,92661 (Newport Beach),92661,752,22.03,22.03,2449775.0,14182.819254330147,1756054260270,Synapse54,1756054260270,Synapse54
125,92662 (Newport Beach),92662,278,11.48,11.48,756250.0,4073.1965054184398,1756054260270,Synapse54,1756054260270,Synapse54
126,92663 (Newport Beach),92663,4315,21.61,21.61,12661250.0,29524.238996506057,1756054260270,Synapse54,1756054260270,Synapse54
127,92672 (San Clemente),92672,13262,31.36,31.36,122097500.0,68144.85534340238,1756054260270,Synapse54,1756054260270,Synapse54
128,92673 (San Clemente),92673,5952,21.05,21.05,43796250.0,35322.34411652421,1756054260270,Synapse54,1756054260270,Synapse54
129,92675 (San Juan Capistrano),92675,8481,20.72,20.72,398135000.0,159328.0017001646,1756054260270,Synapse54,1756054260270,Synapse54
130,92676 (Silverado),92676,255,13.07,13.07,185577580.6484375,69847.88033705542,1756054260270,Synapse54,1756054260270,Synapse54
131,92677 (Laguna Niguel),92677,11820,18.53,18.53,62363750.0,49653.56764980074,1756054260270,Synapse54,1756054260270,Synapse54
132,92679 (Trabuco Canyon),92679,6282,19.1,19.1,131953669.3515625,96766.9142094817,1756054260270,Synapse54,1756054260270,Synapse54
133,92683 (Westminster),92683,19593,22.02,22.02,37225000.0,54186.216950067326,1756054260270,Synapse54,1756054260270,Synapse54
134,92688 (Rancho Santa Margarita),92688,9959,22.87,22.87,34180000.0,38611.769223276526,1756054260270,Synapse54,1756054260270,Synapse54
135,92691 (Mission Viejo),92691,8497,19.07,19.07,33036250.0,38001.18237164921,1756054260270,Synapse54,1756054260270,Synapse54
136,92692 (Mission Viejo),92692,7929,17.56,17.56,36926250.0,46348.02646266434,1756054260270,Synapse54,1756054260270,Synapse54
137,92694 (Ladera Ranch),92694,7396,20.42,20.42,30588750.0,43863.23830896375,1756054260270,Synapse54,1756054260270,Synapse54
138,92697 (Irvine),92697,485,95.47,95.47,640000.0,3555.8432426418512,1756054260270,Synapse54,1756054260270,Synapse54
139,92701 (Santa Ana),92701,16941,31.14,31.14,12300000.0,17909.285594515157,1756054260270,Synapse54,1756054260270,Synapse54
140,92703 (Santa Ana),92703,17296,28.38,28.38,15516250.0,25608.827947224716,1756054260270,Synapse54,1756054260270,Synapse54
141,92704 (Santa Ana),92704,20911,25.92,25.92,28642500.0,33855.42088207186,1756054260270,Synapse54,1756054260270,Synapse54
142,92705 (Santa Ana),92705,12734,24.26,24.26,43200000.0,77393.0258273789,1756054260270,Synapse54,1756054260270,Synapse54
143,92706 (Santa Ana),92706,8388,25.91,25.91,13002500.0,24009.66740740803,1756054260270,Synapse54,1756054260270,Synapse54
144,92707 (Santa Ana),92707,13973,26.11,26.11,19470000.0,30897.365733854946,1756054260270,Synapse54,1756054260270,Synapse54
145,92708 (Fountain Valley),92708,10923,20.14,20.14,33996250.0,27518.702015973777,1756054260270,Synapse54,1756054260270,Synapse54
146,92780 (Tustin),92780,13442,25.09,25.09,24413750.0,32757.49656408988,1756054260270,Synapse54,1756054260270,Synapse54
147,92782 (Tustin),92782,6552,22.42,22.42,21093750.0,42452.81886104531,1756054260270,Synapse54,1756054260270,Synapse54
148,92801 (Anaheim),92801,14476,25.81,25.81,22840000.0,36651.55106988114,1756054260270,Synapse54,1756054260270,Synapse54
149,92802 (Anaheim),92802,10917,26.1,26.1,16627666.6640625,25129.664495851255,1756054260270,Synapse54,1756054260270,Synapse54
150,92804 (Anaheim),92804,20951,24.17,24.17,27093750.0,36797.87377561943,1756054260270,Synapse54,1756054260270,Synapse54
151,92805 (Anaheim),92805,22668,29.18,29.18,24434833.3359375,26630.492011417336,1756054260270,Synapse54,1756054260270,Synapse54
152,92806 (Anaheim),92806,10266,25.4,25.4,30277500.0,35397.16242525879,1756054260270,Synapse54,1756054260270,Synapse54
153,92807 (Anaheim),92807,6832,18.95,18.95,43425000.0,49369.07786874545,1756054260270,Synapse54,1756054260270,Synapse54
154,92808 (Anaheim),92808,3774,19.16,19.16,135771250.0,67114.4473414959,1756054260270,Synapse54,1756054260270,Synapse54
155,92821 (Brea),92821,9031,21.25,21.25,40157500.0,31640.813398465692,1756054260270,Synapse54,1756054260270,Synapse54
156,92823 (Brea),92823,1082,18.98,18.98,40087500.0,32182.422041735485,1756054260270,Synapse54,1756054260270,Synapse54
157,92831 (Fullerton),92831,13898,35.41,35.41,22971250.0,23931.067124648023,1756054260270,Synapse54,1756054260270,Synapse54
158,92832 (Fullerton),92832,6607,25.03,25.03,10311250.0,16109.402594640136,1756054260270,Synapse54,1756054260270,Synapse54
159,92833 (Fullerton),92833,11343,22.3,22.3,28923750.0,27760.4610883227,1756054260270,Synapse54,1756054260270,Synapse54
160,92835 (Fullerton),92835,5199,21.3,21.3,21915000.0,32662.879063291384,1756054260270,Synapse54,1756054260270,Synapse54
161,92840 (Garden Grove),92840,11962,22.04,22.04,19585000.0,23926.962718451425,1756054260270,Synapse54,1756054260270,Synapse54
162,92841 (Garden Grove),92841,8302,22.19,22.19,17046250.0,30056.2093910369,1756054260270,Synapse54,1756054260270,Synapse54
163,92843 (Garden Grove),92843,10811,24.35,24.35,14896250.0,29992.39321922365,1756054260270,Synapse54,1756054260270,Synapse54
164,92844 (Garden Grove),92844,6069,23.81,23.81,7895000.0,16403.528390326035,1756054260270,Synapse54,1756054260270,Synapse54
165,92845 (Garden Grove),92845,3222,20.61,20.61,8133750.0,11819.88810437026,1756054260270,Synapse54,1756054260270,Synapse54
166,92860 (Norco),92860,5401,21.04,21.04,54128750.0,49115.86210371589,1756054260270,Synapse54,1756054260270,Synapse54
167,92861 (Villa Park),92861,940,17.02,17.02,8340000.0,17926.67245314459,1756054260270,Synapse54,1756054260270,Synapse54
168,92865 (Orange),92865,4587,22.73,22.73,13336250.0,16133.265595069315,1756054260270,Synapse54,1756054260270,Synapse54
169,92866 (Orange),92866,3841,24.62,24.62,7418750.0,12813.804565973127,1756054260270,Synapse54,1756054260270,Synapse54
170,92867 (Orange),92867,11635,27.08,27.08,29515000.0,52452.17586230138,1756054260270,Synapse54,1756054260270,Synapse54
171,92868 (Orange),92868,8433,30.07,30.07,12813750.0,21889.700334687273,1756054260270,Synapse54,1756054260270,Synapse54
172,92869 (Orange),92869,6782,19.47,19.47,49452500.0,43559.182698021956,1756054260270,Synapse54,1756054260270,Synapse54
173,92870 (Placentia),92870,12104,23.01,23.01,25658750.0,42875.80354717247,1756054260270,Synapse54,1756054260270,Synapse54
174,92878 (Corona),92878,3983,23.62,23.62,28011250.0,43014.98620425098,1756054260270,Synapse54,1756054260270,Synapse54
175,92879 (Corona),92879,12000,24.35,24.35,35812500.0,35718.5917383939,1756054260270,Synapse54,1756054260270,Synapse54
176,92880 (Corona),92880,14330,23.45,23.45,66393750.0,60879.49666935877,1756054260270,Synapse54,1756054260270,Synapse54
177,92881 (Corona),92881,7046,23.33,23.33,87822500.0,78100.13412564347,1756054260270,Synapse54,1756054260270,Synapse54
178,92882 (Corona),92882,16046,24.23,24.23,100377500.0,56643.47421769441,1756054260270,Synapse54,1756054260270,Synapse54
179,92883 (Corona),92883,8714,21.54,21.54,213882500.0,87517.171289697,1756054260270,Synapse54,1756054260270,Synapse54
180,92886 (Yorba Linda),92886,10068,20.64,20.64,56058750.0,49514.934612607736,1756054260270,Synapse54,1756054260270,Synapse54
181,92887 (Yorba Linda),92887,3836,19.5,19.5,34530000.0,37985.248233257116,1756054260270,Synapse54,1756054260270,Synapse54
182,93001 (Ventura),93001,7783,21.48,21.48,328800721.75390625,138054.9955498076,1756054260270,Synapse54,1756054260270,Synapse54
183,93003 (Ventura),93003,10015,20.54,20.54,74552500.0,55676.02575982478,1756054260270,Synapse54,1756054260270,Synapse54
184,93004 (Ventura),93004,6902,21.49,21.49,26253750.0,24293.608892124525,1756054260270,Synapse54,1756054260270,Synapse54
185,93010 (Camarillo),93010,9191,20.42,20.42,79716250.0,46831.915462838704,1756054260270,Synapse54,1756054260270,Synapse54
186,93012 (Camarillo),93012,8665,21.68,21.68,184080000.0,94772.80839757764,1756054260270,Synapse54,1756054260270,Synapse54
187,93013 (Carpinteria),93013,3093,19.75,19.75,79270000.0,51873.42689239334,1756054260270,Synapse54,1756054260270,Synapse54
188,93015 (Fillmore),93015,5205,25.57,25.57,400038750.0,134789.0342106503,1756054260270,Synapse54,1756054260270,Synapse54
189,93021 (Moorpark),93021,7714,21.43,21.43,234746250.0,99048.10368902325,1756054260270,Synapse54,1756054260270,Synapse54
190,93022 (Oak View),93022,984,17.59,17.59,13133750.0,25118.329999860227,1756054260270,Synapse54,1756054260270,Synapse54
191,93023 (Ojai),93023,3453,17.26,17.26,1181358803.4804688,195447.1922160022,1756054260270,Synapse54,1756054260270,Synapse54
192,93030 (Oxnard),93030,15422,27.08,27.08,53537500.0,50865.79887099985,1756054260270,Synapse54,1756054260270,Synapse54
193,93033 (Oxnard),93033,22024,28.81,28.81,130200000.0,78026.87368580469,1756054260270,Synapse54,1756054260270,Synapse54
194,93035 (Oxnard),93035,5203,19.05,19.05,17435000.0,62007.549074571805,1756054260270,Synapse54,1756054260270,Synapse54
195,93036 (Oxnard),93036,13425,26.48,26.48,57343750.0,44444.19463078578,1756054260270,Synapse54,1756054260270,Synapse54
196,93040 (Piru),93040,733,27.25,27.25,210346250.0,69953.9423901976,1756054260270,Synapse54,1756054260270,Synapse54
197,93041 (Port Hueneme),93041,6086,27.15,27.15,17655000.0,45728.7533863953,1756054260270,Synapse54,1756054260270,Synapse54
198,93042 (Point Mugu Nawc),93042,11,68.75,68.75,21217500.0,39144.09398891686,1756054260270,Synapse54,1756054260270,Synapse54
199,93043 (Port Hueneme CBC Base),93043,344,55.66,55.66,5371250.0,18340.340638344987,1756054260270,Synapse54,1756054260270,Synapse54
200,93060 (Santa Paula),93060,9133,26.17,26.17,444843750.0,130581.77761447629,1756054260270,Synapse54,1756054260270,Synapse54
201,93063 (Simi Valley),93063,11125,20.58,20.58,151668750.0,72081.40181131517,1756054260270,Synapse54,1756054260270,Synapse54
202,93065 (Simi Valley),93065,14895,20.48,20.48,162708750.0,98893.97184780746,1756054260270,Synapse54,1756054260270,Synapse54
203,93066 (Somis),93066,702,23.57,23.57,213165000.0,70614.50191605966,1756054260270,Synapse54,1756054260270,Synapse54
204,93067 (Summerland),93067,176,19.11,19.11,3173750.0,13823.137880104807,1756054260270,Synapse54,1756054260270,Synapse54
205,93101 (Santa Barbara),93101,7774,25.77,25.77,12738750.0,27780.3304886334,1756054260270,Synapse54,1756054260270,Synapse54
206,93103 (Santa Barbara),93103,4469,22.83,22.83,16533750.0,29598.426540677967,1756054260270,Synapse54,1756054260270,Synapse54
207,93105 (Santa Barbara),93105,4455,16.72,16.72,1085646890.625,322486.5248719495,1756054260270,Synapse54,1756054260270,Synapse54
208,93106 (Santa Barbara),93106,4684,97.83,97.83,3377500.0,10299.680398798031,1756054260270,Synapse54,1756054260270,Synapse54
209,93108 (Santa Barbara),93108,2597,24.48,24.48,166683750.0,95528.79525072398,1756054260270,Synapse54,1756054260270,Synapse54
210,93109 (Santa Barbara),93109,2557,22.03,22.03,13007500.0,26406.026345091894,1756054260270,Synapse54,1756054260270,Synapse54
211,93110 (Santa Barbara),93110,2957,19.7,19.7,27055000.0,32648.046786382944,1756054260270,Synapse54,1756054260270,Synapse54
212,93111 (Santa Barbara),93111,3085,17.53,17.53,33908750.0,38270.054689742254,1756054260270,Synapse54,1756054260270,Synapse54
213,93117 (Goleta),93117,24489,45.76,45.76,570517500.0,186790.30470483637,1756054260270,Synapse54,1756054260270,Synapse54
214,93201 (Alpaugh),93201,351,31.37,31.37,53031250.0,42400.502769921804,1756054260270,Synapse54,1756054260270,Synapse54
215,93202 (Armona),93202,1159,28.25,28.25,6991250.0,14120.25147939271,1756054260270,Synapse54,1756054260270,Synapse54
