OBJECTID,DESCRIPTION,ID,MP12207A_B,MP12207A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1333,95110 (San Jose),95110,1186,110,110,18826250.0,37925.92030792083,1756053984730,Synapse54,1756053984730,Synapse54
1334,95111 (San Jose),95111,3978,145,145,23723750.0,27668.60026776279,1756053984730,Synapse54,1756053984730,Synapse54
1335,95112 (San Jose),95112,3590,120,120,28405000.0,42756.67298455327,1756053984730,Synapse54,1756053984730,Synapse54
1336,95113 (San Jose),95113,290,112,112,1601805.55859375,12687.476675156697,1756053984730,Synapse54,1756053984730,Synapse54
1337,95116 (San Jose),95116,3334,136,136,14998750.0,19196.04047382664,1756053984730,Synapse54,1756053984730,Synapse54
1338,95117 (San Jose),95117,1519,97,97,10102500.0,13572.503955712044,1756053984730,Synapse54,1756053984730,Synapse54
1339,95118 (San Jose),95118,1277,84,84,16810000.0,20813.45344806542,1756053984730,Synapse54,1756053984730,Synapse54
1340,95119 (San Jose),95119,423,78,78,10262500.0,15722.3529891516,1756053984730,Synapse54,1756053984730,Synapse54
1341,95120 (San Jose),95120,1095,61,61,115983750.0,62135.42435428076,1756053984730,Synapse54,1756053984730,Synapse54
1342,95121 (San Jose),95121,1525,87,87,17632500.0,24857.050312629905,1756053984730,Synapse54,1756053984730,Synapse54
1343,95122 (San Jose),95122,3602,142,142,19133750.0,24817.03228926601,1756053984730,Synapse54,1756053984730,Synapse54
1344,95123 (San Jose),95123,2969,92,92,30598750.0,29052.35494368685,1756053984730,Synapse54,1756053984730,Synapse54
1345,95124 (San Jose),95124,1632,72,72,26458750.0,35997.550647729244,1756053984730,Synapse54,1756053984730,Synapse54
1346,95125 (San Jose),95125,2005,79,79,31093750.0,31385.30252698374,1756053984730,Synapse54,1756053984730,Synapse54
1347,95126 (San Jose),95126,1970,98,98,13586250.0,26126.207466908334,1756053984730,Synapse54,1756053984730,Synapse54
1348,95127 (San Jose),95127,3549,126,126,61615000.0,61696.88954482153,1756053984730,Synapse54,1756053984730,Synapse54
1349,95128 (San Jose),95128,1528,92,92,15786250.0,23138.597300847327,1756053984730,Synapse54,1756053984730,Synapse54
1350,95129 (San Jose),95129,1495,79,79,17708750.0,23541.930956809676,1756053984730,Synapse54,1756053984730,Synapse54
1351,95130 (San Jose),95130,489,78,78,6733750.0,19784.161276111285,1756053984730,Synapse54,1756053984730,Synapse54
1352,95131 (San Jose),95131,1416,89,89,24138750.0,25973.187910314926,1756053984730,Synapse54,1756053984730,Synapse54
1353,95132 (San Jose),95132,1494,78,78,67346250.0,43953.3631078235,1756053984730,Synapse54,1756053984730,Synapse54
