OBJECTID,DESCRIPTION,ID,MEDHINC_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1619,95945 (Grass Valley),95945,85903,85903,371551250.0,173808.5011579966,1756054326634,Synapse54,1756054326634,Synapse54
1620,95946 (Penn Valley),95946,108915,108915,238928750.0,127100.54156221848,1756054326634,Synapse54,1756054326634,Synapse54
1621,95947 (Greenville),95947,66244,66244,952251250.0,223089.24172611168,1756054326634,Synapse54,1756054326634,Synapse54
1622,95948 (Gridley),95948,74258,74258,329242500.0,101974.54088152357,1756054326634,Synapse54,1756054326634,Synapse54
1623,95949 (Grass Valley),95949,118302,118302,536602500.0,145624.77815364857,1756054326634,Synapse54,1756054326634,Synapse54
1624,95951 (Hamilton City),95951,71412,71412,36606250.0,36520.98038696584,1756054326634,Synapse54,1756054326634,Synapse54
1625,95953 (Live Oak),95953,83725,83725,387580000.0,136663.2212838363,1756054326634,Synapse54,1756054326634,Synapse54
1626,95954 (Magalia),95954,69429,69429,511968750.0,195525.44956123605,1756054326634,Synapse54,1756054326634,Synapse54
1627,95955 (Maxwell),95955,87910,87910,197966250.0,87620.90842519072,1756054326634,Synapse54,1756054326634,Synapse54
1628,95956 (Meadow Valley),95956,77610,77610,111091250.0,66359.89068058466,1756054326634,Synapse54,1756054326634,Synapse54
1629,95957 (Meridian),95957,87983,87983,515288750.0,160992.49793837627,1756054326634,Synapse54,1756054326634,Synapse54
1630,95959 (Nevada City),95959,107107,107107,1309761250.0,264156.4507969316,1756054326634,Synapse54,1756054326634,Synapse54
1631,95960 (North San Juan),95960,86610,86610,162408750.0,118672.91571677718,1756054326634,Synapse54,1756054326634,Synapse54
1632,95961 (Olivehurst),95961,97505,97505,172305000.0,95436.97438688343,1756054326634,Synapse54,1756054326634,Synapse54
1633,95962 (Oregon House),95962,88000,88000,85077500.0,80743.15996438754,1756054326634,Synapse54,1756054326634,Synapse54
1634,95963 (Orland),95963,79018,79018,1824132500.0,333523.1082726118,1756054326634,Synapse54,1756054326634,Synapse54
1635,95965 (Oroville),95965,57764,57764,1768666250.0,432398.409928657,1756054326634,Synapse54,1756054326634,Synapse54
1636,95966 (Oroville),95966,71257,71257,834648750.0,219707.90446952175,1756054326634,Synapse54,1756054326634,Synapse54
1637,95968 (Palermo),95968,56204,56204,8885000.0,20193.976575872322,1756054326634,Synapse54,1756054326634,Synapse54
1638,95969 (Paradise),95969,71451,71451,215133750.0,123219.51311576871,1756054326634,Synapse54,1756054326634,Synapse54
1639,95970 (Princeton),95970,67437,67437,127657500.0,66324.70748896914,1756054326634,Synapse54,1756054326634,Synapse54
1640,95971 (Quincy),95971,94583,94583,1459890000.0,326021.34281284944,1756054326634,Synapse54,1756054326634,Synapse54
1641,95972 (Rackerby),95972,38493,38493,49777500.0,46684.278958443676,1756054326634,Synapse54,1756054326634,Synapse54
1642,95973 (Chico),95973,96398,96398,1078567500.0,203946.47671215015,1756054326634,Synapse54,1756054326634,Synapse54
1643,95974 (Richvale),95974,88459,88459,4026250.0,8993.88957751282,1756054326634,Synapse54,1756054326634,Synapse54
1644,95975 (Rough and Ready),95975,75875,75875,40933750.0,44027.001702685615,1756054326634,Synapse54,1756054326634,Synapse54
1645,95977 (Smartsville),95977,128548,128548,133042500.0,94628.59511411171,1756054326634,Synapse54,1756054326634,Synapse54
1646,95978 (Stirling City),95978,68129,68129,4987500.0,11056.600179634643,1756054326634,Synapse54,1756054326634,Synapse54
1647,95979 (Stonyford),95979,44117,44117,1379621250.0,211399.06121011102,1756054326634,Synapse54,1756054326634,Synapse54
1648,95981 (Strawberry Valley),95981,87296,87296,1071931250.0,211507.5286608681,1756054326634,Synapse54,1756054326634,Synapse54
1649,95982 (Sutter),95982,99570,99570,310703750.0,129763.22355296834,1756054326634,Synapse54,1756054326634,Synapse54
1650,95983 (Taylorsville),95983,63839,63839,478000000.0,178725.34469440923,1756054326634,Synapse54,1756054326634,Synapse54
1651,95984 (Twain),95984,66362,66362,496481250.0,169696.6304095466,1756054326634,Synapse54,1756054326634,Synapse54
1652,95987 (Williams),95987,108474,108474,1507711250.0,214438.0089453485,1756054326634,Synapse54,1756054326634,Synapse54
1653,95988 (Willows),95988,77888,77888,1846601250.0,273069.7973541025,1756054326634,Synapse54,1756054326634,Synapse54
1654,95991 (Yuba City),95991,76353,76353,179523750.0,100602.28935562266,1756054326634,Synapse54,1756054326634,Synapse54
1655,95993 (Yuba City),95993,97312,97312,356451250.0,91648.33893545925,1756054326634,Synapse54,1756054326634,Synapse54
1656,96001 (Redding),96001,87224,87224,464173522.73046875,202341.2321864986,1756054326634,Synapse54,1756054326634,Synapse54
1657,96002 (Redding),96002,91331,91331,137463750.0,61840.78498975389,1756054326634,Synapse54,1756054326634,Synapse54
1658,96003 (Redding),96003,84239,84239,558421250.0,290988.61770699784,1756054326634,Synapse54,1756054326634,Synapse54
1659,96006 (Adin),96006,60532,60532,14238750.0,18522.185212382443,1756054326634,Synapse54,1756054326634,Synapse54
1660,96007 (Anderson),96007,78806,78806,554398750.0,190135.5384673435,1756054326634,Synapse54,1756054326634,Synapse54
1661,96008 (Bella Vista),96008,106946,106946,307121250.0,156614.92126797684,1756054326634,Synapse54,1756054326634,Synapse54
1662,96009 (Bieber),96009,50918,50918,7632500.0,13994.875098171482,1756054326634,Synapse54,1756054326634,Synapse54
1663,96010 (Big Bar),96010,54630,54630,797983750.0,194857.10412193165,1756054326634,Synapse54,1756054326634,Synapse54
1664,96013 (Burney),96013,73576,73576,1528855000.0,297533.17814301123,1756054326634,Synapse54,1756054326634,Synapse54
1665,96014 (Callahan),96014,69138,69138,608251250.0,239335.74573835582,1756054326634,Synapse54,1756054326634,Synapse54
1666,96015 (Canby),96015,44753,44753,1526232500.0,253510.31180041475,1756054326634,Synapse54,1756054326634,Synapse54
1667,96016 (Cassel),96016,80794,80794,252236250.0,92727.60666745857,1756054326634,Synapse54,1756054326634,Synapse54
1668,96017 (Castella),96017,56788,56788,71555000.0,60630.293936567636,1756054326634,Synapse54,1756054326634,Synapse54
1669,96019 (Shasta Lake),96019,71874,71874,53912500.0,44956.9988320366,1756054326634,Synapse54,1756054326634,Synapse54
1670,96020 (Chester),96020,94730,94730,1401522500.0,300748.5217385961,1756054326634,Synapse54,1756054326634,Synapse54
1671,96021 (Corning),96021,67725,67725,2629246250.0,393244.52907070157,1756054326634,Synapse54,1756054326634,Synapse54
1672,96022 (Cottonwood),96022,98710,98710,1369066250.0,303023.3375434908,1756054326634,Synapse54,1756054326634,Synapse54
1673,96023 (Dorris),96023,46591,46591,714227500.0,138890.29789038602,1756054326634,Synapse54,1756054326634,Synapse54
1674,96024 (Douglas City),96024,70607,70607,664296250.0,153288.23802500058,1756054326634,Synapse54,1756054326634,Synapse54
1675,96025 (Dunsmuir),96025,46019,46019,390323750.0,129597.8775972698,1756054326634,Synapse54,1756054326634,Synapse54
1676,96027 (Etna),96027,76595,76595,1103103750.0,237642.6134458908,1756054326634,Synapse54,1756054326634,Synapse54
1677,96028 (Fall River Mills),96028,92420,92420,592867500.0,156796.5320417075,1756054326634,Synapse54,1756054326634,Synapse54
1678,96031 (Forks of Salmon),96031,51224,51224,1863460000.0,345700.3890263672,1756054326634,Synapse54,1756054326634,Synapse54
1679,96032 (Fort Jones),96032,73129,73129,1375925000.0,310262.96628657915,1756054326634,Synapse54,1756054326634,Synapse54
1680,96033 (French Gulch),96033,99489,99489,961301164.7695312,216161.49528823548,1756054326634,Synapse54,1756054326634,Synapse54
1681,96034 (Gazelle),96034,77167,77167,475838750.0,173699.30817691615,1756054326634,Synapse54,1756054326634,Synapse54
1682,96035 (Gerber),96035,64702,64702,209512500.0,71359.79615367427,1756054326634,Synapse54,1756054326634,Synapse54
