OBJECTID,DESCRIPTION,ID,TOTPOP_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
155,90670 (Santa Fe Springs),90670,16764,16764,32167500.0,52293.866012792765,1756054349282,Synapse54,1756054349282,Synapse54
156,90680 (Stanton),90680,32303,32303,10142500.0,25187.490876299296,1756054349282,Synapse54,1756054349282,Synapse54
157,90701 (Artesia),90701,15831,15831,6072500.0,15226.251904130706,1756054349282,Synapse54,1756054349282,Synapse54
158,90703 (Cerritos),90703,45847,45847,33382500.0,43957.88438492369,1756054349282,Synapse54,1756054349282,Synapse54
159,90704 (Avalon),90704,3664,3664,487926250.0,217962.03793947026,1756054349282,Synapse54,1756054349282,Synapse54
160,90706 (Bellflower),90706,74585,74585,23067500.0,21705.237676308017,1756054349282,Synapse54,1756054349282,Synapse54
161,90710 (Harbor City),90710,25756,25756,8730000.0,14589.089922329094,1756054349282,Synapse54,1756054349282,Synapse54
162,90712 (Lakewood),90712,32256,32256,16535000.0,22577.300170428734,1756054349282,Synapse54,1756054349282,Synapse54
163,90713 (Lakewood),90713,26315,26315,12796250.0,16128.32750732679,1756054349282,Synapse54,1756054349282,Synapse54
164,90715 (Lakewood),90715,19370,19370,6483750.0,15164.516714525105,1756054349282,Synapse54,1756054349282,Synapse54
165,90716 (Hawaiian Gardens),90716,12753,12753,3653750.0,9011.135593632347,1756054349282,Synapse54,1756054349282,Synapse54
166,90717 (Lomita),90717,21456,21456,7921250.0,16645.18298324878,1756054349282,Synapse54,1756054349282,Synapse54
167,90720 (Los Alamitos),90720,23194,23194,23170000.0,25290.212669775807,1756054349282,Synapse54,1756054349282,Synapse54
168,90723 (Paramount),90723,49400,49400,17825000.0,25500.519197521357,1756054349282,Synapse54,1756054349282,Synapse54
169,90731 (San Pedro),90731,57278,57278,34893750.0,86960.88531120957,1756054349282,Synapse54,1756054349282,Synapse54
170,90732 (San Pedro),90732,20739,20739,12383750.0,32670.676087233125,1756054349282,Synapse54,1756054349282,Synapse54
171,90740 (Seal Beach),90740,23870,23870,42653750.0,55814.47434146027,1756054349282,Synapse54,1756054349282,Synapse54
172,90742 (Sunset Beach),90742,831,831,728750.0,5465.495476873691,1756054349282,Synapse54,1756054349282,Synapse54
173,90743 (Surfside),90743,402,402,218750.0,2701.3356277779667,1756054349282,Synapse54,1756054349282,Synapse54
174,90744 (Wilmington),90744,50084,50084,31171250.0,40903.96811881212,1756054349282,Synapse54,1756054349282,Synapse54
175,90745 (Carson),90745,58967,58967,35256250.0,31371.42910918017,1756054349282,Synapse54,1756054349282,Synapse54
176,90746 (Carson),90746,24817,24817,17991250.0,30527.06992508295,1756054349282,Synapse54,1756054349282,Synapse54
177,90747 (Carson),90747,1047,1047,2237500.0,6350.89257261219,1756054349282,Synapse54,1756054349282,Synapse54
178,90755 (Signal Hill),90755,11379,11379,8442500.0,20923.47092526615,1756054349282,Synapse54,1756054349282,Synapse54
179,90802 (Long Beach),90802,44868,44868,22857500.0,60447.90859170592,1756054349282,Synapse54,1756054349282,Synapse54
180,90803 (Long Beach),90803,31144,31144,17262500.0,48052.98046210528,1756054349282,Synapse54,1756054349282,Synapse54
181,90804 (Long Beach),90804,36627,36627,8283750.0,17404.825022744844,1756054349282,Synapse54,1756054349282,Synapse54
182,90805 (Long Beach),90805,88914,88914,28283750.0,28282.847625561633,1756054349282,Synapse54,1756054349282,Synapse54
183,90806 (Long Beach),90806,38157,38157,14482500.0,29336.82441539369,1756054349282,Synapse54,1756054349282,Synapse54
184,90807 (Long Beach),90807,30615,30615,18830000.0,30252.877556949352,1756054349282,Synapse54,1756054349282,Synapse54
185,90808 (Long Beach),90808,37449,37449,29252500.0,30714.377057701477,1756054349282,Synapse54,1756054349282,Synapse54
186,90810 (Long Beach),90810,36310,36310,23680000.0,23549.221417701145,1756054349282,Synapse54,1756054349282,Synapse54
187,90813 (Long Beach),90813,49386,49386,15312500.0,22742.295497020463,1756054349282,Synapse54,1756054349282,Synapse54
188,90814 (Long Beach),90814,17621,17621,4823750.0,13832.719778893748,1756054349282,Synapse54,1756054349282,Synapse54
189,90815 (Long Beach),90815,36940,36940,26080178.5703125,29824.793801974556,1756054349282,Synapse54,1756054349282,Synapse54
190,90822 (Long Beach),90822,0,0,2023750.0,6752.358352422547,1756054349282,Synapse54,1756054349282,Synapse54
191,90840 (Long Beach),90840,1907,1907,1820000.0,7002.623034877741,1756054349282,Synapse54,1756054349282,Synapse54
192,91001 (Altadena),91001,18946,18946,30072500.0,28398.778252080778,1756054349282,Synapse54,1756054349282,Synapse54
193,91006 (Arcadia),91006,31821,31821,25265000.0,46650.75143039238,1756054349282,Synapse54,1756054349282,Synapse54
194,91007 (Arcadia),91007,31467,31467,20713750.0,21959.462716422113,1756054349282,Synapse54,1756054349282,Synapse54
195,91008 (Duarte),91008,1322,1322,8665000.0,14371.0500767675,1756054349282,Synapse54,1756054349282,Synapse54
196,91010 (Duarte),91010,26221,26221,20787500.0,31744.17864013616,1756054349282,Synapse54,1756054349282,Synapse54
197,91011 (La Canada Flintridge),91011,19059,19059,236130000.0,119728.34233481884,1756054349282,Synapse54,1756054349282,Synapse54
198,91016 (Monrovia),91016,41977,41977,65495000.0,54264.51282000843,1756054349282,Synapse54,1756054349282,Synapse54
199,91020 (Montrose),91020,8132,8132,2812500.0,9846.720145603033,1756054349282,Synapse54,1756054349282,Synapse54
200,91024 (Sierra Madre),91024,10602,10602,11682500.0,17377.450162386187,1756054349282,Synapse54,1756054349282,Synapse54
201,91030 (South Pasadena),91030,25437,25437,13103750.0,16515.93148070902,1756054349282,Synapse54,1756054349282,Synapse54
202,91040 (Sunland),91040,21397,21397,54006250.0,62215.25556794039,1756054349282,Synapse54,1756054349282,Synapse54
203,91042 (Tujunga),91042,27251,27251,240885000.0,104973.13160724998,1756054349282,Synapse54,1756054349282,Synapse54
204,91101 (Pasadena),91101,20868,20868,4570000.0,10401.50972517863,1756054349282,Synapse54,1756054349282,Synapse54
205,91103 (Pasadena),91103,26800,26800,18846250.0,23446.6992835936,1756054349282,Synapse54,1756054349282,Synapse54
206,91104 (Pasadena),91104,31546,31546,14142500.0,17399.48031496562,1756054349282,Synapse54,1756054349282,Synapse54
207,91105 (Pasadena),91105,13398,13398,15438750.0,26685.91207743518,1756054349282,Synapse54,1756054349282,Synapse54
208,91106 (Pasadena),91106,22358,22358,11187500.0,22060.2945305279,1756054349282,Synapse54,1756054349282,Synapse54
209,91107 (Pasadena),91107,32040,32040,31986250.0,34262.73104182556,1756054349282,Synapse54,1756054349282,Synapse54
210,91108 (San Marino),91108,11715,11715,14412500.0,22125.96232575422,1756054349282,Synapse54,1756054349282,Synapse54
211,91123 (Pasadena),91123,232,232,226250.0,1916.4617511106312,1756054349282,Synapse54,1756054349282,Synapse54
212,91201 (Glendale),91201,21631,21631,9001250.0,16026.413240796723,1756054349282,Synapse54,1756054349282,Synapse54
213,91202 (Glendale),91202,21555,21555,8240000.0,12586.13052702877,1756054349282,Synapse54,1756054349282,Synapse54
214,91203 (Glendale),91203,17796,17796,3203750.0,7653.550392833003,1756054349282,Synapse54,1756054349282,Synapse54
215,91204 (Glendale),91204,16825,16825,3886250.0,12627.958758843704,1756054349282,Synapse54,1756054349282,Synapse54
