OBJECTID,DESCRIPTION,ID,MP10116A_B,MP10116A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
70,33471 (Moore Haven),33471,1062,19.39,19.39,1682803750.0,336020.5385984435,1754588058897,Synapse54,1754588058897,Synapse54
71,33472 (Boynton Beach),33472,2265,13.97,13.97,43745000.0,43307.967349053826,1754588058897,Synapse54,1754588058897,Synapse54
72,33473 (Boynton Beach),33473,1417,13.46,13.46,26855000.0,32973.39058380805,1754588058897,Synapse54,1754588058897,Synapse54
73,33476 (Pahokee),33476,1253,22.82,22.82,65206250.0,46198.61435573797,1754588058897,Synapse54,1754588058897,Synapse54
74,33477 (Jupiter),33477,1229,10.08,10.08,19965859.9296875,75039.0755705744,1754588058897,Synapse54,1754588058897,Synapse54
75,33478 (Jupiter),33478,1705,14.44,14.44,197121250.0,69869.8090032051,1754588058897,Synapse54,1754588058897,Synapse54
76,33480 (Palm Beach),33480,945,9.31,9.31,12435000.0,59683.373113150206,1754588058897,Synapse54,1754588058897,Synapse54
77,33483 (Delray Beach),33483,1649,13.16,13.16,12545000.0,62550.95970231707,1754588058897,Synapse54,1754588058897,Synapse54
78,33484 (Delray Beach),33484,3619,13.97,13.97,20327500.0,20507.814532918943,1754588058897,Synapse54,1754588058897,Synapse54
79,33486 (Boca Raton),33486,2777,15.81,15.81,17785000.0,19709.855598794922,1754588058897,Synapse54,1754588058897,Synapse54
80,33487 (Boca Raton),33487,3209,16.12,16.12,23523750.0,22785.591196029432,1754588058897,Synapse54,1754588058897,Synapse54
81,33493 (South Bay),33493,947,23.06,23.06,182738750.0,71403.41271541319,1754588058897,Synapse54,1754588058897,Synapse54
82,33496 (Boca Raton),33496,3128,13.73,13.73,33811250.0,26012.339904673936,1754588058897,Synapse54,1754588058897,Synapse54
83,33498 (Boca Raton),33498,1610,13.5,13.5,39127500.0,31108.73378026314,1754588058897,Synapse54,1754588058897,Synapse54
84,33510 (Brandon),33510,4872,20.21,20.21,27703750.0,26239.762483096973,1754588058897,Synapse54,1754588058897,Synapse54
85,33511 (Brandon),33511,9874,21.13,21.13,53068750.0,41235.39895271919,1754588058897,Synapse54,1754588058897,Synapse54
86,33513 (Bushnell),33513,2226,19.78,19.78,374723750.0,107598.33984955748,1754588058897,Synapse54,1754588058897,Synapse54
87,33514 (Center Hill),33514,688,20.6,20.6,96380000.0,61958.99789015914,1754588058897,Synapse54,1754588058897,Synapse54
88,33521 (Coleman),33521,27,20.61,20.61,801250.0,4157.015545871665,1754588058897,Synapse54,1754588058897,Synapse54
89,33523 (Dade City),33523,3123,21.24,21.24,358240000.0,153834.85392889465,1754588058897,Synapse54,1754588058897,Synapse54
90,33525 (Dade City),33525,3149,18.51,18.51,398958750.0,159992.5196724032,1754588058897,Synapse54,1754588058897,Synapse54
91,33527 (Dover),33527,2659,19.83,19.83,100267500.0,72434.80353898628,1754588058897,Synapse54,1754588058897,Synapse54
92,33534 (Gibsonton),33534,3212,23.16,23.16,46398750.0,58089.5577325058,1754588058897,Synapse54,1754588058897,Synapse54
93,33538 (Lake Panasoffkee),33538,795,18.36,18.36,269258750.0,105702.82117411778,1754588058897,Synapse54,1754588058897,Synapse54
94,33540 (Zephyrhills),33540,1832,18.81,18.81,127336250.0,78365.48651589664,1754588058897,Synapse54,1754588058897,Synapse54
95,33541 (Zephyrhills),33541,4602,18.75,18.75,69780701.22265625,55161.29227619964,1754588058897,Synapse54,1754588058897,Synapse54
96,33542 (Zephyrhills),33542,3664,19.2,19.2,36197500.0,30115.388601521187,1754588058897,Synapse54,1754588058897,Synapse54
97,33543 (Wesley Chapel),33543,6592,18.8,18.8,88817500.0,40310.38626526354,1754588058897,Synapse54,1754588058897,Synapse54
98,33544 (Wesley Chapel),33544,4808,19.63,19.63,96568750.0,62076.939754326864,1754588058897,Synapse54,1754588058897,Synapse54
99,33545 (Wesley Chapel),33545,5727,20.39,20.39,89240000.0,47327.0245403971,1754588058897,Synapse54,1754588058897,Synapse54
100,33547 (Lithia),33547,4840,18.98,18.98,527830000.0,139426.1904800881,1754588058897,Synapse54,1754588058897,Synapse54
101,33548 (Lutz),33548,1012,15.19,15.19,27129737.275390625,35126.84590654534,1754588058897,Synapse54,1754588058897,Synapse54
102,33549 (Lutz),33549,2948,18.39,18.39,45541250.0,38302.06478823915,1754588058897,Synapse54,1754588058897,Synapse54
103,33556 (Odessa),33556,4867,16.86,16.86,161007500.0,72931.85988723856,1754588058897,Synapse54,1754588058897,Synapse54
104,33558 (Lutz),33558,4134,17.25,17.25,67840000.0,44828.671968668576,1754588058897,Synapse54,1754588058897,Synapse54
105,33559 (Lutz),33559,3272,21.12,21.12,43037500.0,47838.98685222391,1754588058897,Synapse54,1754588058897,Synapse54
106,33563 (Plant City),33563,4535,21.61,21.61,44693750.0,41998.465063380536,1754588058897,Synapse54,1754588058897,Synapse54
107,33565 (Plant City),33565,3248,19.96,19.96,270875000.0,119750.3092722859,1754588058897,Synapse54,1754588058897,Synapse54
108,33566 (Plant City),33566,3751,20.95,20.95,89987500.0,74659.512991819,1754588058897,Synapse54,1754588058897,Synapse54
109,33567 (Plant City),33567,2129,22.07,22.07,153923750.0,63789.56769290857,1754588058897,Synapse54,1754588058897,Synapse54
110,33569 (Riverview),33569,5045,20.34,20.34,47735000.0,38652.65338655548,1754588058897,Synapse54,1754588058897,Synapse54
111,33570 (Ruskin),33570,6853,22.11,22.11,149493737.45507812,227803.68942290012,1754588058897,Synapse54,1754588058897,Synapse54
112,33572 (Apollo Beach),33572,3835,16.15,16.15,47646032.5703125,121225.63784892365,1754588058897,Synapse54,1754588058897,Synapse54
113,33573 (Sun City Center),33573,4873,14.97,14.97,61138750.0,40624.585493027,1754588058897,Synapse54,1754588058897,Synapse54
114,33576 (San Antonio),33576,1560,14.47,14.47,69252500.0,61830.614793460074,1754588058897,Synapse54,1754588058897,Synapse54
115,33578 (Riverview),33578,11197,22.23,22.23,64616250.0,78039.04643601396,1754588058897,Synapse54,1754588058897,Synapse54
116,33579 (Riverview),33579,7995,20.1,20.1,71221250.0,38541.11973293543,1754588058897,Synapse54,1754588058897,Synapse54
117,33584 (Seffner),33584,5112,20.7,20.7,69555000.0,56471.132237743994,1754588058897,Synapse54,1754588058897,Synapse54
118,33585 (Sumterville),33585,396,21.2,21.2,113012500.0,95194.86506436394,1754588058897,Synapse54,1754588058897,Synapse54
119,33592 (Thonotosassa),33592,2056,19.77,19.77,169675000.0,84503.50444039646,1754588058897,Synapse54,1754588058897,Synapse54
120,33594 (Valrico),33594,5127,19.26,19.26,31996250.0,27626.462383143025,1754588058897,Synapse54,1754588058897,Synapse54
121,33596 (Valrico),33596,3834,16.56,16.56,48102500.0,36945.864604569055,1754588058897,Synapse54,1754588058897,Synapse54
122,33597 (Webster),33597,1371,20.16,20.16,729327500.0,177182.58517743865,1754588058897,Synapse54,1754588058897,Synapse54
123,33598 (Wimauma),33598,5990,21.87,21.87,340535000.0,116785.15428113312,1754588058897,Synapse54,1754588058897,Synapse54
124,33602 (Tampa),33602,4245,19.51,19.51,9795000.0,20574.020896310325,1754588058897,Synapse54,1754588058897,Synapse54
125,33603 (Tampa),33603,2906,19.16,19.16,13975000.0,18266.81341303263,1754588058897,Synapse54,1754588058897,Synapse54
126,33604 (Tampa),33604,6230,20.79,20.79,25620000.0,28755.714682642658,1754588058897,Synapse54,1754588058897,Synapse54
127,33605 (Tampa),33605,3328,22.46,22.46,27691250.0,38581.353947746364,1754588058897,Synapse54,1754588058897,Synapse54
128,33606 (Tampa),33606,3658,17.28,17.28,11284255.845703125,30249.065327706656,1754588058897,Synapse54,1754588058897,Synapse54
129,33607 (Tampa),33607,5085,21.64,21.64,33381250.0,61210.02888245904,1754588058897,Synapse54,1754588058897,Synapse54
