OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
49,Fowler Theatre,E 5th St,Fowler,Indiana,IN,47944,1443,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,7,245000.0,Data Axle,965348977c4dc1d767f62391ae04367b,"Fowler Theatre, Fowler, Indiana",40.617976,-87.322932,1758493572227,Synapse54,1758493572227,Synapse54
50,Georgetown Drive in Theater,State Road 64,Georgetown,Indiana,IN,47122,9055,51213202,"51213202, 71111007",783301,"783301, 792207","Drive-In Motion Picture Theaters, Theatres-Live",,,,High,Information,Independent,1500 - 2499,1500.0,2499.0,1,32000.0,Data Axle,72e592a0240bd906ce01a68a3b3b74ab,"Georgetown Drive in Theater, Georgetown, Indiana",38.29658899999997,-85.960706,1758493572227,Synapse54,1758493572227,Synapse54
51,Gibson Theatre,N Main St,Batesville,Indiana,IN,47006,1245,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,12,484000.0,Data Axle,ccc74c360893bf805f1c6407f055c124,"Gibson Theatre, Batesville, Indiana",39.29955799999999,-85.222088,1758493572227,Synapse54,1758493572227,Synapse54
52,Glendale 12-Landmark Theatres,N Rural St,Indianapolis,Indiana,IN,46220,2974,51213101,51213101,783201,783201,Theatres-Movie,,,Landmark Theatres,Medium,Information,Branch,10000 - 19999,10000.0,19999.0,5,317000.0,Data Axle,7a4bdad4bdc42d2bd18ca65b03a03792,"Glendale 12-Landmark Theatres, Indianapolis, Indiana",39.86559999999998,-86.1176,1758493572227,Synapse54,1758493572227,Synapse54
53,Greendale Cinemas,Flossie Dr,Lawrenceburg,Indiana,IN,47025,8973,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,8,,Data Axle,1d260da07a6bc242942445a597119966,"Greendale Cinemas, Lawrenceburg, Indiana",39.127376000000005,-84.839266,1758493572227,Synapse54,1758493572227,Synapse54
54,Holiday Drive-in Theatre,N State Road 161,Rockport,Indiana,IN,47635,8831,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,,High,Information,Independent,1500 - 2499,1500.0,2499.0,2,45000.0,Data Axle,31e2fa2fb350bef8c4d6230dcd2e6996,"Holiday Drive-in Theatre, Rockport, Indiana",37.89725399999999,-87.11120900000002,1758493572227,Synapse54,1758493572227,Synapse54
55,Hoosier Theatre,119th St,Whiting,Indiana,IN,46394,1627,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,8,458000.0,Data Axle,3e2c0bad21fd0f5f26b613f65270446e,"Hoosier Theatre, Whiting, Indiana",41.67948299999999,-87.496262,1758493572227,Synapse54,1758493572227,Synapse54
56,Huntington 7-GQT Movies,Hauenstein Rd,Huntington,Indiana,IN,46750,8898,51213101,51213101,783201,783201,Theatres-Movie,,,"Goodrich Theater OpCo, LLC",High,Information,Branch,20000 - 39999,20000.0,39999.0,12,485000.0,Data Axle,c3c8307e2ce253d164205bce322514dd,"Huntington 7-GQT Movies, Huntington, Indiana",40.89615699999998,-85.521049,1758493572227,Synapse54,1758493572227,Synapse54
57,Huntington Twin Drive-in-GQT Movies,Condit St,Huntington,Indiana,IN,46750,4312,51213101,"51213101, 51213202",783201,"783201, 783301","Theatres-Movie, Drive-In Motion Picture Theaters",,,"Goodrich Theater OpCo, LLC",High,Information,Branch,10000 - 19999,10000.0,19999.0,7,283000.0,Data Axle,8f05155b5907b9a81ff5163e86347d71,"Huntington Twin Drive-in-GQT Movies, Huntington, Indiana",40.89144999999997,-85.4796,1758493572227,Synapse54,1758493572227,Synapse54
58,IMAX Theatre at the Indiana State Museum,W Washington St,Indianapolis,Indiana,IN,46204,2725,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,40000 - 99999,40000.0,99999.0,16,1015000.0,Data Axle,2e11c3f223727ce30c459622fd02bc06,"IMAX Theatre at the Indiana State Museum, Indianapolis, Indiana",39.768663999999994,-86.16977900000002,1758493572227,Synapse54,1758493572227,Synapse54
