OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK2,TPOPK2_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
63,54451 (Medford),Taylor County,Wisconsin,862751197ffffff,0,0.0,0.0,76302500.0,32530.277676028927,1758491864931,Synapse54,1758491864931,Synapse54
64,54425 (Dorchester),Clark County,Wisconsin,86275119fffffff,0,0.0,0.0,76113749.99609375,32487.859304785983,1758491864931,Synapse54,1758491864931,Synapse54
65,54480 (Stetsonville),Taylor County,Wisconsin,8627511a7ffffff,0,0.0,0.0,76113749.99609375,32487.859304785983,1758491864931,Synapse54,1758491864931,Synapse54
66,54480 (Stetsonville),Taylor County,Wisconsin,8627511afffffff,0,0.0,0.0,76376250.00390625,32543.433155668696,1758491864931,Synapse54,1758491864931,Synapse54
67,54451 (Medford),Taylor County,Wisconsin,8627511b7ffffff,0,0.0,0.0,76462500.0,32561.62161829029,1758491864931,Synapse54,1758491864931,Synapse54
68,54454 (Milladore),Wood County,Wisconsin,862751207ffffff,0,0.0,0.0,74760000.0,32199.2193476985,1758491864931,Synapse54,1758491864931,Synapse54
69,54475 (Rudolph),Wood County,Wisconsin,86275120fffffff,0,0.0,0.0,74575000.00390625,32157.241636058992,1758491864931,Synapse54,1758491864931,Synapse54
70,54410 (Arpin),Wood County,Wisconsin,862751217ffffff,0,0.0,0.0,74450000.00390625,32129.962449424496,1758491864931,Synapse54,1758491864931,Synapse54
71,54410 (Arpin),Wood County,Wisconsin,86275121fffffff,0,0.0,0.0,74110000.0,32059.614893877708,1758491864931,Synapse54,1758491864931,Synapse54
72,54443 (Junction City),Portage County,Wisconsin,862751227ffffff,0,0.0,0.0,74759999.99609375,32199.2193476985,1758491864931,Synapse54,1758491864931,Synapse54
73,54443 (Junction City),Portage County,Wisconsin,86275122fffffff,0,0.0,0.0,74573750.0,32157.207560201812,1758491864931,Synapse54,1758491864931,Synapse54
74,54454 (Milladore),Wood County,Wisconsin,862751237ffffff,0,0.0,0.0,74760000.0,32199.2193476985,1758491864931,Synapse54,1758491864931,Synapse54
75,54475 (Rudolph),Wood County,Wisconsin,862751257ffffff,0,0.0,0.0,74132499.99609375,32063.90237229379,1758491864931,Synapse54,1758491864931,Synapse54
76,54494 (Wisconsin Rapids),Wood County,Wisconsin,86275125fffffff,0,0.0,0.0,74132500.0,32063.902372293785,1758491864931,Synapse54,1758491864931,Synapse54
