OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2427,46013 (Anderson),Madison County,Indiana,862a92547ffffff,3078,19.22,19.22,60553750.0,28992.99330897692,1758492439424,Synapse54,1758492439424,Synapse54
2428,47805 (Terre Haute),Vigo County,Indiana,86266179fffffff,237,21.53,21.53,59049999.99609375,28634.316482451464,1758492439424,Synapse54,1758492439424,Synapse54
2429,47371 (Portland),Jay County,Indiana,862a962d7ffffff,60,19.17,19.17,61967500.0,29327.341834312327,1758492439424,Synapse54,1758492439424,Synapse54
2430,47874 (Rosedale),Parke County,Indiana,8626617a7ffffff,55,18.15,18.15,59105000.0,28645.7787247476,1758492439424,Synapse54,1758492439424,Synapse54
2431,46013 (Anderson),Madison County,Indiana,862a9254fffffff,1050,23.34,23.34,60553749.99609375,28992.993308976922,1758492439424,Synapse54,1758492439424,Synapse54
2432,47837 (Carbon),Clay County,Indiana,8626617afffffff,180,21.05,21.05,58920000.0,28599.412978578144,1758492439424,Synapse54,1758492439424,Synapse54
2433,47432 (French Lick),Dubois County,Indiana,86266e36fffffff,95,20.61,20.61,55991249.99609375,27889.601444440803,1758492439424,Synapse54,1758492439424,Synapse54
2434,47874 (Rosedale),Parke County,Indiana,8626617b7ffffff,39,20.31,20.31,58920000.00390625,28599.412978578144,1758492439424,Synapse54,1758492439424,Synapse54
2435,46011 (Anderson),Madison County,Indiana,862a92557ffffff,208,21.25,21.25,60553749.99609375,28992.993308976922,1758492439424,Synapse54,1758492439424,Synapse54
2436,46052 (Lebanon),Boone County,Indiana,862661807ffffff,274,21.56,21.56,60631250.0,29013.550319501686,1758492439424,Synapse54,1758492439424,Synapse54
2437,47371 (Portland),Jay County,Indiana,862a962dfffffff,315,16.06,16.06,62082500.00390625,29353.630517113445,1758492439424,Synapse54,1758492439424,Synapse54
2438,46052 (Lebanon),Boone County,Indiana,86266180fffffff,111,21.26,21.26,60531250.00390625,28987.99797647625,1758492439424,Synapse54,1758492439424,Synapse54
2439,46011 (Anderson),Madison County,Indiana,862a9255fffffff,1135,22.22,22.22,60510000.0078125,28979.332364719467,1758492439424,Synapse54,1758492439424,Synapse54
2440,46052 (Lebanon),Boone County,Indiana,862661817ffffff,110,21.15,21.15,60802499.9921875,29048.83105533766,1758492439424,Synapse54,1758492439424,Synapse54
2441,47581 (Shoals),Martin County,Indiana,86266e377ffffff,30,21.28,21.28,55991250.0,27889.601444440803,1758492439424,Synapse54,1758492439424,Synapse54
2442,46052 (Lebanon),Boone County,Indiana,86266181fffffff,3129,18.77,18.77,60502499.99609375,28981.690602013176,1758492439424,Synapse54,1758492439424,Synapse54
2443,46012 (Anderson),Madison County,Indiana,862a92567ffffff,4426,18.22,18.22,60957499.9921875,29092.28175687831,1758492439424,Synapse54,1758492439424,Synapse54
2444,46052 (Lebanon),Boone County,Indiana,862661827ffffff,94,21.22,21.22,60850000.00390625,29066.555094672553,1758492439424,Synapse54,1758492439424,Synapse54
2445,45846 (Fort Recovery),Mercer County,Ohio,862a962f7ffffff,53,15.32,15.32,62025000.0,29339.52725078742,1758492439424,Synapse54,1758492439424,Synapse54
2446,46052 (Lebanon),Boone County,Indiana,86266182fffffff,58,21.64,21.64,60502499.9921875,28981.690602013176,1758492439424,Synapse54,1758492439424,Synapse54
2447,46017 (Anderson),Madison County,Indiana,862a9256fffffff,1062,18.49,18.49,60427500.00390625,28959.57401959147,1758492439424,Synapse54,1758492439424,Synapse54
2448,46052 (Lebanon),Boone County,Indiana,862661837ffffff,141,21.76,21.76,60502500.0078125,28981.456138879254,1758492439424,Synapse54,1758492439424,Synapse54
2449,47558 (Montgomery),Daviess County,Indiana,86266e387ffffff,80,20.15,20.15,56227499.99609375,27951.22291090915,1758492439424,Synapse54,1758492439424,Synapse54
2450,46077 (Zionsville),Boone County,Indiana,862661847ffffff,2386,23.54,23.54,60343749.99609375,28940.957776940457,1758492439424,Synapse54,1758492439424,Synapse54
2451,46011 (Anderson),Madison County,Indiana,862a92577ffffff,2836,19.49,19.49,61013750.0,29098.870423874323,1758492439424,Synapse54,1758492439424,Synapse54
2452,46077 (Zionsville),Boone County,Indiana,86266184fffffff,2359,20.09,20.09,60288750.0,28927.362693493556,1758492439424,Synapse54,1758492439424,Synapse54
2453,46772 (Monroe),Adams County,Indiana,862a96387ffffff,113,11.84,11.84,62887500.0,29545.73212077845,1758492439424,Synapse54,1758492439424,Synapse54
2454,46075 (Whitestown),Boone County,Indiana,862661857ffffff,1017,17.9,17.9,60502500.0,28981.456138879254,1758492439424,Synapse54,1758492439424,Synapse54
2455,46034 (Cicero),Hamilton County,Indiana,862a92587ffffff,999,20.79,20.79,60721249.99609375,29032.822902260006,1758492439424,Synapse54,1758492439424,Synapse54
2456,46075 (Whitestown),Boone County,Indiana,86266185fffffff,2787,19.99,19.99,60045000.0,28873.648533370855,1758492439424,Synapse54,1758492439424,Synapse54
2457,47558 (Montgomery),Daviess County,Indiana,86266e38fffffff,28,20.9,20.9,56020000.00390625,27901.363174591632,1758492439424,Synapse54,1758492439424,Synapse54
2458,46077 (Zionsville),Boone County,Indiana,862661867ffffff,589,23.33,23.33,60343750.0,28940.957776940453,1758492439424,Synapse54,1758492439424,Synapse54
2459,46062 (Noblesville),Hamilton County,Indiana,862a9258fffffff,1313,21.25,21.25,60607499.9921875,29006.346578221033,1758492439424,Synapse54,1758492439424,Synapse54
2460,46075 (Whitestown),Boone County,Indiana,862661877ffffff,295,21.64,21.64,60258750.00390625,28920.886528785366,1758492439424,Synapse54,1758492439424,Synapse54
2461,45882 (Rockford),Mercer County,Ohio,862a9638fffffff,69,13.17,13.17,62627500.0,29480.7700830923,1758492439424,Synapse54,1758492439424,Synapse54
2462,46071 (Thorntown),Boone County,Indiana,862661887ffffff,67,21.97,21.97,60371249.99609375,28949.08875276153,1758492439424,Synapse54,1758492439424,Synapse54
2463,46034 (Cicero),Hamilton County,Indiana,862a92597ffffff,141,23.42,23.42,60821250.0,29053.344694566124,1758492439424,Synapse54,1758492439424,Synapse54
2464,46052 (Lebanon),Boone County,Indiana,86266188fffffff,231,20.57,20.57,60502500.00390625,28981.456138879257,1758492439424,Synapse54,1758492439424,Synapse54
2465,47501 (Washington),Daviess County,Indiana,86266e397ffffff,202,23.49,23.49,56002500.00390625,27890.164192107295,1758492439424,Synapse54,1758492439424,Synapse54
2466,47940 (Darlington),Montgomery County,Indiana,862661897ffffff,46,22.55,22.55,60747500.0078125,29042.65756276,1758492439424,Synapse54,1758492439424,Synapse54
2467,46062 (Noblesville),Hamilton County,Indiana,862a9259fffffff,1271,21.16,21.16,60418750.0078125,28959.464225184853,1758492439424,Synapse54,1758492439424,Synapse54
2468,46147 (Jamestown),Boone County,Indiana,86266189fffffff,71,22.26,22.26,60587499.9921875,29002.093527932393,1758492439424,Synapse54,1758492439424,Synapse54
2469,46781 (Poneto),Wells County,Indiana,862a96617ffffff,54,19.78,19.78,62475000.0,29445.585269009665,1758492439424,Synapse54,1758492439424,Synapse54
2470,46071 (Thorntown),Boone County,Indiana,8626618a7ffffff,406,21.71,21.71,60661249.99609375,29022.188963951976,1758492439424,Synapse54,1758492439424,Synapse54
2471,46030 (Arcadia),Hamilton County,Indiana,862a925a7ffffff,341,20.72,20.72,60936249.9921875,29079.8921074294,1758492439424,Synapse54,1758492439424,Synapse54
2472,46052 (Lebanon),Boone County,Indiana,8626618afffffff,99,22.3,22.3,60502500.00390625,28981.690602013176,1758492439424,Synapse54,1758492439424,Synapse54
2473,46034 (Cicero),Hamilton County,Indiana,862a925afffffff,157,20.66,20.66,61110000.0,29125.58155942048,1758492439424,Synapse54,1758492439424,Synapse54
2474,46071 (Thorntown),Boone County,Indiana,8626618b7ffffff,49,19.52,19.52,60157499.99609375,28896.694763576186,1758492439424,Synapse54,1758492439424,Synapse54
2475,47501 (Washington),Daviess County,Indiana,86266e39fffffff,66,20.12,20.12,55815000.00390625,27846.235548984772,1758492439424,Synapse54,1758492439424,Synapse54
2476,46052 (Lebanon),Boone County,Indiana,8626618c7ffffff,85,22.55,22.55,60343749.9921875,28940.957776940453,1758492439424,Synapse54,1758492439424,Synapse54
2477,46031 (Atlanta),Hamilton County,Indiana,862a925b7ffffff,102,21.84,21.84,61110000.0,29125.58155942048,1758492439424,Synapse54,1758492439424,Synapse54
2478,46167 (Pittsboro),Hendricks County,Indiana,8626618cfffffff,153,20.18,20.18,59942500.00390625,28847.45717593859,1758492439424,Synapse54,1758492439424,Synapse54
2479,46781 (Poneto),Wells County,Indiana,862a9661fffffff,72,16.36,16.36,62474999.99609375,29445.58526900966,1758492439424,Synapse54,1758492439424,Synapse54
2480,46147 (Jamestown),Boone County,Indiana,8626618d7ffffff,67,19.31,19.31,60373749.99609375,28949.596421390746,1758492439424,Synapse54,1758492439424,Synapse54
2481,46161 (Morristown),Shelby County,Indiana,862a92607ffffff,311,20.56,20.56,59308749.99609375,28692.532268989817,1758492439424,Synapse54,1758492439424,Synapse54
2482,46147 (Jamestown),Hendricks County,Indiana,8626618dfffffff,221,23.07,23.07,60186249.99609375,28903.00213803926,1758492439424,Synapse54,1758492439424,Synapse54
2483,47557 (Monroe City),Knox County,Indiana,86266e627ffffff,20,17.86,17.86,56397500.00390625,27988.477631370162,1758492439424,Synapse54,1758492439424,Synapse54
2484,47933 (Crawfordsville),Montgomery County,Indiana,862661c5fffffff,541,21.28,21.28,60157499.99609375,28896.694763576186,1758492439424,Synapse54,1758492439424,Synapse54
2485,46176 (Shelbyville),Shelby County,Indiana,862a9260fffffff,69,20.18,20.18,59307499.99609375,28692.604877205555,1758492439424,Synapse54,1758492439424,Synapse54
2486,47933 (Crawfordsville),Montgomery County,Indiana,862661c67ffffff,241,20.83,20.83,60371250.00390625,28949.08875276153,1758492439424,Synapse54,1758492439424,Synapse54
2487,46714 (Bluffton),Wells County,Indiana,862a96627ffffff,131,18.71,18.71,62475000.0,29445.585269009665,1758492439424,Synapse54,1758492439424,Synapse54
2488,47933 (Crawfordsville),Montgomery County,Indiana,862661c6fffffff,40,21.16,21.16,60371250.00390625,28949.088752761527,1758492439424,Synapse54,1758492439424,Synapse54
