OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
42,AMC Quarry Cinemas 14,W 63 Rd St,Hodgkins,Illinois,IL,60525,4157,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,28,1924000.0,Data Axle,db010d58761f31b11236cc855bc9ee43,"AMC Quarry Cinemas 14, Hodgkins, Illinois",41.77664999999997,-87.85897499999999,1758493555740,Synapse54,1758493555740,Synapse54
43,AMC Randhurst 12,Randhurst Village Dr,Mount Prospect,Illinois,IL,60056,1297,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,20000 - 39999,20000.0,39999.0,9,1095000.0,Data Axle,81e7be540d73df98af0df2da9e2ae616,"AMC Randhurst 12, Mount Prospect, Illinois",42.085774,-87.931244,1758493555740,Synapse54,1758493555740,Synapse54
44,AMC River East 21,E Illinois St,Chicago,Illinois,IL,60611,4364,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,120,8245000.0,Data Axle,197f49a3d0aef6b7658ee711606327aa,"AMC River East 21, Chicago, Illinois",41.89143299999999,-87.61897199999999,1758493555740,Synapse54,1758493555740,Synapse54
45,AMC Rockford 16,E State St,Rockford,Illinois,IL,61108,2731,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,23,1311000.0,Data Axle,07e96b1d94b3b5d51d041ae5492389eb,"AMC Rockford 16, Rockford, Illinois",42.270578999999984,-88.95342599999998,1758493555740,Synapse54,1758493555740,Synapse54
46,AMC South Barrington 24,Studio Dr,South Barrington,Illinois,IL,60010,7142,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,101,6940000.0,Data Axle,11f95aaf585d010466735a2919a22dfb,"AMC South Barrington 24, South Barrington, Illinois",42.069937,-88.14859699999998,1758493555740,Synapse54,1758493555740,Synapse54
47,AMC Springfield 8,S Dirksen Pkwy,Springfield,Illinois,IL,62703,4505,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,20,1095000.0,Data Axle,4f15b61f509093fa9fd6762ff8e0758d,"AMC Springfield 8, Springfield, Illinois",39.76386799999998,-89.60842599999998,1758493555740,Synapse54,1758493555740,Synapse54
48,AMC Streets of Woodfield 20,N Martingale Rd,Schaumburg,Illinois,IL,60173,5909,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,46,3161000.0,Data Axle,8c2e0cfad9a54d883515cfe5acad0670,"AMC Streets of Woodfield 20, Schaumburg, Illinois",42.040505999999986,-88.03434,1758493555740,Synapse54,1758493555740,Synapse54
49,AMC University Place 8,E Main St,Carbondale,Illinois,IL,62901,3144,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",Medium,Information,Branch,40000 - 99999,40000.0,99999.0,19,939000.0,Data Axle,b58ae4556456ab45a4d5182ee4a9dfe9,"AMC University Place 8, Carbondale, Illinois",37.736084,-89.185462,1758493555740,Synapse54,1758493555740,Synapse54
50,AMC Village Crossing 18,Carpenter Rd,Skokie,Illinois,IL,60077,3236,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,49,3367000.0,Data Axle,b2e7e3738daa764f3b8fb4d11f2e2a0c,"AMC Village Crossing 18, Skokie, Illinois",42.00961699999999,-87.76501000000002,1758493555740,Synapse54,1758493555740,Synapse54
51,Arlee Theater Inc,S Main St,Mason City,Illinois,IL,62664,1460,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,1500 - 2499,1500.0,2499.0,2,84000.0,Data Axle,4120422fcb86c4817fc4998e19cb324e,"Arlee Theater Inc, Mason City, Illinois",40.20170099999999,-89.69742899999999,1758493555740,Synapse54,1758493555740,Synapse54
52,Avon Theater,S Austin Ave,Decatur,Illinois,IL,62522,1838,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,1500 - 2499,1500.0,2499.0,2,312000.0,Data Axle,33dcbb8cdda5398f7786d0aff53b9730,"Avon Theater, Decatur, Illinois",39.841852,-88.997076,1758493555740,Synapse54,1758493555740,Synapse54
53,Avon Theatre,N Water St,Decatur,Illinois,IL,62523,1138,51213101,"51213101, 71141013",783201,"783201, 792211","Theatres-Movie, Theatrical Managers & Producers",,,,High,Information,Independent,2500 - 4999,2500.0,4999.0,3,213000.0,Data Axle,142ef71ba8e1a6f7d09fc05f8afb1f15,"Avon Theatre, Decatur, Illinois",39.84518799999998,-88.95412600000002,1758493555740,Synapse54,1758493555740,Synapse54
54,Bar at IPIC Theaters,E Boughton Rd,Bolingbrook,Illinois,IL,60440,2486,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,,,,45,,Data Axle,6473beb0154265d168bdb685a326247b,"Bar at IPIC Theaters, Bolingbrook, Illinois",41.718602999999995,-88.042207,1758493555740,Synapse54,1758493555740,Synapse54
55,Bensenville Theater & Sundae's Too Ice Cream Shop,S Center St,Bensenville,Illinois,IL,60106,2129,51213101,"51213101, 72251512",783201,"783201, 581203","Theatres-Movie, Ice Cream Parlors",,,,Medium,Information,Independent,2500 - 4999,2500.0,4999.0,4,274000.0,Data Axle,705acca2381b14b21861a84d2083398d,"Bensenville Theater & Sundae's Too Ice Cream Shop, Bensenville, Illinois",41.95652699999999,-87.94100800000001,1758493555740,Synapse54,1758493555740,Synapse54
56,Carbon Arc,N Lincoln Ave,Chicago,Illinois,IL,60625,2008,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,1 - 1499,1.0,1499.0,2,,Data Axle,7f57cf5ceb758eaad8e7caba69b646ee,"Carbon Arc, Chicago, Illinois",41.96543099999999,-87.686837,1758493555740,Synapse54,1758493555740,Synapse54
57,Central Theatre,N State St,Geneseo,Illinois,IL,61254,1345,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,2500 - 4999,2500.0,4999.0,3,146000.0,Data Axle,2cd2f95d9c7d15680ce80959f9b0ce56,"Central Theatre, Geneseo, Illinois",41.453493,-90.156071,1758493555740,Synapse54,1758493555740,Synapse54
58,Chicago Theater Works,W Belmont Ave,Chicago,Illinois,IL,60657,3312,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,2500 - 4999,2500.0,4999.0,4,275000.0,Data Axle,fc41a9d0e95f97971215dddd93341843,"Chicago Theater Works, Chicago, Illinois",41.939608000000014,-87.657179,1758493555740,Synapse54,1758493555740,Synapse54
59,Cinema Chatham Powered By Emagine Theatres,W 87th St,Chicago,Illinois,IL,60620,1305,51213101,51213101,783201,783201,Theatres-Movie,,,"Emagine Entertainment, Inc",High,Information,Branch,2500 - 4999,2500.0,4999.0,4,275000.0,Data Axle,cb4094f23b3d7c787df3e0e1c681dac5,"Cinema Chatham Powered By Emagine Theatres, Chicago, Illinois",41.739326000000005,-87.630587,1758493555740,Synapse54,1758493555740,Synapse54
60,Cinema Home Solutions,Meadow Path,Manteno,Illinois,IL,60950,3742,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,,,,37,2156000.0,Data Axle,b08e1cf2a6aad8171c3abe9338983d4d,"Cinema Home Solutions, Manteno, Illinois",41.23509399999998,-87.85600899999999,1758493555740,Synapse54,1758493555740,Synapse54
61,Cinema Libertad,S Michigan Ave,Chicago,Illinois,IL,60605,1472,51213101,"51213101, 51211008",783201,"783201, 781205","Theatres-Movie, Motion Picture Producers & Studios",,,,High,Information,Independent,20000 - 39999,20000.0,39999.0,5,344000.0,Data Axle,b727afbe0045a7464963ce04ae1f809e,"Cinema Libertad, Chicago, Illinois",41.87646800000001,-87.62484599999998,1758493555740,Synapse54,1758493555740,Synapse54
62,Cinema/Chicago,W Van Buren St,Chicago,Illinois,IL,60607,3978,51213101,"51213101, 71211004, 99999005",783201,"783201, 841202, 999966","Theatres-Movie, Arts Organizations & Information, Federal Government Contractors",,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,7,481000.0,Data Axle,788d343669a0e71442fad5afd855c364,"Cinema/Chicago, Chicago, Illinois",41.877050999999994,-87.634311,1758493555740,Synapse54,1758493555740,Synapse54
63,Cinemark Bourbonnais Movies 10,N State Route 50,Bourbonnais,Illinois,IL,60914,5115,51213101,"51213101, 71394010",783201,"783201, 799935","Theatres-Movie, Halls & Auditoriums",,,"Cinemark USA, Inc",High,Information,Branch,100000+,100000.0,,29,1690000.0,Data Axle,9775f84e436389d34942bde433e01805,"Cinemark Bourbonnais Movies 10, Bourbonnais, Illinois",41.174361000000005,-87.848221,1758493555740,Synapse54,1758493555740,Synapse54
64,Cinemark Cantera Warrenville and XD,Diehl Rd,Warrenville,Illinois,IL,60555,2739,51213101,51213101,783201,783201,Theatres-Movie,,,"Cinemark USA, Inc",High,Information,Branch,,,,63,4314000.0,Data Axle,4badcac6c8380bff5925647f86cfbb2e,"Cinemark Cantera Warrenville and XD, Warrenville, Illinois",41.804922999999974,-88.171151,1758493555740,Synapse54,1758493555740,Synapse54
65,Cinemark Century Deer Park 16,W Field Pkwy,Deer Park,Illinois,IL,60010,7244,51213101,"51213101, 71394010",783201,"783201, 799935","Theatres-Movie, Halls & Auditoriums",,,"Cinemark USA, Inc",High,Information,Branch,20000 - 39999,20000.0,39999.0,15,,Data Axle,0ff08e4ec60e4c445c8b93270fadd216,"Cinemark Century Deer Park 16, Deer Park, Illinois",42.15939299999998,-88.054921,1758493555740,Synapse54,1758493555740,Synapse54
66,Cinemark Louis Joliet Mall,Mall Loop Dr,Joliet,Illinois,IL,60431,1092,51213101,"51213101, 71394010, 62132003, 45613004",783201,"783201, 799935, 804201, 599504","Theatres-Movie, Halls & Auditoriums, Optometrists OD, Opticians",,,"Cinemark USA, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,15,923000.0,Data Axle,a66b57d72a7bd6a2fccb332001083819,"Cinemark Louis Joliet Mall, Joliet, Illinois",41.577943999999995,-88.16451199999997,1758493555740,Synapse54,1758493555740,Synapse54
67,Cinemark Melrose Park and XD,W North Ave,Melrose Park,Illinois,IL,60160,1500,51213101,"51213101, 72251115, 71394010",783201,"783201, 581222, 799935","Theatres-Movie, Pizza, Halls & Auditoriums",,,"Cinemark USA, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,55,3779000.0,Data Axle,c7f2b53d23dd805f82ac622989388513,"Cinemark Melrose Park and XD, Melrose Park, Illinois",41.90977699999999,-87.84640599999999,1758493555740,Synapse54,1758493555740,Synapse54
68,Cinemark Seven Bridges and IMAX,Route 53,Woodridge,Illinois,IL,60517,1213,51213101,"51213101, 71394010",783201,"783201, 799935","Theatres-Movie, Halls & Auditoriums",,,"Cinemark USA, Inc",High,Information,Branch,20000 - 39999,20000.0,39999.0,11,819000.0,Data Axle,63491339c0c27e94dbedee5eb5bd016b,"Cinemark Seven Bridges and IMAX, Woodridge, Illinois",41.76766599999999,-88.069504,1758493555740,Synapse54,1758493555740,Synapse54
69,Cinemark Tinseltown USA Aurora,S Lincolnway,North Aurora,Illinois,IL,60542,1706,51213101,"51213101, 45712008, 71394010",783201,"783201, 554112, 799935","Theatres-Movie, Electric Charging Station, Halls & Auditoriums",,,"Cinemark USA, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,21,1285000.0,Data Axle,a9e0aa7c3ce9dde3a393c7454fdd7627,"Cinemark Tinseltown USA Aurora, North Aurora, Illinois",41.791623999999985,-88.32501299999997,1758493555740,Synapse54,1758493555740,Synapse54
70,Cinemark West Dundee and XD,Spring Hill Mall,West Dundee,Illinois,IL,60118,1270,51213101,"51213101, 71394010",783201,"783201, 799935","Theatres-Movie, Halls & Auditoriums",,,"Cinemark USA, Inc",High,Information,Branch,100000+,100000.0,,50,2875000.0,Data Axle,6cce9f642a167950ed0746598fef9541,"Cinemark West Dundee and XD, West Dundee, Illinois",42.10205699999998,-88.29740700000002,1758493555740,Synapse54,1758493555740,Synapse54
