OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1855,47334 (Daleville),Delaware County,Indiana,862a92cefffffff,183,22.34,22.34,61121250.00390625,29126.248879380768,1758492487369,Synapse54,1758492487369,Synapse54
1856,46001 (Alexandria),Madison County,Indiana,862a92cf7ffffff,1414,20.26,20.26,61362500.0,29185.95130895956,1758492487369,Synapse54,1758492487369,Synapse54
1857,46953 (Marion),Grant County,Indiana,862a92d07ffffff,467,15.68,15.68,61901249.99609375,29312.125207548776,1758492487369,Synapse54,1758492487369,Synapse54
1858,46989 (Upland),Grant County,Indiana,862a92d0fffffff,273,13.52,13.52,61773750.00390625,29279.323757739232,1758492487369,Synapse54,1758492487369,Synapse54
1859,46933 (Gas City),Grant County,Indiana,862a92d17ffffff,1504,22.08,22.08,61901249.99609375,29312.125207548772,1758492487369,Synapse54,1758492487369,Synapse54
1860,46938 (Jonesboro),Grant County,Indiana,862a92d1fffffff,128,25.4,25.4,61901250.0,29312.125207548772,1758492487369,Synapse54,1758492487369,Synapse54
1861,46953 (Marion),Grant County,Indiana,862a92d27ffffff,111,25.11,25.11,61901249.99609375,29312.125207548772,1758492487369,Synapse54,1758492487369,Synapse54
1862,47348 (Hartford City),Blackford County,Indiana,862a92d2fffffff,73,27.14,27.14,62033750.0078125,29344.704068163766,1758492487369,Synapse54,1758492487369,Synapse54
1863,46953 (Marion),Grant County,Indiana,862a92d37ffffff,277,24.53,24.53,62250000.00390625,29391.487841926108,1758492487369,Synapse54,1758492487369,Synapse54
1864,47338 (Eaton),Delaware County,Indiana,862a92d47ffffff,225,25.42,25.42,61691250.0,29264.877298404357,1758492487369,Synapse54,1758492487369,Synapse54
1865,47338 (Eaton),Delaware County,Indiana,862a92d4fffffff,425,22.89,22.89,61442500.0,29205.90949155145,1758492487369,Synapse54,1758492487369,Synapse54
1866,46989 (Upland),Grant County,Indiana,862a92d57ffffff,151,27.86,27.86,61901250.00390625,29312.125207548776,1758492487369,Synapse54,1758492487369,Synapse54
1867,47303 (Muncie),Delaware County,Indiana,862a92d5fffffff,82,24.77,24.77,61235000.0,29152.460930749803,1758492487369,Synapse54,1758492487369,Synapse54
1868,47348 (Hartford City),Blackford County,Indiana,862a92d67ffffff,121,26.54,26.54,62033749.9921875,29344.704068163766,1758492487369,Synapse54,1758492487369,Synapse54
1869,47338 (Eaton),Delaware County,Indiana,862a92d6fffffff,86,25.52,25.52,61558750.00390625,29232.298437789363,1758492487369,Synapse54,1758492487369,Synapse54
1870,47348 (Hartford City),Blackford County,Indiana,862a92d77ffffff,373,24.33,24.33,61691250.0,29264.877298404357,1758492487369,Synapse54,1758492487369,Synapse54
1871,46938 (Jonesboro),Grant County,Indiana,862a92d87ffffff,82,25.71,25.71,61546250.0,29226.567075903175,1758492487369,Synapse54,1758492487369,Synapse54
1872,46928 (Fairmount),Grant County,Indiana,862a92d8fffffff,733,25.95,25.95,61387500.0,29186.297455029817,1758492487369,Synapse54,1758492487369,Synapse54
1873,46986 (Swayzee),Grant County,Indiana,862a92d97ffffff,61,25.31,25.31,61922500.0,29313.900054684404,1758492487369,Synapse54,1758492487369,Synapse54
1874,46928 (Fairmount),Grant County,Indiana,862a92d9fffffff,70,26.02,26.02,61768750.0,29279.991756928976,1758492487369,Synapse54,1758492487369,Synapse54
1875,46953 (Marion),Grant County,Indiana,862a92da7ffffff,1624,17.55,17.55,61985000.0,29331.80976830254,1758492487369,Synapse54,1758492487369,Synapse54
1876,46928 (Fairmount),Grant County,Indiana,862a92dafffffff,484,23.81,23.81,61901249.99609375,29312.125207548776,1758492487369,Synapse54,1758492487369,Synapse54
1877,46953 (Marion),Grant County,Indiana,862a92db7ffffff,80,23.95,23.95,62117500.0,29359.35439130631,1758492487369,Synapse54,1758492487369,Synapse54
1878,47012 (Brookville),Franklin County,Indiana,862a93527ffffff,55,22.18,22.18,58824999.99609375,28580.553692795143,1758492487369,Synapse54,1758492487369,Synapse54
