OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPL1,TPOPL1_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
634,52639 (Montrose),Lee County,Iowa,862670217ffffff,0,0.0,0.0,61066179.10546875,29116.28840691017,1758491782767,Synapse54,1758491782767,Synapse54
635,61488 (Wataga),Knox County,Illinois,86267508fffffff,0,0.0,0.0,62421069.07421875,29435.87955650466,1758491782767,Synapse54,1758491782767,Synapse54
636,62354 (Nauvoo),Hancock County,Illinois,86267021fffffff,0,0.0,0.0,60990369.296875,29098.13134196246,1758491782767,Synapse54,1758491782767,Synapse54
637,62565 (Shelbyville),Shelby County,Illinois,862644b57ffffff,0,0.0,0.0,58153719.83984375,28417.42388115539,1758491782767,Synapse54,1758491782767,Synapse54
638,61466 (North Henderson),Mercer County,Illinois,862675097ffffff,0,0.0,0.0,62561590.734375,29468.86276585653,1758491782767,Synapse54,1758491782767,Synapse54
639,62358 (Niota),Hancock County,Illinois,862670227ffffff,0,0.0,0.0,61030841.03515625,29108.353109499647,1758491782767,Synapse54,1758491782767,Synapse54
640,62438 (Lakewood),Shelby County,Illinois,862644b5fffffff,0,0.0,0.0,58077920.6171875,28398.844537696492,1758491782767,Synapse54,1758491782767,Synapse54
641,61401 (Galesburg),Knox County,Illinois,86267509fffffff,0,0.0,0.0,62414544.4375,29434.411755769434,1758491782767,Synapse54,1758491782767,Synapse54
642,62321 (Carthage),Hancock County,Illinois,86267022fffffff,0,0.0,0.0,60954907.875,29090.16047036615,1758491782767,Synapse54,1758491782767,Synapse54
643,62565 (Shelbyville),Shelby County,Illinois,862644b67ffffff,0,0.0,0.0,58108337.5,28406.870454759257,1758491782767,Synapse54,1758491782767,Synapse54
644,61472 (Rio),Knox County,Illinois,8626750a7ffffff,0,0.0,0.0,62722398.32421875,29506.36977000488,1758491782767,Synapse54,1758491782767,Synapse54
