OBJECTID,admin4_name,admin3_name,admin2_name,id,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2828,61068 (Rochelle),Ogle County,Illinois,86275ba67ffffff,15,10.79,10.79,65933750.0,30249.85844702983,1758492298951,Synapse54,1758492298951,Synapse54
2829,61285 (Thomson),Carroll County,Illinois,86275b727ffffff,7,4.12,4.12,65473749.99609375,30142.28992296306,1758492298951,Synapse54,1758492298951,Synapse54
2830,61068 (Rochelle),Ogle County,Illinois,86275ba6fffffff,17,12.5,12.5,65636250.00390625,30177.241132897456,1758492298951,Synapse54,1758492298951,Synapse54
2831,61270 (Morrison),Whiteside County,Illinois,86275b72fffffff,9,7.44,7.44,65202500.0,30077.625071237668,1758492298951,Synapse54,1758492298951,Synapse54
2832,61068 (Rochelle),Ogle County,Illinois,86275ba77ffffff,34,10.43,10.43,65910000.0,30245.089639372804,1758492298951,Synapse54,1758492298951,Synapse54
2833,61285 (Thomson),Carroll County,Illinois,86275b737ffffff,157,5.22,5.22,65574999.9921875,30167.760058055334,1758492298951,Synapse54,1758492298951,Synapse54
2834,61054 (Mount Morris),Ogle County,Illinois,86275ba87ffffff,325,9.48,9.48,65910000.0,30238.98936425613,1758492298951,Synapse54,1758492298951,Synapse54
2835,61270 (Morrison),Whiteside County,Illinois,86275b747ffffff,30,7.59,7.59,65201250.0,30077.849783516598,1758492298951,Synapse54,1758492298951,Synapse54
2836,61061 (Oregon),Ogle County,Illinois,86275ba8fffffff,16,6.78,6.78,65761250.0,30210.069708891646,1758492298951,Synapse54,1758492298951,Synapse54
2837,61261 (Lyndon),Whiteside County,Illinois,86275b74fffffff,23,8.78,8.78,64979999.99609375,30029.689486957723,1758492298951,Synapse54,1758492298951,Synapse54
2838,61270 (Morrison),Whiteside County,Illinois,86275b757ffffff,392,9.67,9.67,65202500.0,30077.625071237668,1758492298951,Synapse54,1758492298951,Synapse54
2839,61064 (Polo),Ogle County,Illinois,86275ba97ffffff,9,7.14,7.14,66255000.0,30321.74466605859,1758492298951,Synapse54,1758492298951,Synapse54
2840,61270 (Morrison),Whiteside County,Illinois,86275b75fffffff,77,8.31,8.31,64980000.0,30029.689486957726,1758492298951,Synapse54,1758492298951,Synapse54
2841,61061 (Oregon),Ogle County,Illinois,86275ba9fffffff,16,6.78,6.78,65562500.0,30161.102493900988,1758492298951,Synapse54,1758492298951,Synapse54
2842,61270 (Morrison),Whiteside County,Illinois,86275b767ffffff,20,7.66,7.66,65325000.00390625,30107.576357312868,1758492298951,Synapse54,1758492298951,Synapse54
2843,61054 (Mount Morris),Ogle County,Illinois,86275baa7ffffff,10,7.25,7.25,65785000.0,30214.76435948758,1758492298951,Synapse54,1758492298951,Synapse54
2844,61081 (Sterling),Whiteside County,Illinois,86275b76fffffff,34,7.44,7.44,64979999.99609375,30029.689486957726,1758492298951,Synapse54,1758492298951,Synapse54
2845,61270 (Morrison),Whiteside County,Illinois,86275b777ffffff,13,8.13,8.13,65352500.00390625,30115.88446027588,1758492298951,Synapse54,1758492298951,Synapse54
2846,61061 (Oregon),Ogle County,Illinois,86275baafffffff,315,8.48,8.48,65761250.00390625,30210.28834724037,1758492298951,Synapse54,1758492298951,Synapse54
2847,52732 (Clinton),Clinton County,Iowa,86275b7afffffff,827,9.7,9.7,65230000.0078125,30090.400647312184,1758492298951,Synapse54,1758492298951,Synapse54
2848,61054 (Mount Morris),Ogle County,Illinois,86275bab7ffffff,13,9.63,9.63,65807500.0,30222.001405857216,1758492298951,Synapse54,1758492298951,Synapse54
2849,61048 (Lena),Stephenson County,Illinois,86275b897ffffff,22,10.84,10.84,66976250.0,30482.182169755833,1758492298951,Synapse54,1758492298951,Synapse54
2850,61031 (Franklin Grove),Ogle County,Illinois,86275bac7ffffff,12,7.36,7.36,65589999.99609375,30168.031370389584,1758492298951,Synapse54,1758492298951,Synapse54
2851,61006 (Ashton),Lee County,Illinois,86275bacfffffff,64,9.71,9.71,65293749.99609375,30097.207765552695,1758492298951,Synapse54,1758492298951,Synapse54
2852,61048 (Lena),Stephenson County,Illinois,86275b89fffffff,28,7.37,7.37,66925000.0,30474.638729147453,1758492298951,Synapse54,1758492298951,Synapse54
2853,61001 (Apple River),Jo Daviess County,Illinois,86275bc07ffffff,8,6.96,6.96,67207500.0,30537.924609553025,1758492298951,Synapse54,1758492298951,Synapse54
2854,61021 (Dixon),Ogle County,Illinois,86275bad7ffffff,71,7.43,7.43,65465000.0,30142.55695597504,1758492298951,Synapse54,1758492298951,Synapse54
2855,61031 (Franklin Grove),Lee County,Illinois,86275badfffffff,17,10.49,10.49,65390000.0,30124.984891831606,1758492298951,Synapse54,1758492298951,Synapse54
2856,61085 (Stockton),Jo Daviess County,Illinois,86275bc0fffffff,7,6.48,6.48,67250000.0,30544.4760773027,1758492298951,Synapse54,1758492298951,Synapse54
2857,61001 (Apple River),Jo Daviess County,Illinois,86275bc17ffffff,6,8.33,8.33,66960000.0,30482.787404723284,1758492298951,Synapse54,1758492298951,Synapse54
2858,61015 (Chana),Ogle County,Illinois,86275bae7ffffff,34,8.33,8.33,65785000.00390625,30214.764359487577,1758492298951,Synapse54,1758492298951,Synapse54
2859,61006 (Ashton),Ogle County,Illinois,86275baefffffff,12,8.0,8.0,65636250.0,30177.241132897456,1758492298951,Synapse54,1758492298951,Synapse54
2860,61001 (Apple River),Jo Daviess County,Illinois,86275bc1fffffff,6,6.0,6.0,67053749.99609375,30499.671985961053,1758492298951,Synapse54,1758492298951,Synapse54
2861,61061 (Oregon),Ogle County,Illinois,86275baf7ffffff,70,8.99,8.99,65687499.99609375,30190.073372850016,1758492298951,Synapse54,1758492298951,Synapse54
2862,61102 (Rockford),Winnebago County,Illinois,86275bb07ffffff,92,8.01,8.01,66426250.0,30359.66486215669,1758492298951,Synapse54,1758492298951,Synapse54
2863,53541 (Gratiot),Lafayette County,Wisconsin,86275bc27ffffff,89,8.87,8.87,67250000.00390625,30544.4760773027,1758492298951,Synapse54,1758492298951,Synapse54
2864,61084 (Stillman Valley),Winnebago County,Illinois,86275bb0fffffff,88,9.44,9.44,66426250.0078125,30359.664862156686,1758492298951,Synapse54,1758492298951,Synapse54
2865,61087 (Warren),Jo Daviess County,Illinois,86275bc2fffffff,49,7.79,7.79,67207500.0,30537.924609553025,1758492298951,Synapse54,1758492298951,Synapse54
2866,61088 (Winnebago),Winnebago County,Illinois,86275bb17ffffff,19,7.06,7.06,66650000.0,30407.333065328952,1758492298951,Synapse54,1758492298951,Synapse54
2867,53541 (Gratiot),Lafayette County,Wisconsin,86275bc37ffffff,38,8.92,8.92,67401250.0,30579.616432597726,1758492298951,Synapse54,1758492298951,Synapse54
2868,61102 (Rockford),Ogle County,Illinois,86275bb1fffffff,71,7.81,7.81,66426250.0,30359.66486215669,1758492298951,Synapse54,1758492298951,Synapse54
2869,61048 (Lena),Stephenson County,Illinois,86275bc47ffffff,14,9.15,9.15,66605000.0,30399.890279316092,1758492298951,Synapse54,1758492298951,Synapse54
2870,61102 (Rockford),Winnebago County,Illinois,86275bb27ffffff,2001,13.26,13.26,66817500.0,30451.781191956856,1758492298951,Synapse54,1758492298951,Synapse54
2871,61062 (Pearl City),Stephenson County,Illinois,86275bc4fffffff,16,8.56,8.56,66728750.0,30429.834637805805,1758492298951,Synapse54,1758492298951,Synapse54
2872,61109 (Rockford),Winnebago County,Illinois,86275bb2fffffff,393,9.82,9.82,66622500.0,30406.588216409255,1758492298951,Synapse54,1758492298951,Synapse54
2873,61085 (Stockton),Jo Daviess County,Illinois,86275bc57ffffff,144,7.87,7.87,66604999.99609375,30399.89027931609,1758492298951,Synapse54,1758492298951,Synapse54
2874,61088 (Winnebago),Winnebago County,Illinois,86275bb37ffffff,402,9.88,9.88,66552500.0,30385.61902126493,1758492298951,Synapse54,1758492298951,Synapse54
2875,61085 (Stockton),Jo Daviess County,Illinois,86275bc5fffffff,20,8.58,8.58,66605000.0,30399.89027931609,1758492298951,Synapse54,1758492298951,Synapse54
2876,61048 (Lena),Stephenson County,Illinois,86275bc67ffffff,102,11.18,11.18,67250000.0,30546.44969853585,1758492298951,Synapse54,1758492298951,Synapse54
2877,61020 (Davis Junction),Ogle County,Illinois,86275bb47ffffff,153,9.86,9.86,66322500.0,30333.96753569201,1758492298951,Synapse54,1758492298951,Synapse54
2878,61048 (Lena),Stephenson County,Illinois,86275bc6fffffff,226,10.2,10.2,66626250.0,30404.152823807504,1758492298951,Synapse54,1758492298951,Synapse54
2879,61049 (Lindenwood),Ogle County,Illinois,86275bb4fffffff,40,10.28,10.28,66157500.0,30297.57498677333,1758492298951,Synapse54,1758492298951,Synapse54
2880,61048 (Lena),Jo Daviess County,Illinois,86275bc77ffffff,11,8.46,8.46,67053750.00390625,30499.671985961053,1758492298951,Synapse54,1758492298951,Synapse54
2881,61020 (Davis Junction),Ogle County,Illinois,86275bb57ffffff,250,11.64,11.64,66328750.0,30337.950818092668,1758492298951,Synapse54,1758492298951,Synapse54
2882,61075 (Scales Mound),Jo Daviess County,Illinois,86275bc87ffffff,12,9.3,9.3,67083750.0078125,30508.392143161214,1758492298951,Synapse54,1758492298951,Synapse54
2883,61020 (Davis Junction),Ogle County,Illinois,86275bb5fffffff,33,11.26,11.26,65933750.0,30249.85844702983,1758492298951,Synapse54,1758492298951,Synapse54
2884,61028 (Elizabeth),Jo Daviess County,Illinois,86275bc8fffffff,14,8.14,8.14,66858750.0,30460.44851414662,1758492298951,Synapse54,1758492298951,Synapse54
2885,61052 (Monroe Center),Ogle County,Illinois,86275bb67ffffff,19,8.12,8.12,66352500.00390625,30342.767962320933,1758492298951,Synapse54,1758492298951,Synapse54
2886,61036 (Galena),Jo Daviess County,Illinois,86275bc97ffffff,28,6.19,6.19,67083749.99609375,30508.39214316121,1758492298951,Synapse54,1758492298951,Synapse54
2887,61052 (Monroe Center),Ogle County,Illinois,86275bb6fffffff,26,9.63,9.63,66083750.0,30279.452073906104,1758492298951,Synapse54,1758492298951,Synapse54
2888,61036 (Galena),Jo Daviess County,Illinois,86275bc9fffffff,77,7.2,7.2,66960000.0,30478.8596767694,1758492298951,Synapse54,1758492298951,Synapse54
2889,61020 (Davis Junction),Winnebago County,Illinois,86275bb77ffffff,60,5.81,5.81,66576249.99609375,30390.436165493196,1758492298951,Synapse54,1758492298951,Synapse54
2890,61047 (Leaf River),Ogle County,Illinois,86275bb87ffffff,21,8.08,8.08,66453750.0,30362.17840641396,1758492298951,Synapse54,1758492298951,Synapse54
2891,61075 (Scales Mound),Jo Daviess County,Illinois,86275bca7ffffff,49,9.16,9.16,67207500.0,30537.924609553025,1758492298951,Synapse54,1758492298951,Synapse54
2892,61047 (Leaf River),Ogle County,Illinois,86275bb8fffffff,21,9.38,9.38,66255000.0,30321.74466605859,1758492298951,Synapse54,1758492298951,Synapse54
2893,61001 (Apple River),Jo Daviess County,Illinois,86275bcafffffff,54,7.87,7.87,66959999.99609375,30482.787404723284,1758492298951,Synapse54,1758492298951,Synapse54
2894,61075 (Scales Mound),Jo Daviess County,Illinois,86275bcb7ffffff,14,8.64,8.64,67184999.99609375,30530.731033737873,1758492298951,Synapse54,1758492298951,Synapse54
