OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3958,60480 (Willow Springs),Cook County,Illinois,86266451fffffff,1680,19.24,19.24,65313750.00390625,30104.23860473745,1758492426650,Synapse54,1758492426650,Synapse54
3959,53179 (Trevor),Kenosha County,Wisconsin,8627598c7ffffff,1762,22.83,22.83,68183750.0,30753.89482442054,1758492426650,Synapse54,1758492426650,Synapse54
3960,61839 (De Land),Piatt County,Illinois,862662acfffffff,100,20.88,20.88,60339999.99609375,28948.160710746753,1758492426650,Synapse54,1758492426650,Synapse54
3961,60638 (Chicago),Cook County,Illinois,862664527ffffff,17069,20.98,20.98,65572500.0,30165.806579095584,1758492426650,Synapse54,1758492426650,Synapse54
3962,61842 (Farmer City),De Witt County,Illinois,862662ad7ffffff,27,22.31,22.31,60554999.9921875,28994.977139007045,1758492426650,Synapse54,1758492426650,Synapse54
3963,60450 (Morris),Grundy County,Illinois,862666167ffffff,60,20.69,20.69,64010000.0078125,29803.829042636236,1758492426650,Synapse54,1758492426650,Synapse54
3964,60002 (Antioch),Lake County,Illinois,8627598cfffffff,2314,23.07,23.07,67560000.00390625,30614.522876763134,1758492426650,Synapse54,1758492426650,Synapse54
3965,60459 (Burbank),Cook County,Illinois,86266452fffffff,16379,20.02,20.02,65572500.0,30165.806579095588,1758492426650,Synapse54,1758492426650,Synapse54
3966,61283 (Tampico),Bureau County,Illinois,862675907ffffff,21,16.15,16.15,64297500.0,29872.461531136007,1758492426650,Synapse54,1758492426650,Synapse54
3967,60510 (Batavia),Kane County,Illinois,862666927ffffff,5096,21.33,21.33,65186250.0,30074.258400433606,1758492426650,Synapse54,1758492426650,Synapse54
3968,53105 (Burlington),Kenosha County,Wisconsin,8627598d7ffffff,1123,22.13,22.13,67732499.99609375,30654.93560123707,1758492426650,Synapse54,1758492426650,Synapse54
3969,61882 (Weldon),De Witt County,Illinois,862662adfffffff,17,22.97,22.97,59900000.0078125,28838.774863737883,1758492426650,Synapse54,1758492426650,Synapse54
3970,60525 (La Grange),Cook County,Illinois,862664537ffffff,12022,21.24,21.24,65313750.0,30104.23860473745,1758492426650,Synapse54,1758492426650,Synapse54
3971,60450 (Morris),Grundy County,Illinois,86266616fffffff,1082,19.65,19.65,64009999.9921875,29803.829042636236,1758492426650,Synapse54,1758492426650,Synapse54
3972,61283 (Tampico),Bureau County,Illinois,86267590fffffff,17,14.78,14.78,64175000.00390625,29842.501009280255,1758492426650,Synapse54,1758492426650,Synapse54
3973,61842 (Farmer City),Piatt County,Illinois,862662ae7ffffff,22,21.57,21.57,60233750.00390625,28920.736662492713,1758492426650,Synapse54,1758492426650,Synapse54
3974,60406 (Blue Island),Cook County,Illinois,862664547ffffff,8603,20.08,20.08,65078749.9921875,30047.44442540306,1758492426650,Synapse54,1758492426650,Synapse54
3975,62451 (Palestine),Crawford County,Illinois,86266e507ffffff,192,21.1,21.1,57279999.99609375,28203.612024447546,1758492426650,Synapse54,1758492426650,Synapse54
3976,60002 (Antioch),Lake County,Illinois,8627598dfffffff,2231,21.46,21.46,67732500.00390625,30654.93560123707,1758492426650,Synapse54,1758492426650,Synapse54
3977,61839 (De Land),Piatt County,Illinois,862662aefffffff,16,21.33,21.33,60370000.0,28957.395105933887,1758492426650,Synapse54,1758492426650,Synapse54
3978,60426 (Harvey),Cook County,Illinois,86266454fffffff,5742,19.31,19.31,64858750.00390625,30000.017045104163,1758492426650,Synapse54,1758492426650,Synapse54
3979,60505 (Aurora),Kane County,Illinois,86266692fffffff,7505,19.91,19.91,65456250.0,30140.360676391174,1758492426650,Synapse54,1758492426650,Synapse54
3980,61277 (Prophetstown),Henry County,Illinois,862675917ffffff,27,19.29,19.29,64175000.0,29847.282814573715,1758492426650,Synapse54,1758492426650,Synapse54
3981,53142 (Kenosha),Kenosha County,Wisconsin,8627598efffffff,341,21.73,21.73,67784999.9921875,30665.58770044623,1758492426650,Synapse54,1758492426650,Synapse54
3982,60445 (Midlothian),Cook County,Illinois,862664557ffffff,6167,19.4,19.4,64831250.0,29994.35969292571,1758492426650,Synapse54,1758492426650,Synapse54
3983,61360 (Seneca),Grundy County,Illinois,862666177ffffff,39,19.6,19.6,64366249.99609375,29884.095046539063,1758492426650,Synapse54,1758492426650,Synapse54
3984,61842 (Farmer City),De Witt County,Illinois,862662af7ffffff,62,19.81,19.81,60555000.0,28994.977139007045,1758492426650,Synapse54,1758492426650,Synapse54
3985,60060 (Mundelein),Lake County,Illinois,862759a87ffffff,8658,22.12,22.12,67387500.0078125,30576.622542608813,1758492426650,Synapse54,1758492426650,Synapse54
3986,60452 (Oak Forest),Cook County,Illinois,86266455fffffff,7116,19.19,19.19,65078750.0,30047.444425403057,1758492426650,Synapse54,1758492426650,Synapse54
3987,62451 (Palestine),Crawford County,Illinois,86266e50fffffff,41,21.35,21.35,57070000.0,28156.79816126908,1758492426650,Synapse54,1758492426650,Synapse54
3988,61283 (Tampico),Bureau County,Illinois,86267591fffffff,19,16.96,16.96,64076250.0,29825.05741347547,1758492426650,Synapse54,1758492426650,Synapse54
3989,60628 (Chicago),Cook County,Illinois,862664567ffffff,15231,20.28,20.28,65014999.99609375,30036.70985285467,1758492426650,Synapse54,1758492426650,Synapse54
3990,60060 (Mundelein),Lake County,Illinois,862759a97ffffff,1064,19.43,19.43,67163750.0078125,30525.45673717763,1758492426650,Synapse54,1758492426650,Synapse54
3991,60119 (Elburn),Kane County,Illinois,862666937ffffff,1164,24.6,24.6,65719999.99609375,30203.758116301502,1758492426650,Synapse54,1758492426650,Synapse54
3992,61770 (Saybrook),McLean County,Illinois,862662b07ffffff,180,22.14,22.14,61080000.0,29119.036221563165,1758492426650,Synapse54,1758492426650,Synapse54
3993,60419 (Dolton),Cook County,Illinois,86266456fffffff,11143,19.27,19.27,65182500.00390625,30077.268041176503,1758492426650,Synapse54,1758492426650,Synapse54
3994,60047 (Lake Zurich),Lake County,Illinois,862759a9fffffff,3668,22.97,22.97,66844999.99609375,30456.933038746916,1758492426650,Synapse54,1758492426650,Synapse54
3995,61350 (Ottawa),LaSalle County,Illinois,86266618fffffff,46,17.76,17.76,63930000.0,29786.068467756406,1758492426650,Synapse54,1758492426650,Synapse54
