OBJECTID,admin4_name,admin3_name,admin2_name,id,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1578,47040 (Rising Sun),Ohio County,Indiana,862a9379fffffff,68,11.0,11.0,57638750.0,28293.51108595737,1758492309873,Synapse54,1758492309873,Synapse54
1579,47454 (Paoli),Orange County,Indiana,862668d1fffffff,50,11.21,11.21,55992500.0,27887.529671663524,1758492309873,Synapse54,1758492309873,Synapse54
1580,46721 (Butler),DeKalb County,Indiana,8627496c7ffffff,30,9.9,9.9,65228750.00390625,30080.678502604158,1758492309873,Synapse54,1758492309873,Synapse54
1581,46151 (Martinsville),Morgan County,Indiana,862661357ffffff,189,8.49,8.49,58833750.0,28581.79076954607,1758492309873,Synapse54,1758492309873,Synapse54
1582,47167 (Salem),Washington County,Indiana,86266c60fffffff,56,9.05,9.05,56577500.00390625,28040.418625497532,1758492309873,Synapse54,1758492309873,Synapse54
1583,46172 (Roachdale),Putnam County,Indiana,8626610a7ffffff,21,8.17,8.17,59757500.0,28803.48418744872,1758492309873,Synapse54,1758492309873,Synapse54
1584,46570 (Tippecanoe),Marshall County,Indiana,8626659b7ffffff,38,12.93,12.93,64132500.00390625,29833.926684771122,1758492309873,Synapse54,1758492309873,Synapse54
1585,43517 (Edgerton),Williams County,Ohio,8627496cfffffff,38,11.38,11.38,65228750.00390625,30080.678502604158,1758492309873,Synapse54,1758492309873,Synapse54
1586,47446 (Mitchell),Lawrence County,Indiana,86266ea77ffffff,29,8.76,8.76,56380000.0,27980.85122476038,1758492309873,Synapse54,1758492309873,Synapse54
1587,47613 (Elberfeld),Warrick County,Indiana,86266a8a7ffffff,5,10.42,10.42,55910000.0,27867.586779714664,1758492309873,Synapse54,1758492309873,Synapse54
1588,41080 (Petersburg),Boone County,Kentucky,862a937a7ffffff,93,9.24,9.24,58065000.0,28394.501568139545,1758492309873,Synapse54,1758492309873,Synapse54
1589,47452 (Orleans),Orange County,Indiana,862668d27ffffff,43,13.23,13.23,56379999.99609375,27981.021732426318,1758492309873,Synapse54,1758492309873,Synapse54
1590,46105 (Bainbridge),Putnam County,Indiana,8626610afffffff,23,9.66,9.66,59543750.0,28756.57786979834,1758492309873,Synapse54,1758492309873,Synapse54
1591,47591 (Vincennes),Knox County,Indiana,86266e6a7ffffff,10,10.31,10.31,56462500.0,28004.306684036736,1758492309873,Synapse54,1758492309873,Synapse54
1592,46151 (Martinsville),Morgan County,Indiana,862661367ffffff,110,9.62,9.62,58805000.0,28573.38742285819,1758492309873,Synapse54,1758492309873,Synapse54
1593,47601 (Boonville),Warrick County,Indiana,86266a8afffffff,5,10.87,10.87,55845000.00390625,27842.392525968455,1758492309873,Synapse54,1758492309873,Synapse54
1594,47108 (Campbellsburg),Washington County,Indiana,86266c617ffffff,9,6.34,6.34,56687499.99609375,28060.19145763003,1758492309873,Synapse54,1758492309873,Synapse54
1595,46941 (Lagro),Wabash County,Indiana,862665b07ffffff,85,9.9,9.9,62872500.0,29538.590045873032,1758492309873,Synapse54,1758492309873,Synapse54
1596,46175 (Russellville),Putnam County,Indiana,8626610b7ffffff,15,11.36,11.36,59688750.00390625,28786.02810284337,1758492309873,Synapse54,1758492309873,Synapse54
