OBJECTID,admin4_name,admin3_name,admin2_name,id,MILLENN_CY,MILLENN_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2287,46072 (Tipton),Tipton County,Indiana,86266525fffffff,295,19.59,19.59,60980000.00390625,29093.553051686857,1758492393705,Synapse54,1758492393705,Synapse54
2288,47348 (Hartford City),Blackford County,Indiana,862a92d67ffffff,90,19.74,19.74,62033749.9921875,29344.704068163766,1758492393705,Synapse54,1758492393705,Synapse54
2289,46076 (Windfall),Tipton County,Indiana,862665267ffffff,70,22.8,22.8,61331250.00390625,29179.172066295956,1758492393705,Synapse54,1758492393705,Synapse54
2290,47338 (Eaton),Delaware County,Indiana,862a92d6fffffff,69,20.47,20.47,61558750.00390625,29232.298437789363,1758492393705,Synapse54,1758492393705,Synapse54
2291,46036 (Elwood),Tipton County,Indiana,86266526fffffff,108,21.51,21.51,61331250.00390625,29179.172066295963,1758492393705,Synapse54,1758492393705,Synapse54
2292,47348 (Hartford City),Blackford County,Indiana,862a92d77ffffff,295,19.24,19.24,61691250.0,29264.877298404357,1758492393705,Synapse54,1758492393705,Synapse54
2293,46072 (Tipton),Tipton County,Indiana,862665277ffffff,66,20.95,20.95,61631250.00390625,29246.085810807264,1758492393705,Synapse54,1758492393705,Synapse54
2294,46938 (Jonesboro),Grant County,Indiana,862a92d87ffffff,54,16.93,16.93,61546250.0,29226.567075903175,1758492393705,Synapse54,1758492393705,Synapse54
2295,46072 (Tipton),Tipton County,Indiana,8626652c7ffffff,79,20.15,20.15,61195000.0,29145.661540813035,1758492393705,Synapse54,1758492393705,Synapse54
2296,46928 (Fairmount),Grant County,Indiana,862a92d8fffffff,538,19.04,19.04,61387500.0,29186.297455029817,1758492393705,Synapse54,1758492393705,Synapse54
2297,46031 (Atlanta),Hamilton County,Indiana,8626652cfffffff,77,21.81,21.81,61065000.0,29113.624299841948,1758492393705,Synapse54,1758492393705,Synapse54
