OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
34,Goetz Theatre,11th St,Monroe,Wisconsin,WI,53566,1838,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,20000 - 39999,20000.0,39999.0,15.0,827000.0,Data Axle,d3cd446de1de84bd64cff04bcea4b467,"Goetz Theatre, Monroe, Wisconsin",42.600885999999974,-89.63823500000001,1758493540260,Synapse54,1758493540260,Synapse54
35,Grand Theatre,Wolf River Plz,New London,Wisconsin,WI,54961,1240,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,3.0,126000.0,Data Axle,2464649d1743860890dfb04d42824d3c,"Grand Theatre, New London, Wisconsin",44.393025999999985,-88.742399,1758493540260,Synapse54,1758493540260,Synapse54
36,Grantland Theatre,S Madison St,Lancaster,Wisconsin,WI,53813,1762,51213101,51213101,783201,783201,Theatres-Movie,,,State Theatres,Medium,Information,Branch,5000 - 9999,5000.0,9999.0,5.0,203000.0,Data Axle,9c6b3d2edee23f992233669cc07e4c0e,"Grantland Theatre, Lancaster, Wisconsin",42.846662000000016,-90.709579,1758493540260,Synapse54,1758493540260,Synapse54
37,Hayward Cinema,Lee Rd,Hayward,Wisconsin,WI,54843,,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,4.0,186000.0,Data Axle,77cafd0b80ed465942f0aeaf57ae127f,"Hayward Cinema, Hayward, Wisconsin",46.00329299999999,-91.482137,1758493540260,Synapse54,1758493540260,Synapse54
38,Highway 18 Outdoor Theatre,Highway 18,Jefferson,Wisconsin,WI,53549,,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,4.0,147000.0,Data Axle,113b0f6f6c9785fe54c7ff76676dafbc,"Highway 18 Outdoor Theatre, Jefferson, Wisconsin",43.00600299999998,-88.848394,1758493540260,Synapse54,1758493540260,Synapse54
39,Home Media Innovations,Wilfred Rd,Hudson,Wisconsin,WI,54016,7684,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,,,,42.0,1940000.0,Data Axle,bf57879058909eceed57bdbc5c13cc85,"Home Media Innovations, Hudson, Wisconsin",44.97243999999999,-92.67623200000001,1758493540260,Synapse54,1758493540260,Synapse54
40,Hudson 12 Theatre-CEC Theatres,Stageline Rd,Hudson,Wisconsin,WI,54016,7847,51213101,51213101,783201,783201,Theatres-Movie,,,Cinema Entertainment Corp,High,Information,Branch,5000 - 9999,5000.0,9999.0,4.0,185000.0,Data Axle,05c678ebdb7378b6690ea12d578b01c9,"Hudson 12 Theatre-CEC Theatres, Hudson, Wisconsin",44.959521999999986,-92.69262500000002,1758493540260,Synapse54,1758493540260,Synapse54
41,Lake 7 Theatre-CEC Theatres,Cty Highway Ss,Rice Lake,Wisconsin,WI,54868,,51213101,51213101,783201,783201,Theatres-Movie,,,Cinema Entertainment Corp,Low,Information,Branch,5000 - 9999,5000.0,9999.0,5.0,222000.0,Data Axle,b5147d63979365fa1179963c316515cb,"Lake 7 Theatre-CEC Theatres, Rice Lake, Wisconsin",45.50520999999999,-91.739675,1758493540260,Synapse54,1758493540260,Synapse54
42,Lakeland Cinema,2nd Ave,Woodruff,Wisconsin,WI,54568,,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,3.0,140000.0,Data Axle,99eac6b4ef1ddfdd00a5ec7ff2cf2c20,"Lakeland Cinema, Woodruff, Wisconsin",45.895740999999994,-89.69774100000001,1758493540260,Synapse54,1758493540260,Synapse54
43,Lakeshore Cinema Cafe,Washington St,Manitowoc,Wisconsin,WI,54220,5208,51213101,51213101,783201,783201,Theatres-Movie,,,"Get Reel, Inc",High,Information,Branch,5000 - 9999,5000.0,9999.0,4.0,177000.0,Data Axle,0e83d6f9353d36d3e5bc9a27369857fa,"Lakeshore Cinema Cafe, Manitowoc, Wisconsin",44.089154999999984,-87.66268,1758493540260,Synapse54,1758493540260,Synapse54
