OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3494,54847 (Iron River),Bayfield County,Wisconsin,86275444fffffff,1,12.5,12.5,82446250.0,33810.63264977724,1758492455545,Synapse54,1758492455545,Synapse54
3495,54555 (Phillips),Price County,Wisconsin,8627554efffffff,2,22.22,22.22,79346250.00390625,33168.062298189565,1758492455545,Synapse54,1758492455545,Synapse54
3496,54865 (Port Wing),Bayfield County,Wisconsin,862754457ffffff,17,22.97,22.97,82446250.0078125,33810.63264977724,1758492455545,Synapse54,1758492455545,Synapse54
3497,54552 (Park Falls),Price County,Wisconsin,8627554f7ffffff,530,19.67,19.67,79547500.00390625,33210.847890286735,1758492455545,Synapse54,1758492455545,Synapse54
3498,54822 (Cameron),Barron County,Wisconsin,8627506a7ffffff,205,20.24,20.24,76817500.0,32637.838178080296,1758492455545,Synapse54,1758492455545,Synapse54
3499,54547 (Mercer),Iron County,Wisconsin,862755507ffffff,0,0.0,0.0,80678750.0,33446.031095151266,1758492455545,Synapse54,1758492455545,Synapse54
3500,54847 (Iron River),Bayfield County,Wisconsin,86275445fffffff,38,25.33,25.33,81982500.0,33717.81630255647,1758492455545,Synapse54,1758492455545,Synapse54
3501,54547 (Mercer),Iron County,Wisconsin,86275550fffffff,10,15.87,15.87,80484999.99609375,33403.688676250895,1758492455545,Synapse54,1758492455545,Synapse54
3502,54822 (Cameron),Barron County,Wisconsin,8627506afffffff,92,21.25,21.25,76340000.0,32537.90863783673,1758492455545,Synapse54,1758492455545,Synapse54
3503,54536 (Iron Belt),Iron County,Wisconsin,862755517ffffff,1,25.0,25.0,80658750.0,33442.34169649974,1758492455545,Synapse54,1758492455545,Synapse54
3504,54865 (Port Wing),Bayfield County,Wisconsin,862754467ffffff,4,18.18,18.18,82463750.00390625,33813.79268725109,1758492455545,Synapse54,1758492455545,Synapse54
3505,54514 (Butternut),Ashland County,Wisconsin,86275551fffffff,1,14.29,14.29,80463750.0,33399.827203279674,1758492455545,Synapse54,1758492455545,Synapse54
3506,54812 (Barron),Barron County,Wisconsin,8627506b7ffffff,635,17.49,17.49,77026250.00390625,32684.202749792523,1758492455545,Synapse54,1758492455545,Synapse54
3507,54547 (Mercer),Iron County,Wisconsin,862755527ffffff,0,0.0,0.0,80679999.99609375,33446.00413271308,1758492455545,Synapse54,1758492455545,Synapse54
3508,54865 (Port Wing),Bayfield County,Wisconsin,86275446fffffff,0,0.0,0.0,82680000.0,33860.16173313337,1758492455545,Synapse54,1758492455545,Synapse54
3509,54547 (Mercer),Iron County,Wisconsin,86275552fffffff,15,15.63,15.63,80813750.00390625,33475.019288090036,1758492455545,Synapse54,1758492455545,Synapse54
3510,54728 (Chetek),Barron County,Wisconsin,8627506e7ffffff,74,20.9,20.9,76482500.00390625,32569.218950478502,1758492455545,Synapse54,1758492455545,Synapse54
3511,54536 (Iron Belt),Iron County,Wisconsin,862755537ffffff,1,25.0,25.0,81119999.99609375,33537.324994547744,1758492455545,Synapse54,1758492455545,Synapse54
3512,54865 (Port Wing),Bayfield County,Wisconsin,862754477ffffff,15,18.29,18.29,82692499.99609375,33859.556193546276,1758492455545,Synapse54,1758492455545,Synapse54
3513,54552 (Park Falls),Iron County,Wisconsin,862755547ffffff,14,15.73,15.73,80504999.99609375,33407.37807490242,1758492455545,Synapse54,1758492455545,Synapse54
3514,54728 (Chetek),Barron County,Wisconsin,8627506f7ffffff,73,18.58,18.58,76833749.99609375,32640.79741487197,1758492455545,Synapse54,1758492455545,Synapse54
3515,54552 (Park Falls),Iron County,Wisconsin,86275554fffffff,9,16.98,16.98,80396249.99609375,33385.468525646975,1758492455545,Synapse54,1758492455545,Synapse54
3516,54844 (Herbster),Bayfield County,Wisconsin,862754547ffffff,11,18.33,18.33,83127500.0,33949.61118969353,1758492455545,Synapse54,1758492455545,Synapse54
3517,54552 (Park Falls),Iron County,Wisconsin,862755557ffffff,4,14.29,14.29,80485000.00390625,33403.688676250895,1758492455545,Synapse54,1758492455545,Synapse54
3518,54868 (Rice Lake),Barron County,Wisconsin,862750707ffffff,26,21.14,21.14,77602500.0,32804.943804161885,1758492455545,Synapse54,1758492455545,Synapse54
3519,54552 (Park Falls),Iron County,Wisconsin,86275555fffffff,21,15.91,15.91,79916250.00390625,33288.12978409224,1758492455545,Synapse54,1758492455545,Synapse54
