OBJECTID,admin4_name,admin3_name,admin2_name,id,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
677,46534 (Knox),Starke County,Indiana,862664a4fffffff,138,20.51,20.51,64174999.9921875,29842.472927627376,1758492351220,Synapse54,1758492351220,Synapse54
678,47514 (Branchville),Perry County,Indiana,862668557ffffff,291,17.6,17.6,55429999.99609375,27746.60530853269,1758492351220,Synapse54,1758492351220,Synapse54
679,46953 (Marion),Grant County,Indiana,862a92d27ffffff,90,20.36,20.36,61901249.99609375,29312.125207548772,1758492351220,Synapse54,1758492351220,Synapse54
680,47591 (Vincennes),Knox County,Indiana,86266e737ffffff,588,19.76,19.76,56366249.99609375,27983.06021104123,1758492351220,Synapse54,1758492351220,Synapse54
681,47551 (Leopold),Perry County,Indiana,86266855fffffff,75,20.16,20.16,55027499.99609375,27649.232534879146,1758492351220,Synapse54,1758492351220,Synapse54
682,47355 (Lynn),Randolph County,Indiana,862a92b17ffffff,89,23.67,23.67,60626250.0,29007.406403284127,1758492351220,Synapse54,1758492351220,Synapse54
683,47348 (Hartford City),Blackford County,Indiana,862a92d2fffffff,50,18.59,18.59,62033750.0078125,29344.704068163766,1758492351220,Synapse54,1758492351220,Synapse54
684,46501 (Argos),Marshall County,Indiana,862665997ffffff,103,23.52,23.52,63968749.99609375,29793.788551821493,1758492351220,Synapse54,1758492351220,Synapse54
685,47118 (English),Perry County,Indiana,862668567ffffff,32,22.07,22.07,55047500.0,27653.76155031712,1758492351220,Synapse54,1758492351220,Synapse54
686,46148 (Knightstown),Rush County,Indiana,862a92767ffffff,62,18.4,18.4,59575000.00390625,28759.097500517706,1758492351220,Synapse54,1758492351220,Synapse54
687,46532 (Hamlet),LaPorte County,Indiana,862664a57ffffff,25,20.66,20.66,64380000.00390625,29888.753290175788,1758492351220,Synapse54,1758492351220,Synapse54
688,47137 (Leavenworth),Perry County,Indiana,86266856fffffff,20,20.83,20.83,55243750.00390625,27704.67936640417,1758492351220,Synapse54,1758492351220,Synapse54
689,47016 (Cedar Grove),Franklin County,Indiana,862a93507ffffff,131,22.39,22.39,58792500.0,28573.38760263977,1758492351220,Synapse54,1758492351220,Synapse54
690,62827 (Crossville),White County,Illinois,86264534fffffff,21,18.75,18.75,56454999.99609375,27997.829653857236,1758492351220,Synapse54,1758492351220,Synapse54
691,47126 (Henryville),Clark County,Indiana,862668927ffffff,106,19.49,19.49,56275000.0,27959.3648742861,1758492351220,Synapse54,1758492351220,Synapse54
692,47576 (Saint Croix),Perry County,Indiana,862668577ffffff,59,21.93,21.93,55129999.99609375,27677.539064870278,1758492351220,Synapse54,1758492351220,Synapse54
693,47960 (Monticello),Carroll County,Indiana,862665447ffffff,594,18.69,18.69,62530000.00390625,29457.582935405277,1758492351220,Synapse54,1758492351220,Synapse54
694,47557 (Monroe City),Knox County,Indiana,86266e747ffffff,43,22.87,22.87,56001250.0,27888.514002756532,1758492351220,Synapse54,1758492351220,Synapse54
695,47532 (Ferdinand),Dubois County,Indiana,862668587ffffff,467,18.78,18.78,55192500.00390625,27693.0146127841,1758492351220,Synapse54,1758492351220,Synapse54
696,45332 (Hollansburg),Darke County,Ohio,862a92b1fffffff,145,23.85,23.85,60626250.0,29007.406403284127,1758492351220,Synapse54,1758492351220,Synapse54
697,47577 (Saint Meinrad),Spencer County,Indiana,86266858fffffff,179,19.56,19.56,55316249.9921875,27719.64353147528,1758492351220,Synapse54,1758492351220,Synapse54
698,46534 (Knox),Starke County,Indiana,862664a5fffffff,39,21.67,21.67,64409999.99609375,29894.977425283883,1758492351220,Synapse54,1758492351220,Synapse54
699,46953 (Marion),Grant County,Indiana,862a92d37ffffff,219,19.4,19.4,62250000.00390625,29391.487841926108,1758492351220,Synapse54,1758492351220,Synapse54
700,47532 (Ferdinand),Dubois County,Indiana,862668597ffffff,118,18.58,18.58,55575000.0,27786.036895476158,1758492351220,Synapse54,1758492351220,Synapse54
701,47933 (Crawfordsville),Montgomery County,Indiana,8626611a7ffffff,63,21.28,21.28,60157500.0,28896.694763576186,1758492351220,Synapse54,1758492351220,Synapse54
702,46975 (Rochester),Fulton County,Indiana,86266599fffffff,184,25.63,25.63,63968750.0,29793.788551821493,1758492351220,Synapse54,1758492351220,Synapse54
703,47532 (Ferdinand),Spencer County,Indiana,86266859fffffff,163,22.58,22.58,55502500.0,27763.2296458931,1758492351220,Synapse54,1758492351220,Synapse54
704,47326 (Bryant),Jay County,Indiana,862a96287ffffff,228,32.76,32.76,62183750.0,29379.054193702465,1758492351220,Synapse54,1758492351220,Synapse54
705,45390 (Union City),Darke County,Ohio,862a92b37ffffff,63,20.32,20.32,60840000.0,29059.545523449524,1758492351220,Synapse54,1758492351220,Synapse54
706,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,7,17.95,17.95,55800000.0,27833.232309338826,1758492351220,Synapse54,1758492351220,Synapse54
707,47532 (Ferdinand),Dubois County,Indiana,8626685a7ffffff,142,18.91,18.91,55522500.00390625,27767.343809388076,1758492351220,Synapse54,1758492351220,Synapse54
708,47060 (West Harrison),Franklin County,Indiana,862a9350fffffff,256,18.92,18.92,58712500.0,28553.975111581298,1758492351220,Synapse54,1758492351220,Synapse54
709,46532 (Hamlet),Starke County,Indiana,862664a6fffffff,246,22.71,22.71,64532500.00390625,29924.425082683185,1758492351220,Synapse54,1758492351220,Synapse54
710,47143 (Memphis),Clark County,Indiana,86266892fffffff,728,20.79,20.79,56275000.0,27959.3648742861,1758492351220,Synapse54,1758492351220,Synapse54
711,47532 (Ferdinand),Dubois County,Indiana,8626685afffffff,42,19.53,19.53,55668750.0,27806.789679186422,1758492351220,Synapse54,1758492351220,Synapse54
712,47567 (Petersburg),Pike County,Indiana,86266e74fffffff,505,19.42,19.42,56209999.99609375,27946.213160089665,1758492351220,Synapse54,1758492351220,Synapse54
713,46923 (Delphi),Carroll County,Indiana,86266544fffffff,97,16.96,16.96,62530000.0,29457.582935405277,1758492351220,Synapse54,1758492351220,Synapse54
714,47532 (Ferdinand),Dubois County,Indiana,8626685b7ffffff,82,18.68,18.68,55677499.99609375,27814.343425467287,1758492351220,Synapse54,1758492351220,Synapse54
715,47355 (Lynn),Randolph County,Indiana,862a92b87ffffff,263,19.51,19.51,60863749.99609375,29066.428521720416,1758492351220,Synapse54,1758492351220,Synapse54
716,46383 (Valparaiso),Porter County,Indiana,862664a8fffffff,202,22.7,22.7,64635000.0,29950.01424993924,1758492351220,Synapse54,1758492351220,Synapse54
717,40170 (Stephensport),Breckinridge County,Kentucky,862668717ffffff,50,22.73,22.73,55047499.99609375,27653.761550317115,1758492351220,Synapse54,1758492351220,Synapse54
718,47371 (Portland),Jay County,Indiana,862a9628fffffff,104,31.04,31.04,62025000.00390625,29339.52725078742,1758492351220,Synapse54,1758492351220,Synapse54
719,40170 (Stephensport),Breckinridge County,Kentucky,862668737ffffff,56,20.9,20.9,54883750.00390625,27610.201517023797,1758492351220,Synapse54,1758492351220,Synapse54
720,46504 (Bourbon),Marshall County,Indiana,8626659a7ffffff,117,21.47,21.47,64000000.0,29800.11748585655,1758492351220,Synapse54,1758492351220,Synapse54
721,47341 (Fountain City),Wayne County,Indiana,862a92b8fffffff,327,24.04,24.04,60359999.99609375,28947.000879852254,1758492351220,Synapse54,1758492351220,Synapse54
722,47520 (Cannelton),Perry County,Indiana,862668787ffffff,317,23.83,23.83,54862500.00390625,27605.686784440702,1758492351220,Synapse54,1758492351220,Synapse54
