OBJECTID,admin4_name,admin3_name,admin2_name,id,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
275,62812 (Benton),Franklin County,Illinois,862641d0fffffff,1605,21.47,21.47,57064999.99609375,28148.293934259353,1758492338036,Synapse54,1758492338036,Synapse54
276,62401 (Effingham),Effingham County,Illinois,862645d77ffffff,351,19.35,19.35,57511250.0,28264.442249606076,1758492338036,Synapse54,1758492338036,Synapse54
277,62884 (Sesser),Franklin County,Illinois,862641d17ffffff,176,18.51,18.51,56947499.99609375,28118.12712108815,1758492338036,Synapse54,1758492338036,Synapse54
278,62458 (Saint Elmo),Fayette County,Illinois,862645d87ffffff,122,18.6,18.6,57865000.0,28345.060147629312,1758492338036,Synapse54,1758492338036,Synapse54
279,62812 (Benton),Franklin County,Illinois,862641d1fffffff,48,21.33,21.33,56947500.00390625,28118.12712108815,1758492338036,Synapse54,1758492338036,Synapse54
280,62458 (Saint Elmo),Fayette County,Illinois,862645d8fffffff,185,19.51,19.51,57797500.0,28329.389774144587,1758492338036,Synapse54,1758492338036,Synapse54
281,62897 (Whittington),Franklin County,Illinois,862641d27ffffff,226,15.16,15.16,56932500.00390625,28109.467195031753,1758492338036,Synapse54,1758492338036,Synapse54
282,62418 (Brownstown),Fayette County,Illinois,862645d97ffffff,44,19.13,19.13,57863749.99609375,28344.841203192394,1758492338036,Synapse54,1758492338036,Synapse54
283,62812 (Benton),Franklin County,Illinois,862641d2fffffff,53,21.81,21.81,57048750.0,28145.100646134404,1758492338036,Synapse54,1758492338036,Synapse54
284,62458 (Saint Elmo),Fayette County,Illinois,862645d9fffffff,56,19.72,19.72,57693750.00390625,28300.96428323849,1758492338036,Synapse54,1758492338036,Synapse54
285,62812 (Benton),Franklin County,Illinois,862641d37ffffff,5,19.23,19.23,57065000.0,28148.293934259353,1758492338036,Synapse54,1758492338036,Synapse54
286,62414 (Beecher City),Fayette County,Illinois,862645da7ffffff,49,20.5,20.5,57985000.0,28376.05941118215,1758492338036,Synapse54,1758492338036,Synapse54
