OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK1,TPOPK1_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
85,46115 (Carthage),Hancock County,Indiana,862a92627ffffff,0,0.0,0.0,59495000.0,28739.550352342423,1758491900577,Synapse54,1758491900577,Synapse54
86,47620 (Mount Vernon),Posey County,Indiana,86266a577ffffff,0,0.0,0.0,55800000.0,27833.232309338826,1758491900577,Synapse54,1758491900577,Synapse54
87,46104 (Arlington),Rush County,Indiana,862a9262fffffff,0,0.0,0.0,59625000.0,28771.780090510638,1758491900577,Synapse54,1758491900577,Synapse54
88,47601 (Boonville),Warrick County,Indiana,86266a807ffffff,0,0.0,0.0,55668750.00390625,27806.789679186422,1758491900577,Synapse54,1758491900577,Synapse54
89,47601 (Boonville),Warrick County,Indiana,86266a80fffffff,0,0.0,0.0,55807499.99609375,27839.733929161797,1758491900577,Synapse54,1758491900577,Synapse54
90,47462 (Springville),Lawrence County,Indiana,86266eb27ffffff,0,0.0,0.0,57102500.00390625,28161.158121433204,1758491900577,Synapse54,1758491900577,Synapse54
91,47619 (Lynnville),Warrick County,Indiana,86266a817ffffff,0,0.0,0.0,55910000.00390625,27867.586779714664,1758491900577,Synapse54,1758491900577,Synapse54
92,47421 (Bedford),Lawrence County,Indiana,86266eb2fffffff,0,0.0,0.0,56893750.00390625,28108.849644486923,1758491900577,Synapse54,1758491900577,Synapse54
93,46140 (Greenfield),Hancock County,Indiana,862a92637ffffff,0,0.0,0.0,59625000.0,28766.83070732771,1758491900577,Synapse54,1758491900577,Synapse54
94,47462 (Springville),Lawrence County,Indiana,86266eb37ffffff,0,0.0,0.0,57102500.0078125,28161.158121433204,1758491900577,Synapse54,1758491900577,Synapse54
95,47601 (Boonville),Warrick County,Indiana,86266a81fffffff,0,0.0,0.0,55668749.99609375,27806.789679186422,1758491900577,Synapse54,1758491900577,Synapse54
96,46173 (Rushville),Rush County,Indiana,862a92647ffffff,0,0.0,0.0,59225000.00390625,28673.029160515045,1758491900577,Synapse54,1758491900577,Synapse54
97,47637 (Tennyson),Warrick County,Indiana,86266a827ffffff,0,0.0,0.0,55807500.0,27839.733929161797,1758491900577,Synapse54,1758491900577,Synapse54
98,47637 (Tennyson),Warrick County,Indiana,86266a82fffffff,0,0.0,0.0,55658749.99609375,27800.28805936345,1758491900577,Synapse54,1758491900577,Synapse54
99,47619 (Lynnville),Warrick County,Indiana,86266a837ffffff,0,0.0,0.0,55814999.9921875,27846.235548984772,1758491900577,Synapse54,1758491900577,Synapse54
100,46173 (Rushville),Rush County,Indiana,862a9264fffffff,0,0.0,0.0,58889999.9921875,28592.346491867465,1758491900577,Synapse54,1758491900577,Synapse54
101,47611 (Chrisney),Spencer County,Indiana,86266a847ffffff,0,0.0,0.0,55482500.0,27764.68521258142,1758491900577,Synapse54,1758491900577,Synapse54
102,47446 (Mitchell),Lawrence County,Indiana,86266eb47ffffff,0,0.0,0.0,56977500.0,28126.96851393419,1758491900577,Synapse54,1758491900577,Synapse54
103,47635 (Rockport),Spencer County,Indiana,86266a84fffffff,0,0.0,0.0,55183750.0,27685.81075863434,1758491900577,Synapse54,1758491900577,Synapse54
104,46176 (Shelbyville),Shelby County,Indiana,862a92657ffffff,0,0.0,0.0,59226249.99609375,28672.784459556482,1758491900577,Synapse54,1758491900577,Synapse54
105,47446 (Mitchell),Lawrence County,Indiana,86266eb4fffffff,0,0.0,0.0,56685000.0,28061.90497597181,1758491900577,Synapse54,1758491900577,Synapse54
