OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
692,53137 (Helenville),Jefferson County,Wisconsin,862758a77ffffff,187,26.64,26.64,69401249.99609375,31027.865063863952,1758492472594,Synapse54,1758492472594,Synapse54
693,53946 (Markesan),Green Lake County,Wisconsin,86275c667ffffff,170,37.53,37.53,71947499.99609375,31591.375703602404,1758492472594,Synapse54,1758492472594,Synapse54
694,54615 (Black River Falls),Jackson County,Wisconsin,86275edafffffff,98,29.34,29.34,73211250.00390625,31865.98065513429,1758492472594,Synapse54,1758492472594,Synapse54
695,53531 (Deerfield),Dane County,Wisconsin,862758a87ffffff,718,20.32,20.32,69247500.0,30992.749144801644,1758492472594,Synapse54,1758492472594,Synapse54
696,53946 (Markesan),Green Lake County,Wisconsin,86275c66fffffff,134,17.84,17.84,71587499.99609375,31509.03972119174,1758492472594,Synapse54,1758492472594,Synapse54
697,54635 (Hixton),Jackson County,Wisconsin,86275edb7ffffff,47,23.98,23.98,73855000.0,32005.000650362876,1758492472594,Synapse54,1758492472594,Synapse54
698,53523 (Cambridge),Dane County,Wisconsin,862758a8fffffff,953,26.57,26.57,69476249.99609375,31044.55861921986,1758492472594,Synapse54,1758492472594,Synapse54
699,53946 (Markesan),Green Lake County,Wisconsin,86275c677ffffff,168,38.27,38.27,71641249.99609375,31521.42343476106,1758492472594,Synapse54,1758492472594,Synapse54
700,54149 (Mountain),Oconto County,Wisconsin,862742007ffffff,20,47.62,47.62,77347500.0,32748.29158754859,1758492472594,Synapse54,1758492472594,Synapse54
701,53531 (Deerfield),Dane County,Wisconsin,862758a97ffffff,162,25.19,25.19,69523749.99609375,31056.295760735597,1758492472594,Synapse54,1758492472594,Synapse54
702,53952 (Oxford),Marquette County,Wisconsin,86275c687ffffff,314,29.37,29.37,71466249.99609375,31484.482407042593,1758492472594,Synapse54,1758492472594,Synapse54
703,54491 (White Lake),Oconto County,Wisconsin,86274200fffffff,8,50.0,50.0,77211249.9921875,32720.288960776463,1758492472594,Synapse54,1758492472594,Synapse54
704,53930 (Endeavor),Marquette County,Wisconsin,86275c68fffffff,112,30.27,30.27,71511250.0,31491.815464187894,1758492472594,Synapse54,1758492472594,Synapse54
705,53523 (Cambridge),Dane County,Wisconsin,862758a9fffffff,174,29.05,29.05,69275000.0,30999.12927585173,1758492472594,Synapse54,1758492472594,Synapse54
706,54491 (White Lake),Langlade County,Wisconsin,862742017ffffff,15,34.88,34.88,77474999.99609375,32778.218022473404,1758492472594,Synapse54,1758492472594,Synapse54
707,53952 (Oxford),Adams County,Wisconsin,86275c697ffffff,227,35.52,35.52,71975000.00390625,31597.774093358403,1758492472594,Synapse54,1758492472594,Synapse54
708,53594 (Waterloo),Jefferson County,Wisconsin,862758aa7ffffff,83,24.34,24.34,69553750.00390625,31064.866682603613,1758492472594,Synapse54,1758492472594,Synapse54
709,54491 (White Lake),Langlade County,Wisconsin,86274201fffffff,67,39.88,39.88,77211250.0078125,32720.28896077646,1758492472594,Synapse54,1758492472594,Synapse54
710,53952 (Oxford),Adams County,Wisconsin,86275c69fffffff,106,29.86,29.86,71692500.00390625,31533.819890712755,1758492472594,Synapse54,1758492472594,Synapse54
711,53523 (Cambridge),Jefferson County,Wisconsin,862758aafffffff,244,28.81,28.81,69376250.00390625,31022.983392021204,1758492472594,Synapse54,1758492472594,Synapse54
712,54149 (Mountain),Oconto County,Wisconsin,862742027ffffff,92,48.42,48.42,77637500.00390625,32810.18524549249,1758492472594,Synapse54,1758492472594,Synapse54
713,53964 (Westfield),Marquette County,Wisconsin,86275c6a7ffffff,72,31.86,31.86,72154999.99609375,31633.72700432269,1758492472594,Synapse54,1758492472594,Synapse54
714,53531 (Deerfield),Dane County,Wisconsin,862758ab7ffffff,147,22.04,22.04,69275000.0,30999.12927585173,1758492472594,Synapse54,1758492472594,Synapse54
715,54149 (Mountain),Oconto County,Wisconsin,86274202fffffff,101,44.49,44.49,77211250.00390625,32720.28896077646,1758492472594,Synapse54,1758492472594,Synapse54
716,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758ac7ffffff,345,25.33,25.33,69173750.0078125,30980.03150225149,1758492472594,Synapse54,1758492472594,Synapse54
717,53949 (Montello),Marquette County,Wisconsin,86275c6afffffff,233,31.57,31.57,71821249.9921875,31563.60277024869,1758492472594,Synapse54,1758492472594,Synapse54
718,54175 (Townsend),Oconto County,Wisconsin,862742037ffffff,9,47.37,47.37,77184999.99609375,32715.460832727393,1758492472594,Synapse54,1758492472594,Synapse54
719,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758acfffffff,451,26.27,26.27,68850000.0,30908.061999516838,1758492472594,Synapse54,1758492472594,Synapse54
720,53952 (Oxford),Adams County,Wisconsin,86275c6b7ffffff,65,25.39,25.39,72133750.00390625,31629.197250437297,1758492472594,Synapse54,1758492472594,Synapse54
721,54174 (Suring),Oconto County,Wisconsin,862742047ffffff,53,29.44,29.44,76922499.99609375,32660.796678880855,1758492472594,Synapse54,1758492472594,Synapse54
722,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758ad7ffffff,162,31.83,31.83,68948750.0,30929.678856878054,1758492472594,Synapse54,1758492472594,Synapse54
723,53930 (Endeavor),Marquette County,Wisconsin,86275c6c7ffffff,122,23.83,23.83,71279999.99609375,31445.054203417454,1758492472594,Synapse54,1758492472594,Synapse54
724,54174 (Suring),Oconto County,Wisconsin,86274204fffffff,239,29.43,29.43,76683750.0078125,32609.403889397945,1758492472594,Synapse54,1758492472594,Synapse54
725,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758adfffffff,65,32.99,32.99,68820000.0,30899.444609658494,1758492472594,Synapse54,1758492472594,Synapse54
726,53901 (Portage),Columbia County,Wisconsin,86275c6cfffffff,80,28.99,28.99,71308750.0,31453.71325746008,1758492472594,Synapse54,1758492472594,Synapse54
727,54135 (Keshena),Menominee County,Wisconsin,862742057ffffff,15,21.74,21.74,76971250.00390625,32672.0783122516,1758492472594,Synapse54,1758492472594,Synapse54
728,53549 (Jefferson),Jefferson County,Wisconsin,862758ae7ffffff,236,19.36,19.36,69047500.0,30947.278171270955,1758492472594,Synapse54,1758492472594,Synapse54
729,53930 (Endeavor),Marquette County,Wisconsin,86275c6d7ffffff,54,25.47,25.47,71595000.00390625,31514.125785494565,1758492472594,Synapse54,1758492472594,Synapse54
730,54135 (Keshena),Menominee County,Wisconsin,86274205fffffff,43,25.75,25.75,76572499.9921875,32585.11481927616,1758492472594,Synapse54,1758492472594,Synapse54
731,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758aefffffff,2645,21.18,21.18,69095000.0,30955.747526061983,1758492472594,Synapse54,1758492472594,Synapse54
732,54174 (Suring),Oconto County,Wisconsin,862742067ffffff,98,31.11,31.11,77348750.0,32750.513131421838,1758492472594,Synapse54,1758492472594,Synapse54
733,53901 (Portage),Columbia County,Wisconsin,86275c6dfffffff,104,32.81,32.81,71077500.0,31398.414286284402,1758492472594,Synapse54,1758492472594,Synapse54
734,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758af7ffffff,247,30.53,30.53,69172499.99609375,30979.989872088925,1758492472594,Synapse54,1758492472594,Synapse54
735,54174 (Suring),Oconto County,Wisconsin,86274206fffffff,82,29.93,29.93,76922500.0078125,32660.796678880855,1758492472594,Synapse54,1758492472594,Synapse54
736,53949 (Montello),Marquette County,Wisconsin,86275c6e7ffffff,81,25.63,25.63,71641250.0,31523.26423999493,1758492472594,Synapse54,1758492472594,Synapse54
737,53098 (Watertown),Dodge County,Wisconsin,862758b07ffffff,265,24.51,24.51,69904999.9921875,31138.85227227682,1758492472594,Synapse54,1758492472594,Synapse54
738,54174 (Suring),Oconto County,Wisconsin,862742077ffffff,125,43.4,43.4,77108749.99609375,32700.122322469902,1758492472594,Synapse54,1758492472594,Synapse54
739,53949 (Montello),Marquette County,Wisconsin,86275c6efffffff,94,23.1,23.1,71641250.0,31523.26423999493,1758492472594,Synapse54,1758492472594,Synapse54
740,54491 (White Lake),Langlade County,Wisconsin,862742087ffffff,81,29.03,29.03,77075000.0,32691.066770662062,1758492472594,Synapse54,1758492472594,Synapse54
741,53094 (Watertown),Jefferson County,Wisconsin,862758b0fffffff,1912,20.22,20.22,69936250.00390625,31147.963534484606,1758492472594,Synapse54,1758492472594,Synapse54
742,53949 (Montello),Marquette County,Wisconsin,86275c6f7ffffff,208,25.84,25.84,71822500.0,31563.638178127494,1758492472594,Synapse54,1758492472594,Synapse54
743,54135 (Keshena),Menominee County,Wisconsin,86274208fffffff,0,0.0,0.0,76597500.0,32591.421949208114,1758492472594,Synapse54,1758492472594,Synapse54
744,54430 (Elton),Langlade County,Wisconsin,862742097ffffff,50,27.03,27.03,77237499.99609375,32728.289578054788,1758492472594,Synapse54,1758492472594,Synapse54
745,53098 (Watertown),Dodge County,Wisconsin,862758b17ffffff,76,27.54,27.54,70137500.00390625,31193.39287785273,1758492472594,Synapse54,1758492472594,Synapse54
