OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3363,60435 (Joliet),Will County,Illinois,86266449fffffff,10022,19.37,19.37,64743750.0,29974.686124780754,1758492504859,Synapse54,1758492504859,Synapse54
3364,60441 (Lockport),Will County,Illinois,8626644a7ffffff,2157,19.45,19.45,64743750.0,29974.686124780754,1758492504859,Synapse54,1758492504859,Synapse54
3365,60441 (Lockport),Will County,Illinois,8626644afffffff,3266,16.15,16.15,64702500.0,29963.32423735365,1758492504859,Synapse54,1758492504859,Synapse54
3366,60446 (Romeoville),Will County,Illinois,8626644b7ffffff,6109,15.85,15.85,64650000.0,29953.476635735646,1758492504859,Synapse54,1758492504859,Synapse54
3367,60433 (Joliet),Will County,Illinois,8626644d7ffffff,960,17.8,17.8,64601249.9921875,29938.724977843758,1758492504859,Synapse54,1758492504859,Synapse54
3368,60440 (Bolingbrook),Will County,Illinois,862664587ffffff,8414,20.33,20.33,65313750.0078125,30104.23860473745,1758492504859,Synapse54,1758492504859,Synapse54
3369,60439 (Lemont),Cook County,Illinois,86266458fffffff,4308,23.54,23.54,65091250.0,30057.13740631127,1758492504859,Synapse54,1758492504859,Synapse54
3370,60565 (Naperville),DuPage County,Illinois,862664597ffffff,9253,21.14,21.14,65313749.99609375,30104.23860473745,1758492504859,Synapse54,1758492504859,Synapse54
3371,60440 (Bolingbrook),Will County,Illinois,86266459fffffff,4118,15.19,15.19,65313750.0,30104.23860473745,1758492504859,Synapse54,1758492504859,Synapse54
3372,60559 (Westmont),DuPage County,Illinois,8626645a7ffffff,14276,23.4,23.4,65313749.99609375,30104.23860473745,1758492504859,Synapse54,1758492504859,Synapse54
3373,60517 (Woodridge),DuPage County,Illinois,8626645b7ffffff,9490,21.15,21.15,65482500.0,30145.685627298095,1758492504859,Synapse54,1758492504859,Synapse54
3374,60549 (Serena),LaSalle County,Illinois,862666107ffffff,194,26.54,26.54,64492499.99609375,29914.577256283024,1758492504859,Synapse54,1758492504859,Synapse54
3375,60549 (Serena),LaSalle County,Illinois,862666117ffffff,99,25.92,25.92,64149999.99609375,29833.612972562358,1758492504859,Synapse54,1758492504859,Synapse54
3376,61350 (Ottawa),LaSalle County,Illinois,86266611fffffff,144,24.28,24.28,63930000.00390625,29786.06846775641,1758492504859,Synapse54,1758492504859,Synapse54
3377,60551 (Sheridan),LaSalle County,Illinois,862666127ffffff,277,10.23,10.23,64177500.00390625,29845.66860856494,1758492504859,Synapse54,1758492504859,Synapse54
3378,60551 (Sheridan),LaSalle County,Illinois,86266612fffffff,101,26.17,26.17,64492500.0,29914.577256283024,1758492504859,Synapse54,1758492504859,Synapse54
3379,60551 (Sheridan),LaSalle County,Illinois,862666137ffffff,168,24.1,24.1,64535000.00390625,29925.757575556687,1758492504859,Synapse54,1758492504859,Synapse54
3380,61350 (Ottawa),LaSalle County,Illinois,862666187ffffff,45,26.32,26.32,64149999.99609375,29838.1820816702,1758492504859,Synapse54,1758492504859,Synapse54
3381,61373 (Utica),LaSalle County,Illinois,862666197ffffff,33,25.38,25.38,64149999.99609375,29838.1820816702,1758492504859,Synapse54,1758492504859,Synapse54
3382,61919 (Camargo),Douglas County,Illinois,862663137ffffff,42,28.0,28.0,59023750.00390625,28629.009022455135,1758492504859,Synapse54,1758492504859,Synapse54
3383,60518 (Earlville),LaSalle County,Illinois,8626661a7ffffff,61,26.75,26.75,64440000.00390625,29909.094466490173,1758492504859,Synapse54,1758492504859,Synapse54
3384,61943 (Oakland),Coles County,Illinois,862663157ffffff,144,27.8,27.8,58809999.98828125,28581.98441269785,1758492504859,Synapse54,1758492504859,Synapse54
3385,61350 (Ottawa),LaSalle County,Illinois,8626661afffffff,82,23.84,23.84,64440000.00390625,29909.094466490173,1758492504859,Synapse54,1758492504859,Synapse54
3386,61912 (Ashmore),Coles County,Illinois,86266315fffffff,24,30.0,30.0,58836249.9921875,28587.505219160746,1758492504859,Synapse54,1758492504859,Synapse54
3387,60518 (Earlville),LaSalle County,Illinois,8626661b7ffffff,34,29.57,29.57,64150000.00390625,29838.1820816702,1758492504859,Synapse54,1758492504859,Synapse54
3388,61910 (Arcola),Douglas County,Illinois,862663187ffffff,589,19.87,19.87,58849999.98828125,28588.29546799024,1758492504859,Synapse54,1758492504859,Synapse54
3389,61337 (Malden),Bureau County,Illinois,862666437ffffff,134,29.19,29.19,63854999.99609375,29769.33877546834,1758492504859,Synapse54,1758492504859,Synapse54
3390,61910 (Arcola),Coles County,Illinois,86266318fffffff,15,25.42,25.42,58716249.9921875,28551.90040111626,1758492504859,Synapse54,1758492504859,Synapse54
3391,61910 (Arcola),Douglas County,Illinois,862663197ffffff,99,15.05,15.05,58941250.0078125,28609.84412092685,1758492504859,Synapse54,1758492504859,Synapse54
3392,61330 (La Moille),Bureau County,Illinois,862666507ffffff,199,25.09,25.09,64391250.00390625,29892.755739468917,1758492504859,Synapse54,1758492504859,Synapse54
3393,61910 (Arcola),Douglas County,Illinois,86266319fffffff,37,17.87,17.87,58965000.0078125,28613.751216527184,1758492504859,Synapse54,1758492504859,Synapse54
3394,61312 (Arlington),Bureau County,Illinois,86266650fffffff,67,26.59,26.59,64046250.00390625,29814.683912745702,1758492504859,Synapse54,1758492504859,Synapse54
3395,61953 (Tuscola),Douglas County,Illinois,8626631a7ffffff,19,27.94,27.94,59485000.00390625,28738.903243121804,1758492504859,Synapse54,1758492504859,Synapse54
3396,61330 (La Moille),Bureau County,Illinois,862666517ffffff,49,24.38,24.38,64267500.0,29862.425041899613,1758492504859,Synapse54,1758492504859,Synapse54
3397,61910 (Arcola),Douglas County,Illinois,8626631afffffff,24,29.27,29.27,58875000.0078125,28593.638298716498,1758492504859,Synapse54,1758492504859,Synapse54
