OBJECTID,DESCRIPTION,ID,ECYTENHHD,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
313,"J2X (Saint-Jean-Sur-Richelieu, QC)",J2X,8960,8960,145676986.0,80102.73759580929,1753799463073,Synapse54,1753799463073,Synapse54
314,"J2Y (Saint-Jean-Sur-Richelieu, QC)",J2Y,2303,2303,146400386.17578125,73826.30271667863,1753799463073,Synapse54,1753799463073,Synapse54
315,"J3A (Saint-Jean-Sur-Richelieu, QC)",J3A,5207,5207,6186209.0,11188.578319190965,1753799463073,Synapse54,1753799463073,Synapse54
316,"J3B (Saint-Jean-Sur-Richelieu, QC)",J3B,16239,16239,95704303.5,54381.46319865555,1753799463073,Synapse54,1753799463073,Synapse54
317,"J3E (Sainte-Julie, QC)",J3E,12152,12152,105827610.5,60902.63170645707,1753799463073,Synapse54,1753799463073,Synapse54
318,"J3G (Beloeil, QC)",J3G,14907,14907,171490984.5,98109.63892656052,1753799463073,Synapse54,1753799463073,Synapse54
319,"J3H (Beloeil, QC)",J3H,11178,11178,80996367.5,55540.40786090735,1753799463073,Synapse54,1753799463073,Synapse54
320,"J3L (Chambly, QC)",J3L,22456,22456,364093398.0,124754.83820581688,1753799463073,Synapse54,1753799463073,Synapse54
321,"J3M (Marieville, QC)",J3M,4911,4911,126097256.5,55752.50302456562,1753799463073,Synapse54,1753799463073,Synapse54
322,"J3N (St-Basile-Le-Grand, QC)",J3N,6756,6756,74736126.0,37659.20099111866,1753799463073,Synapse54,1753799463073,Synapse54
323,"J3P (Sorel-Tracy, QC)",J3P,12737,12737,211886795.0,80652.39762505802,1753799463073,Synapse54,1753799463073,Synapse54
324,"J3R (Sorel-Tracy, QC)",J3R,7395,7395,57862738.0,40488.46821105956,1753799463073,Synapse54,1753799463073,Synapse54
325,"J3T (Nicolet, QC)",J3T,3881,3881,271606732.5,71484.12258274788,1753799463073,Synapse54,1753799463073,Synapse54
326,"J3V (Saint-Bruno, QC)",J3V,10751,10751,90158805.5,51396.92313356961,1753799463073,Synapse54,1753799463073,Synapse54
327,"J3X (Varennes, QC)",J3X,8707,8707,232058892.5,71561.3428539275,1753799463073,Synapse54,1753799463073,Synapse54
328,"J3Y (Saint-Hubert, QC)",J3Y,28266,28266,101336037.0,100201.13539228243,1753799463073,Synapse54,1753799463073,Synapse54
329,"J3Z (Saint-Hubert, QC)",J3Z,1954,1954,22454206.0,63608.93575532092,1753799463073,Synapse54,1753799463073,Synapse54
330,"J4B (Boucherville, QC)",J4B,17692,17692,170076124.5,59886.44585342009,1753799463073,Synapse54,1753799463073,Synapse54
331,"J4G (Longueuil, QC)",J4G,5037,5037,25356829.5,23719.52752698455,1753799463073,Synapse54,1753799463073,Synapse54
332,"J4H (Longueuil, QC)",J4H,8448,8448,11650935.0,15524.513087115087,1753799463073,Synapse54,1753799463073,Synapse54
333,"J4J (Longueuil, QC)",J4J,15563,15563,15351226.5,21930.353895068798,1753799463073,Synapse54,1753799463073,Synapse54
334,"J4K (Longueuil, QC)",J4K,13655,13655,12801059.0,20426.997549827258,1753799463073,Synapse54,1753799463073,Synapse54
335,"J4L (Longueuil, QC)",J4L,14683,14683,14765810.5,16776.5326873664,1753799463073,Synapse54,1753799463073,Synapse54
336,"J4M (Longueuil, QC)",J4M,5181,5181,10545973.0,20915.15150342213,1753799463073,Synapse54,1753799463073,Synapse54
337,"J4N (Longueuil, QC)",J4N,5355,5355,9982414.5,18319.159231838094,1753799463073,Synapse54,1753799463073,Synapse54
338,"J4P (Longueuil, QC)",J4P,5758,5758,6998059.0,12458.778436344583,1753799463073,Synapse54,1753799463073,Synapse54
339,"J4R (Longueuil, QC)",J4R,5077,5077,5607448.0,11472.375668491168,1753799463073,Synapse54,1753799463073,Synapse54
340,"J4S (Longueuil, QC)",J4S,3165,3165,4293595.5,10044.635885759557,1753799463073,Synapse54,1753799463073,Synapse54
341,"J4T (Saint-Hubert, QC)",J4T,9128,9128,8655769.0,12531.329908587128,1753799463073,Synapse54,1753799463073,Synapse54
342,"J4V (Longueuil, QC)",J4V,7603,7603,9874770.0,19495.60469716676,1753799463073,Synapse54,1753799463073,Synapse54
343,"J4W (Longueuil, QC)",J4W,7334,7334,11512935.0,16336.628676963564,1753799463073,Synapse54,1753799463073,Synapse54
344,"J4X (Longueuil, QC)",J4X,7846,7846,13216489.5,15198.092586417742,1753799463073,Synapse54,1753799463073,Synapse54
345,"J4Y (Longueuil, QC)",J4Y,10636,10636,21259495.5,19670.691530096043,1753799463073,Synapse54,1753799463073,Synapse54
346,"J4Z (Longueuil, QC)",J4Z,12670,12670,42442433.5,36399.19983850107,1753799463073,Synapse54,1753799463073,Synapse54
347,"J5A (Saint-Constant, QC)",J5A,12423,12423,123489244.5,53706.37543156535,1753799463073,Synapse54,1753799463073,Synapse54
348,"J5B (Delson, QC)",J5B,3241,3241,13765665.5,25868.554957637258,1753799463073,Synapse54,1753799463073,Synapse54
349,"J5C (Sainte-Catherine, QC)",J5C,7060,7060,20056189.5,22328.89425891819,1753799463073,Synapse54,1753799463073,Synapse54
350,"J5J (Sainte-Sophie, QC)",J5J,7868,7868,230905181.0,66651.47964912902,1753799463073,Synapse54,1753799463073,Synapse54
351,"J5K (Saint-Colomban, QC)",J5K,7130,7130,193780426.5,69823.6154247918,1753799463073,Synapse54,1753799463073,Synapse54
352,"J5L (Saint-Jerome, QC)",J5L,9880,9880,95796285.0,58040.91698594175,1753799463073,Synapse54,1753799463073,Synapse54
353,"J5M (Saint-Lin-Laurentides, QC)",J5M,10224,10224,245439917.0,79215.19535436288,1753799463073,Synapse54,1753799463073,Synapse54
354,"J5N (Saint-Lin-Laurentides, QC)",J5N,6458,6458,190530835.0,58815.89393433861,1753799463073,Synapse54,1753799463073,Synapse54
355,"J5R (La Prairie, QC)",J5R,21043,21043,116490762.5,83791.09209902641,1753799463073,Synapse54,1753799463073,Synapse54
356,"J5T (Lavaltrie, QC)",J5T,6349,6349,154486438.5,59411.55582605956,1753799463073,Synapse54,1753799463073,Synapse54
357,"J5V (Louiseville, QC)",J5V,3737,3737,506748881.0,179854.3461791025,1753799463073,Synapse54,1753799463073,Synapse54
358,"J5W (L'assomption, QC)",J5W,11303,11303,332828346.5,103350.78663938354,1753799463073,Synapse54,1753799463073,Synapse54
359,"J5X (L'epiphanie, QC)",J5X,3692,3692,93137482.5,61537.5779427655,1753799463073,Synapse54,1753799463073,Synapse54
360,"J5Y (Repentigny, QC)",J5Y,11398,11398,22356230.5,21230.469901767003,1753799463073,Synapse54,1753799463073,Synapse54
361,"J5Z (Repentigny, QC)",J5Z,11988,11988,78014581.0,40720.846170485005,1753799463073,Synapse54,1753799463073,Synapse54
362,"J6A (Repentigny, QC)",J6A,15060,15060,48655375.5,39943.850012514275,1753799463073,Synapse54,1753799463073,Synapse54
363,"J6E (Joliette, QC)",J6E,22984,22984,137214208.0,95275.2587794035,1753799463073,Synapse54,1753799463073,Synapse54
364,"J6J (Chateauguay, QC)",J6J,10458,10458,74217052.0,72123.22068999698,1753799463073,Synapse54,1753799463073,Synapse54
365,"J6K (Chateauguay, QC)",J6K,10205,10205,20188406.0,28536.15419577854,1753799463073,Synapse54,1753799463073,Synapse54
366,"J6N (Beauharnois, QC)",J6N,7722,7722,233462281.0,99024.33793574793,1753799463073,Synapse54,1753799463073,Synapse54
367,"J6R (Mercier, QC)",J6R,5769,5769,115347180.0,49311.90260299979,1753799463073,Synapse54,1753799463073,Synapse54
368,"J6S (Salaberry-De-Valleyfield, QC)",J6S,12355,12355,210261044.5,73467.37727321035,1753799463073,Synapse54,1753799463073,Synapse54
369,"J6T (Salaberry-De-Valleyfield, QC)",J6T,9177,9177,46981135.0,36756.956833154014,1753799463073,Synapse54,1753799463073,Synapse54
370,"J6V (Terrebonne, QC)",J6V,5888,5888,60800572.0,35889.68273881664,1753799463073,Synapse54,1753799463073,Synapse54
371,"J6W (Terrebonne, QC)",J6W,14278,14278,39136671.0,33325.59650886826,1753799463073,Synapse54,1753799463073,Synapse54
372,"J6X (Terrebonne, QC)",J6X,9642,9642,60225849.5,43095.169343531845,1753799463073,Synapse54,1753799463073,Synapse54
373,"J6Y (Terrebonne, QC)",J6Y,8602,8602,81550557.0,61201.9952124608,1753799463073,Synapse54,1753799463073,Synapse54
374,"J6Z (Rosemere, QC)",J6Z,7984,7984,22537924.0,22963.79436186629,1753799463073,Synapse54,1753799463073,Synapse54
375,"J7A (Rosemere, QC)",J7A,5475,5475,24339416.5,22941.14213233615,1753799463073,Synapse54,1753799463073,Synapse54
376,"J7B (Boisbriand, QC)",J7B,4552,4552,14667986.5,16792.064136555553,1753799463073,Synapse54,1753799463073,Synapse54
377,"J7C (Boisbriand, QC)",J7C,18952,18952,94216134.5,48996.310543076004,1753799463073,Synapse54,1753799463073,Synapse54
378,"J7E (Boisbriand, QC)",J7E,14079,14079,38942666.0,66768.75062873606,1753799463073,Synapse54,1753799463073,Synapse54
379,"J7G (Boisbriand, QC)",J7G,7615,7615,24826343.0,22844.466974416475,1753799463073,Synapse54,1753799463073,Synapse54
380,"J7H (Boisbriand, QC)",J7H,3763,3763,18524557.5,29683.633390851617,1753799463073,Synapse54,1753799463073,Synapse54
