OBJECTID,DESCRIPTION,ID,ECYHRIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
406,"J8V (Gatineau, QC)",J8V,1507780223.75,1507780223.75,324712509.0,103708.66049045212,1753802109669,Synapse54,1753802109669,Synapse54
407,"J8X (Gatineau, QC)",J8X,433051951.38,433051951.38,14811708.0,18647.21034649298,1753802109669,Synapse54,1753802109669,Synapse54
408,"J8Y (Gatineau, QC)",J8Y,907069923.87,907069923.87,19695262.5,21673.890152602384,1753802109669,Synapse54,1753802109669,Synapse54
409,"J8Z (Gatineau, QC)",J8Z,656543332.76,656543332.76,23130629.5,26602.970961144994,1753802109669,Synapse54,1753802109669,Synapse54
410,"J9A (Gatineau, QC)",J9A,1180570865.27,1180570865.27,30373310.5,26686.619129442304,1753802109669,Synapse54,1753802109669,Synapse54
411,"J9B (Chelsea, QC)",J9B,555287774.15,555287774.15,246189543.5,86816.99350066783,1753802109669,Synapse54,1753802109669,Synapse54
412,"J9E (Maniwaki, QC)",J9E,243075488.43,243075488.43,1377109169.5,310831.3640939274,1753802109669,Synapse54,1753802109669,Synapse54
413,"J9H (Gatineau, QC)",J9H,1484881924.67,1484881924.67,62556078.0,44664.06309859117,1753802109669,Synapse54,1753802109669,Synapse54
414,"J9J (Gatineau, QC)",J9J,2211487618.17,2211487618.17,151255466.5,58327.94180700536,1753802109669,Synapse54,1753802109669,Synapse54
415,"J9L (Mont-Laurier, QC)",J9L,517459881.42,517459881.42,1339338847.0,180384.92529711727,1753802109669,Synapse54,1753802109669,Synapse54
416,"J9P (Val-D'or, QC)",J9P,1562011915.88,1562011915.88,3829796876.0,458548.2575127482,1753802109669,Synapse54,1753802109669,Synapse54
417,"J9T (Amos, QC)",J9T,546761426.47,546761426.47,683602510.0,189908.9748917051,1753802109669,Synapse54,1753802109669,Synapse54
418,"J9V (Rouyn-Noranda, QC)",J9V,141524256.96,141524256.96,297071822.0,76817.77391779536,1753802109669,Synapse54,1753802109669,Synapse54
419,"J9X (Rouyn-Noranda, QC)",J9X,955146825.68,955146825.68,301651162.0,120674.85661136823,1753802109669,Synapse54,1753802109669,Synapse54
420,"J9Y (Rouyn-Noranda, QC)",J9Y,528775313.32,528775313.32,2199066233.0,465878.96082864003,1753802109669,Synapse54,1753802109669,Synapse54
421,"J9Z (La Sarre, QC)",J9Z,276049277.51,276049277.51,348212296.0,88902.99107383726,1753802109669,Synapse54,1753802109669,Synapse54
