OBJECTID,DESCRIPTION,ID,ECYPTAPOP,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
357,"J5V (Louiseville, QC)",J5V,7565,7565,506748881.0,179854.3461791025,1753799274656,Synapse54,1753799274656,Synapse54
358,"J5W (L'assomption, QC)",J5W,27797,27797,332828346.5,103350.78663938354,1753799274656,Synapse54,1753799274656,Synapse54
359,"J5X (L'epiphanie, QC)",J5X,9115,9115,93137482.5,61537.5779427655,1753799274656,Synapse54,1753799274656,Synapse54
360,"J5Y (Repentigny, QC)",J5Y,30829,30829,22356230.5,21230.469901767003,1753799274656,Synapse54,1753799274656,Synapse54
361,"J5Z (Repentigny, QC)",J5Z,28961,28961,78014581.0,40720.846170485005,1753799274656,Synapse54,1753799274656,Synapse54
362,"J6A (Repentigny, QC)",J6A,35340,35340,48655375.5,39943.850012514275,1753799274656,Synapse54,1753799274656,Synapse54
363,"J6E (Joliette, QC)",J6E,48463,48463,137214208.0,95275.2587794035,1753799274656,Synapse54,1753799274656,Synapse54
364,"J6J (Chateauguay, QC)",J6J,25631,25631,74217052.0,72123.22068999698,1753799274656,Synapse54,1753799274656,Synapse54
365,"J6K (Chateauguay, QC)",J6K,26609,26609,20188406.0,28536.15419577854,1753799274656,Synapse54,1753799274656,Synapse54
366,"J6N (Beauharnois, QC)",J6N,16737,16737,233462281.0,99024.33793574793,1753799274656,Synapse54,1753799274656,Synapse54
367,"J6R (Mercier, QC)",J6R,15702,15702,115347180.0,49311.90260299979,1753799274656,Synapse54,1753799274656,Synapse54
368,"J6S (Salaberry-De-Valleyfield, QC)",J6S,26291,26291,210261044.5,73467.37727321035,1753799274656,Synapse54,1753799274656,Synapse54
369,"J6T (Salaberry-De-Valleyfield, QC)",J6T,18970,18970,46981135.0,36756.956833154014,1753799274656,Synapse54,1753799274656,Synapse54
370,"J6V (Terrebonne, QC)",J6V,15677,15677,60800572.0,35889.68273881664,1753799274656,Synapse54,1753799274656,Synapse54
371,"J6W (Terrebonne, QC)",J6W,34253,34253,39136671.0,33325.59650886826,1753799274656,Synapse54,1753799274656,Synapse54
372,"J6X (Terrebonne, QC)",J6X,25640,25640,60225849.5,43095.169343531845,1753799274656,Synapse54,1753799274656,Synapse54
373,"J6Y (Terrebonne, QC)",J6Y,24759,24759,81550557.0,61201.9952124608,1753799274656,Synapse54,1753799274656,Synapse54
374,"J6Z (Rosemere, QC)",J6Z,20275,20275,22537924.0,22963.79436186629,1753799274656,Synapse54,1753799274656,Synapse54
375,"J7A (Rosemere, QC)",J7A,14391,14391,24339416.5,22941.14213233615,1753799274656,Synapse54,1753799274656,Synapse54
