OBJECTID,DESCRIPTION,ID,ECYPTAPOP,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
93,"G6P (Victoriaville, QC)",G6P,30950,30950,43162857.0,67077.33804588739,1753799274656,Synapse54,1753799274656,Synapse54
94,"G6R (Victoriaville, QC)",G6R,4742,4742,111890007.5,67049.5189257073,1753799274656,Synapse54,1753799274656,Synapse54
95,"G6S (Victoriaville, QC)",G6S,5274,5274,93883157.5,65606.32420350032,1753799274656,Synapse54,1753799274656,Synapse54
96,"G6T (Victoriaville, QC)",G6T,11659,11659,97646146.0,79862.46403678902,1753799274656,Synapse54,1753799274656,Synapse54
97,"G6V (Levis, QC)",G6V,33294,33294,51005706.5,85820.66591178898,1753799274656,Synapse54,1753799274656,Synapse54
98,"G6W (Levis, QC)",G6W,26318,26318,54365583.5,57031.8227070878,1753799274656,Synapse54,1753799274656,Synapse54
99,"G6X (Levis, QC)",G6X,9436,9436,17532207.0,18566.178953389182,1753799274656,Synapse54,1753799274656,Synapse54
100,"G6Y (Levis, QC)",G6Y,8317,8317,48673784.5,36076.08982567784,1753799274656,Synapse54,1753799274656,Synapse54
101,"G6Z (Saint-Jean-Chrysostome, QC)",G6Z,24403,24403,206313300.5,81637.94553350794,1753799274656,Synapse54,1753799274656,Synapse54
102,"G7A (Saint-Nicolas, QC)",G7A,27140,27140,206385794.0,76585.07395132218,1753799274656,Synapse54,1753799274656,Synapse54
103,"G7B (La Baie, QC)",G7B,18736,18736,731098795.5,122236.04683671948,1753799274656,Synapse54,1753799274656,Synapse54
104,"G7G (Chicoutimi, QC)",G7G,17313,17313,83451590.0,72026.82978856695,1753799274656,Synapse54,1753799274656,Synapse54
105,"G7H (Chicoutimi, QC)",G7H,29528,29528,335780132.5,155297.87503251838,1753799274656,Synapse54,1753799274656,Synapse54
106,"G7J (Chicoutimi, QC)",G7J,14484,14484,48516569.0,31553.718168111947,1753799274656,Synapse54,1753799274656,Synapse54
107,"G7K (Chicoutimi, QC)",G7K,806,806,13787400.5,25129.491914885974,1753799274656,Synapse54,1753799274656,Synapse54
108,"G7N (Laterriere, QC)",G7N,6446,6446,572266521.5,131134.86527943268,1753799274656,Synapse54,1753799274656,Synapse54
109,"G7P (Chicoutimi, QC)",G7P,7835,7835,535052258.5,133662.40227307807,1753799274656,Synapse54,1753799274656,Synapse54
