OBJECTID,DESCRIPTION,ID,P5YHRIMED,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
316,"J3B (Saint-Jean-Sur-Richelieu, QC)",J3B,70631.86,70631.86,95704303.5,54381.46319865555,1753802057568,Synapse54,1753802057568,Synapse54
317,"J3E (Sainte-Julie, QC)",J3E,110118.55,110118.55,105827610.5,60902.63170645707,1753802057568,Synapse54,1753802057568,Synapse54
318,"J3G (Beloeil, QC)",J3G,93429.64,93429.64,171490984.5,98109.63892656052,1753802057568,Synapse54,1753802057568,Synapse54
319,"J3H (Beloeil, QC)",J3H,108458.95,108458.95,80996367.5,55540.40786090735,1753802057568,Synapse54,1753802057568,Synapse54
320,"J3L (Chambly, QC)",J3L,107892.94,107892.94,364093398.0,124754.83820581688,1753802057568,Synapse54,1753802057568,Synapse54
321,"J3M (Marieville, QC)",J3M,79703.79,79703.79,126097256.5,55752.50302456562,1753802057568,Synapse54,1753802057568,Synapse54
322,"J3N (St-Basile-Le-Grand, QC)",J3N,115828.7,115828.7,74736126.0,37659.20099111866,1753802057568,Synapse54,1753802057568,Synapse54
323,"J3P (Sorel-Tracy, QC)",J3P,62830.83,62830.83,211886795.0,80652.39762505802,1753802057568,Synapse54,1753802057568,Synapse54
324,"J3R (Sorel-Tracy, QC)",J3R,64522.57,64522.57,57862738.0,40488.46821105956,1753802057568,Synapse54,1753802057568,Synapse54
325,"J3T (Nicolet, QC)",J3T,68423.63,68423.63,271606732.5,71484.12258274788,1753802057568,Synapse54,1753802057568,Synapse54
326,"J3V (Saint-Bruno, QC)",J3V,125960.57,125960.57,90158805.5,51396.92313356961,1753802057568,Synapse54,1753802057568,Synapse54
327,"J3X (Varennes, QC)",J3X,107282.41,107282.41,232058892.5,71561.3428539275,1753802057568,Synapse54,1753802057568,Synapse54
328,"J3Y (Saint-Hubert, QC)",J3Y,93880.78,93880.78,101336037.0,100201.13539228243,1753802057568,Synapse54,1753802057568,Synapse54
329,"J3Z (Saint-Hubert, QC)",J3Z,123016.23,123016.23,22454206.0,63608.93575532092,1753802057568,Synapse54,1753802057568,Synapse54
330,"J4B (Boucherville, QC)",J4B,118267.18,118267.18,170076124.5,59886.44585342009,1753802057568,Synapse54,1753802057568,Synapse54
331,"J4G (Longueuil, QC)",J4G,81024.86,81024.86,25356829.5,23719.52752698455,1753802057568,Synapse54,1753802057568,Synapse54
332,"J4H (Longueuil, QC)",J4H,65644.87,65644.87,11650935.0,15524.513087115087,1753802057568,Synapse54,1753802057568,Synapse54
333,"J4J (Longueuil, QC)",J4J,62527.47,62527.47,15351226.5,21930.353895068798,1753802057568,Synapse54,1753802057568,Synapse54
334,"J4K (Longueuil, QC)",J4K,65666.97,65666.97,12801059.0,20426.997549827258,1753802057568,Synapse54,1753802057568,Synapse54
335,"J4L (Longueuil, QC)",J4L,68657.59,68657.59,14765810.5,16776.5326873664,1753802057568,Synapse54,1753802057568,Synapse54
336,"J4M (Longueuil, QC)",J4M,111162.61,111162.61,10545973.0,20915.15150342213,1753802057568,Synapse54,1753802057568,Synapse54
337,"J4N (Longueuil, QC)",J4N,89496.94,89496.94,9982414.5,18319.159231838094,1753802057568,Synapse54,1753802057568,Synapse54
338,"J4P (Longueuil, QC)",J4P,86126.83,86126.83,6998059.0,12458.778436344583,1753802057568,Synapse54,1753802057568,Synapse54
339,"J4R (Longueuil, QC)",J4R,81983.14,81983.14,5607448.0,11472.375668491168,1753802057568,Synapse54,1753802057568,Synapse54
