OBJECTID,DESCRIPTION,ID,ECYHNIMED,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
346,"J4Z (Longueuil, QC)",J4Z,89707.59,89707.59,42442433.5,36399.19983850107,1753801558362,Synapse54,1753801558362,Synapse54
347,"J5A (Saint-Constant, QC)",J5A,110405.25,110405.25,123489244.5,53706.37543156535,1753801558362,Synapse54,1753801558362,Synapse54
348,"J5B (Delson, QC)",J5B,99390.84,99390.84,13765665.5,25868.554957637258,1753801558362,Synapse54,1753801558362,Synapse54
349,"J5C (Sainte-Catherine, QC)",J5C,99342.44,99342.44,20056189.5,22328.89425891819,1753801558362,Synapse54,1753801558362,Synapse54
350,"J5J (Sainte-Sophie, QC)",J5J,92969.14,92969.14,230905181.0,66651.47964912902,1753801558362,Synapse54,1753801558362,Synapse54
351,"J5K (Saint-Colomban, QC)",J5K,112356.84,112356.84,193780426.5,69823.6154247918,1753801558362,Synapse54,1753801558362,Synapse54
352,"J5L (Saint-Jerome, QC)",J5L,97532.17,97532.17,95796285.0,58040.91698594175,1753801558362,Synapse54,1753801558362,Synapse54
353,"J5M (Saint-Lin-Laurentides, QC)",J5M,93619.22,93619.22,245439917.0,79215.19535436288,1753801558362,Synapse54,1753801558362,Synapse54
354,"J5N (Saint-Lin-Laurentides, QC)",J5N,88661.48,88661.48,190530835.0,58815.89393433861,1753801558362,Synapse54,1753801558362,Synapse54
355,"J5R (La Prairie, QC)",J5R,114571.19,114571.19,116490762.5,83791.09209902641,1753801558362,Synapse54,1753801558362,Synapse54
356,"J5T (Lavaltrie, QC)",J5T,95216.77,95216.77,154486438.5,59411.55582605956,1753801558362,Synapse54,1753801558362,Synapse54
357,"J5V (Louiseville, QC)",J5V,53689.8,53689.8,506748881.0,179854.3461791025,1753801558362,Synapse54,1753801558362,Synapse54
358,"J5W (L'assomption, QC)",J5W,98547.98,98547.98,332828346.5,103350.78663938354,1753801558362,Synapse54,1753801558362,Synapse54
359,"J5X (L'epiphanie, QC)",J5X,88513.9,88513.9,93137482.5,61537.5779427655,1753801558362,Synapse54,1753801558362,Synapse54
360,"J5Y (Repentigny, QC)",J5Y,116551.23,116551.23,22356230.5,21230.469901767003,1753801558362,Synapse54,1753801558362,Synapse54
361,"J5Z (Repentigny, QC)",J5Z,96329.53,96329.53,78014581.0,40720.846170485005,1753801558362,Synapse54,1753801558362,Synapse54
362,"J6A (Repentigny, QC)",J6A,90658.85,90658.85,48655375.5,39943.850012514275,1753801558362,Synapse54,1753801558362,Synapse54
363,"J6E (Joliette, QC)",J6E,64360.04,64360.04,137214208.0,95275.2587794035,1753801558362,Synapse54,1753801558362,Synapse54
364,"J6J (Chateauguay, QC)",J6J,86499.28,86499.28,74217052.0,72123.22068999698,1753801558362,Synapse54,1753801558362,Synapse54
365,"J6K (Chateauguay, QC)",J6K,93522.39,93522.39,20188406.0,28536.15419577854,1753801558362,Synapse54,1753801558362,Synapse54
366,"J6N (Beauharnois, QC)",J6N,80915.92,80915.92,233462281.0,99024.33793574793,1753801558362,Synapse54,1753801558362,Synapse54
367,"J6R (Mercier, QC)",J6R,113211.44,113211.44,115347180.0,49311.90260299979,1753801558362,Synapse54,1753801558362,Synapse54
368,"J6S (Salaberry-De-Valleyfield, QC)",J6S,70572.98,70572.98,210261044.5,73467.37727321035,1753801558362,Synapse54,1753801558362,Synapse54
369,"J6T (Salaberry-De-Valleyfield, QC)",J6T,64349.57,64349.57,46981135.0,36756.956833154014,1753801558362,Synapse54,1753801558362,Synapse54
370,"J6V (Terrebonne, QC)",J6V,120664.04,120664.04,60800572.0,35889.68273881664,1753801558362,Synapse54,1753801558362,Synapse54
371,"J6W (Terrebonne, QC)",J6W,94606.32,94606.32,39136671.0,33325.59650886826,1753801558362,Synapse54,1753801558362,Synapse54
372,"J6X (Terrebonne, QC)",J6X,105948.76,105948.76,60225849.5,43095.169343531845,1753801558362,Synapse54,1753801558362,Synapse54
373,"J6Y (Terrebonne, QC)",J6Y,125628.85,125628.85,81550557.0,61201.9952124608,1753801558362,Synapse54,1753801558362,Synapse54
374,"J6Z (Rosemere, QC)",J6Z,120136.33,120136.33,22537924.0,22963.79436186629,1753801558362,Synapse54,1753801558362,Synapse54
375,"J7A (Rosemere, QC)",J7A,132462.97,132462.97,24339416.5,22941.14213233615,1753801558362,Synapse54,1753801558362,Synapse54
376,"J7B (Boisbriand, QC)",J7B,173699.93,173699.93,14667986.5,16792.064136555553,1753801558362,Synapse54,1753801558362,Synapse54
377,"J7C (Boisbriand, QC)",J7C,111520.88,111520.88,94216134.5,48996.310543076004,1753801558362,Synapse54,1753801558362,Synapse54
378,"J7E (Boisbriand, QC)",J7E,75464.29,75464.29,38942666.0,66768.75062873606,1753801558362,Synapse54,1753801558362,Synapse54
379,"J7G (Boisbriand, QC)",J7G,100230.94,100230.94,24826343.0,22844.466974416475,1753801558362,Synapse54,1753801558362,Synapse54
380,"J7H (Boisbriand, QC)",J7H,94669.89,94669.89,18524557.5,29683.633390851617,1753801558362,Synapse54,1753801558362,Synapse54
381,"J7J (Boisbriand, QC)",J7J,100789.16,100789.16,216897455.5,103444.96666308724,1753801558362,Synapse54,1753801558362,Synapse54
382,"J7K (Terrebonne, QC)",J7K,101963.49,101963.49,193069363.5,83975.60969421153,1753801558362,Synapse54,1753801558362,Synapse54
383,"J7L (Terrebonne, QC)",J7L,112709.74,112709.74,28664221.0,25040.678807417222,1753801558362,Synapse54,1753801558362,Synapse54
