OBJECTID,DESCRIPTION,ID,P5YHNIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
370,"J6V (Terrebonne, QC)",J6V,1133472869.22,1133472869.22,60800572.0,35889.68273881664,1753801689447,Synapse54,1753801689447,Synapse54
371,"J6W (Terrebonne, QC)",J6W,2004146568.91,2004146568.91,39136671.0,33325.59650886826,1753801689447,Synapse54,1753801689447,Synapse54
372,"J6X (Terrebonne, QC)",J6X,1469884258.43,1469884258.43,60225849.5,43095.169343531845,1753801689447,Synapse54,1753801689447,Synapse54
373,"J6Y (Terrebonne, QC)",J6Y,1615952518.25,1615952518.25,81550557.0,61201.9952124608,1753801689447,Synapse54,1753801689447,Synapse54
374,"J6Z (Rosemere, QC)",J6Z,1482046673.47,1482046673.47,22537924.0,22963.79436186629,1753801689447,Synapse54,1753801689447,Synapse54
375,"J7A (Rosemere, QC)",J7A,1096159869.89,1096159869.89,24339416.5,22941.14213233615,1753801689447,Synapse54,1753801689447,Synapse54
376,"J7B (Boisbriand, QC)",J7B,1308874525.28,1308874525.28,14667986.5,16792.064136555553,1753801689447,Synapse54,1753801689447,Synapse54
377,"J7C (Boisbriand, QC)",J7C,3218522200.24,3218522200.24,94216134.5,48996.310543076004,1753801689447,Synapse54,1753801689447,Synapse54
378,"J7E (Boisbriand, QC)",J7E,1704259421.75,1704259421.75,38942666.0,66768.75062873606,1753801689447,Synapse54,1753801689447,Synapse54
379,"J7G (Boisbriand, QC)",J7G,1169241998.67,1169241998.67,24826343.0,22844.466974416475,1753801689447,Synapse54,1753801689447,Synapse54
380,"J7H (Boisbriand, QC)",J7H,552243517.73,552243517.73,18524557.5,29683.633390851617,1753801689447,Synapse54,1753801689447,Synapse54
381,"J7J (Boisbriand, QC)",J7J,2178918515.73,2178918515.73,216897455.5,103444.96666308724,1753801689447,Synapse54,1753801689447,Synapse54
382,"J7K (Terrebonne, QC)",J7K,2358151920.75,2358151920.75,193069363.5,83975.60969421153,1753801689447,Synapse54,1753801689447,Synapse54
383,"J7L (Terrebonne, QC)",J7L,936170243.28,936170243.28,28664221.0,25040.678807417222,1753801689447,Synapse54,1753801689447,Synapse54
384,"J7M (Terrebonne, QC)",J7M,1254025293.15,1254025293.15,82543767.0,48321.76398543206,1753801689447,Synapse54,1753801689447,Synapse54
385,"J7N (Boisbriand, QC)",J7N,2427434229.98,2427434229.98,781900527.5,198254.3737699631,1753801689447,Synapse54,1753801689447,Synapse54
386,"J7P (Saint-Eustache, QC)",J7P,1485043359.08,1485043359.08,34525041.5,29797.38514106549,1753801689447,Synapse54,1753801689447,Synapse54
387,"J7R (Saint-Eustache, QC)",J7R,2203313478.03,2203313478.03,124808411.0,71490.55014073827,1753801689447,Synapse54,1753801689447,Synapse54
388,"J7T (Vaudreuil-Dorion, QC)",J7T,2169063664.16,2169063664.16,297651983.5,93415.04234638221,1753801689447,Synapse54,1753801689447,Synapse54
389,"J7V (Vaudreuil-Dorion, QC)",J7V,4441848298.15,4441848298.15,362449115.0,152968.31394129083,1753801689447,Synapse54,1753801689447,Synapse54
390,"J7W (Vaudreuil-Dorion, QC)",J7W,909810306.76,909810306.76,24383265.0,23490.450057951097,1753801689447,Synapse54,1753801689447,Synapse54
391,"J7X (Salaberry-De-Valleyfield, QC)",J7X,345983216.26,345983216.26,64920487.0,46286.99583260664,1753801689447,Synapse54,1753801689447,Synapse54
392,"J7Y (Saint-Jerome, QC)",J7Y,1505574397.31,1505574397.31,50087471.02734375,55705.64280837206,1753801689447,Synapse54,1753801689447,Synapse54
393,"J7Z (Saint-Jerome, QC)",J7Z,1613931897.26,1613931897.26,36942944.47265625,33700.08035698858,1753801689447,Synapse54,1753801689447,Synapse54
394,"J8A (Saint-Hippolyte, QC)",J8A,748662444.76,748662444.76,272351866.0,88660.25650248205,1753801689447,Synapse54,1753801689447,Synapse54
395,"J8B (Sainte-Adele, QC)",J8B,1031299355.64,1031299355.64,257661278.5,87331.95722532229,1753801689447,Synapse54,1753801689447,Synapse54
396,"J8C (Sainte-Agathe-Des-Monts, QC)",J8C,682079594.84,682079594.84,363538345.5,105828.83702167151,1753801689447,Synapse54,1753801689447,Synapse54
397,"J8E (Mont-Tremblant, QC)",J8E,825865562.9,825865562.9,598027685.5,128502.35538817226,1753801689447,Synapse54,1753801689447,Synapse54
398,"J8G (Brownsburg-Chatham, QC)",J8G,444553965.28,444553965.28,1206240278.5,237511.8555793957,1753801689447,Synapse54,1753801689447,Synapse54
399,"J8H (Lachute, QC)",J8H,807876460.23,807876460.23,482502118.5,169179.8899596451,1753801689447,Synapse54,1753801689447,Synapse54
400,"J8L (Gatineau, QC)",J8L,1292518508.92,1292518508.92,1293058071.0,172060.6388984216,1753801689447,Synapse54,1753801689447,Synapse54
401,"J8M (Gatineau, QC)",J8M,835764525.79,835764525.79,154732777.5,65024.547084615566,1753801689447,Synapse54,1753801689447,Synapse54
402,"J8N (Val-Des-Monts, QC)",J8N,1143493509.75,1143493509.75,1732302854.5,285589.92276472907,1753801689447,Synapse54,1753801689447,Synapse54
403,"J8P (Gatineau, QC)",J8P,1951929671.52,1951929671.52,58693548.0,43657.291681754716,1753801689447,Synapse54,1753801689447,Synapse54
404,"J8R (Gatineau, QC)",J8R,1996065800.19,1996065800.19,156666056.5,68675.20266685543,1753801689447,Synapse54,1753801689447,Synapse54
405,"J8T (Gatineau, QC)",J8T,2258642249.42,2258642249.42,47793402.0,43358.360078022946,1753801689447,Synapse54,1753801689447,Synapse54
406,"J8V (Gatineau, QC)",J8V,2183321862.39,2183321862.39,324712509.0,103708.66049045212,1753801689447,Synapse54,1753801689447,Synapse54
407,"J8X (Gatineau, QC)",J8X,645658517.7,645658517.7,14811708.0,18647.21034649298,1753801689447,Synapse54,1753801689447,Synapse54
408,"J8Y (Gatineau, QC)",J8Y,1268065926.45,1268065926.45,19695262.5,21673.890152602384,1753801689447,Synapse54,1753801689447,Synapse54
409,"J8Z (Gatineau, QC)",J8Z,901312036.92,901312036.92,23130629.5,26602.970961144994,1753801689447,Synapse54,1753801689447,Synapse54
410,"J9A (Gatineau, QC)",J9A,1678918569.87,1678918569.87,30373310.5,26686.619129442304,1753801689447,Synapse54,1753801689447,Synapse54
411,"J9B (Chelsea, QC)",J9B,846183074.64,846183074.64,246189543.5,86816.99350066783,1753801689447,Synapse54,1753801689447,Synapse54
412,"J9E (Maniwaki, QC)",J9E,331352761.26,331352761.26,1377109169.5,310831.3640939274,1753801689447,Synapse54,1753801689447,Synapse54
413,"J9H (Gatineau, QC)",J9H,2146967423.17,2146967423.17,62556078.0,44664.06309859117,1753801689447,Synapse54,1753801689447,Synapse54
414,"J9J (Gatineau, QC)",J9J,3220477540.4,3220477540.4,151255466.5,58327.94180700536,1753801689447,Synapse54,1753801689447,Synapse54
415,"J9L (Mont-Laurier, QC)",J9L,715296166.87,715296166.87,1339338847.0,180384.92529711727,1753801689447,Synapse54,1753801689447,Synapse54
416,"J9P (Val-D'or, QC)",J9P,2118709111.41,2118709111.41,3829796876.0,458548.2575127482,1753801689447,Synapse54,1753801689447,Synapse54
417,"J9T (Amos, QC)",J9T,748657484.23,748657484.23,683602510.0,189908.9748917051,1753801689447,Synapse54,1753801689447,Synapse54
418,"J9V (Rouyn-Noranda, QC)",J9V,193266852.94,193266852.94,297071822.0,76817.77391779536,1753801689447,Synapse54,1753801689447,Synapse54
419,"J9X (Rouyn-Noranda, QC)",J9X,1323461267.81,1323461267.81,301651162.0,120674.85661136823,1753801689447,Synapse54,1753801689447,Synapse54
420,"J9Y (Rouyn-Noranda, QC)",J9Y,717720734.21,717720734.21,2199066233.0,465878.96082864003,1753801689447,Synapse54,1753801689447,Synapse54
421,"J9Z (La Sarre, QC)",J9Z,377522918.33,377522918.33,348212296.0,88902.99107383726,1753801689447,Synapse54,1753801689447,Synapse54
