OBJECTID,DESCRIPTION,ID,P5YHRIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
402,"J8N (Val-Des-Monts, QC)",J8N,893309007.25,893309007.25,1732302854.5,285589.92276472907,1753802168379,Synapse54,1753802168379,Synapse54
403,"J8P (Gatineau, QC)",J8P,1524867734.07,1524867734.07,58693548.0,43657.291681754716,1753802168379,Synapse54,1753802168379,Synapse54
404,"J8R (Gatineau, QC)",J8R,1559347336.16,1559347336.16,156666056.5,68675.20266685543,1753802168379,Synapse54,1753802168379,Synapse54
405,"J8T (Gatineau, QC)",J8T,1764474785.66,1764474785.66,47793402.0,43358.360078022946,1753802168379,Synapse54,1753802168379,Synapse54
406,"J8V (Gatineau, QC)",J8V,1705633717.01,1705633717.01,324712509.0,103708.66049045212,1753802168379,Synapse54,1753802168379,Synapse54
407,"J8X (Gatineau, QC)",J8X,504395140.47,504395140.47,14811708.0,18647.21034649298,1753802168379,Synapse54,1753802168379,Synapse54
408,"J8Y (Gatineau, QC)",J8Y,990626273.12,990626273.12,19695262.5,21673.890152602384,1753802168379,Synapse54,1753802168379,Synapse54
409,"J8Z (Gatineau, QC)",J8Z,704114325.16,704114325.16,23130629.5,26602.970961144994,1753802168379,Synapse54,1753802168379,Synapse54
410,"J9A (Gatineau, QC)",J9A,1311588625.64,1311588625.64,30373310.5,26686.619129442304,1753802168379,Synapse54,1753802168379,Synapse54
411,"J9B (Chelsea, QC)",J9B,661047007.19,661047007.19,246189543.5,86816.99350066783,1753802168379,Synapse54,1753802168379,Synapse54
412,"J9E (Maniwaki, QC)",J9E,258856218.84,258856218.84,1377109169.5,310831.3640939274,1753802168379,Synapse54,1753802168379,Synapse54
413,"J9H (Gatineau, QC)",J9H,1677233251.43,1677233251.43,62556078.0,44664.06309859117,1753802168379,Synapse54,1753802168379,Synapse54
414,"J9J (Gatineau, QC)",J9J,2515870505.59,2515870505.59,151255466.5,58327.94180700536,1753802168379,Synapse54,1753802168379,Synapse54
415,"J9L (Mont-Laurier, QC)",J9L,558796795.33,558796795.33,1339338847.0,180384.92529711727,1753802168379,Synapse54,1753802168379,Synapse54
416,"J9P (Val-D'or, QC)",J9P,1655157564.77,1655157564.77,3829796876.0,458548.2575127482,1753802168379,Synapse54,1753802168379,Synapse54
417,"J9T (Amos, QC)",J9T,584859002.95,584859002.95,683602510.0,189908.9748917051,1753802168379,Synapse54,1753802168379,Synapse54
418,"J9V (Rouyn-Noranda, QC)",J9V,150982072.98,150982072.98,297071822.0,76817.77391779536,1753802168379,Synapse54,1753802168379,Synapse54
419,"J9X (Rouyn-Noranda, QC)",J9X,1033901689.16,1033901689.16,301651162.0,120674.85661136823,1753802168379,Synapse54,1753802168379,Synapse54
420,"J9Y (Rouyn-Noranda, QC)",J9Y,560690892.52,560690892.52,2199066233.0,465878.96082864003,1753802168379,Synapse54,1753802168379,Synapse54
421,"J9Z (La Sarre, QC)",J9Z,294924825.1,294924825.1,348212296.0,88902.99107383726,1753802168379,Synapse54,1753802168379,Synapse54
