OBJECTID,DESCRIPTION,ID,P5YTENOWN,P5YTENOWN_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
182,"H3A (Montreal, QC)",H3A,959,27.63,27.63,1952640.0,8051.6260641867375,1753799756033,Synapse54,1753799756033,Synapse54
183,"H3B (Montreal, QC)",H3B,492,30.17,30.17,927950.0,5036.520981944944,1753799756033,Synapse54,1753799756033,Synapse54
184,"H3C (Montreal, QC)",H3C,5954,40.83,40.83,17209727.0,33681.90517416176,1753799756033,Synapse54,1753799756033,Synapse54
185,"H3E (Montreal, QC)",H3E,6393,56.09,56.09,9825716.5,14615.034290309737,1753799756033,Synapse54,1753799756033,Synapse54
186,"H3G (Montreal, QC)",H3G,2703,30.8,30.8,2139910.0,8520.81981818768,1753799756033,Synapse54,1753799756033,Synapse54
187,"H3H (Montreal, QC)",H3H,2324,17.32,17.32,5138945.5,17420.06994824536,1753799756033,Synapse54,1753799756033,Synapse54
188,"H3J (Montreal, QC)",H3J,2356,35.31,35.31,2674031.0,6742.466153977455,1753799756033,Synapse54,1753799756033,Synapse54
189,"H3K (Montreal, QC)",H3K,2883,35.29,35.29,6571158.0,11318.657050191392,1753799756033,Synapse54,1753799756033,Synapse54
190,"H3L (Montreal, QC)",H3L,3580,34.41,34.41,8682987.0,13055.356607199148,1753799756033,Synapse54,1753799756033,Synapse54
191,"H3M (Montreal, QC)",H3M,2710,43.49,43.49,5900605.5,11105.82837103115,1753799756033,Synapse54,1753799756033,Synapse54
192,"H3N (Montreal, QC)",H3N,2505,19.33,19.33,3362662.5,8891.918324885475,1753799756033,Synapse54,1753799756033,Synapse54
193,"H3P (Montreal, QC)",H3P,2575,65.55,65.55,5651704.5,9798.453260458433,1753799756033,Synapse54,1753799756033,Synapse54
194,"H3R (Montreal, QC)",H3R,2336,58.84,58.84,5400500.0,9553.23690396402,1753799756033,Synapse54,1753799756033,Synapse54
195,"H3S (Montreal, QC)",H3S,2741,17.25,17.25,5351564.5,9656.774003388971,1753799756033,Synapse54,1753799756033,Synapse54
196,"H3T (Montreal, QC)",H3T,980,13.62,13.62,3607516.5,8899.065890536858,1753799756033,Synapse54,1753799756033,Synapse54
197,"H3V (Montreal, QC)",H3V,412,9.92,9.92,3676769.0,9340.08432806038,1753799756033,Synapse54,1753799756033,Synapse54
198,"H3W (Montreal, QC)",H3W,2831,20.82,20.82,5569083.5,12464.00419712417,1753799756033,Synapse54,1753799756033,Synapse54
199,"H3X (Montreal, QC)",H3X,4662,42.23,42.23,8676070.0,13038.712105834822,1753799756033,Synapse54,1753799756033,Synapse54
200,"H3Y (Montreal, QC)",H3Y,3015,76.91,76.91,5680936.5,10400.46779440301,1753799756033,Synapse54,1753799756033,Synapse54
201,"H3Z (Montreal, QC)",H3Z,1989,36.62,36.62,2971245.0,7979.12833061372,1753799756033,Synapse54,1753799756033,Synapse54
202,"H4A (Montreal, QC)",H4A,5203,41.8,41.8,6339669.0,10830.775097279686,1753799756033,Synapse54,1753799756033,Synapse54
203,"H4B (Montreal, QC)",H4B,2912,24.87,24.87,5495449.5,11430.593825626274,1753799756033,Synapse54,1753799756033,Synapse54
204,"H4C (Montreal, QC)",H4C,2846,27.59,27.59,10079054.5,19231.90024241674,1753799756033,Synapse54,1753799756033,Synapse54
205,"H4E (Montreal, QC)",H4E,5408,33.87,33.87,10446763.5,18116.080205740356,1753799756033,Synapse54,1753799756033,Synapse54
206,"H4G (Verdun, QC)",H4G,4486,26.58,26.58,6200126.5,10435.627645908377,1753799756033,Synapse54,1753799756033,Synapse54
207,"H4H (Verdun, QC)",H4H,2990,33.22,33.22,6500184.5,11023.978149390903,1753799756033,Synapse54,1753799756033,Synapse54
208,"H4J (Montreal, QC)",H4J,2328,30.13,30.13,6400914.5,12111.703398579217,1753799756033,Synapse54,1753799756033,Synapse54
209,"H4K (Montreal, QC)",H4K,2536,61.49,61.49,10268900.0,15365.586434704945,1753799756033,Synapse54,1753799756033,Synapse54
