OBJECTID,DESCRIPTION,ID,P5YHNIAVG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
252,"H9C (Pierrefonds, QC)",H9C,212166.73,212166.73,24503744.5,20531.792890304176,1753801509264,Synapse54,1753801509264,Synapse54
253,"H9E (Pierrefonds, QC)",H9E,199912.48,199912.48,42250333.0,27083.5790617143,1753801509264,Synapse54,1753801509264,Synapse54
254,"H9G (Pointe-Claire-Dorval, QC)",H9G,170615.81,170615.81,8457140.5,12464.539249179079,1753801509264,Synapse54,1753801509264,Synapse54
255,"H9H (Pierrefonds, QC)",H9H,167481.11,167481.11,19613903.5,23879.67204388559,1753801509264,Synapse54,1753801509264,Synapse54
256,"H9J (Pierrefonds, QC)",H9J,188058.09,188058.09,17167469.0,23970.816444803262,1753801509264,Synapse54,1753801509264,Synapse54
257,"H9K (Pierrefonds, QC)",H9K,183176.51,183176.51,30500131.5,26824.382930325875,1753801509264,Synapse54,1753801509264,Synapse54
258,"H9P (Pointe-Claire-Dorval, QC)",H9P,145156.9,145156.9,19498535.0,39692.170261991225,1753801509264,Synapse54,1753801509264,Synapse54
259,"H9R (Pointe-Claire-Dorval, QC)",H9R,161416.16,161416.16,29882299.5,25305.84671237734,1753801509264,Synapse54,1753801509264,Synapse54
260,"H9S (Pointe-Claire-Dorval, QC)",H9S,172301.3,172301.3,78965867.0,44171.880466646624,1753801509264,Synapse54,1753801509264,Synapse54
261,"H9W (Beaconsfield, QC)",H9W,288171.13,288171.13,43852698.0,28888.96518701168,1753801509264,Synapse54,1753801509264,Synapse54
262,"H9X (Sainte-Anne-De-Bellevue, QC)",H9X,219705.46,219705.46,73291956.5,35517.603411509444,1753801509264,Synapse54,1753801509264,Synapse54
263,"J0A (Warwick, QC)",J0A,108656.91,108656.91,2834357143.0,359358.8229727042,1753801509264,Synapse54,1753801509264,Synapse54
264,"J0B (Richmond, QC)",J0B,121175.32,121175.32,10667378133.5,1065896.4278918828,1753801509264,Synapse54,1753801509264,Synapse54
265,"J0C (Saint-Germain-De-Grantham, QC)",J0C,111859.88,111859.88,2217789273.0,543899.6487326861,1753801509264,Synapse54,1753801509264,Synapse54
266,"J0E (Waterloo, QC)",J0E,129705.0,129705.0,4549634499.230469,648394.7017630582,1753801509264,Synapse54,1753801509264,Synapse54
267,"J0G (Saint-Francois-Du-Lac, QC)",J0G,107964.73,107964.73,2514787680.5,333340.5205009883,1753801509264,Synapse54,1753801509264,Synapse54
268,"J0H (Acton Vale, QC)",J0H,116539.85,116539.85,4017334345.9570312,538883.6400762808,1753801509264,Synapse54,1753801509264,Synapse54
269,"J0J (Napierville, QC)",J0J,120026.38,120026.38,3163504441.4609375,385870.6950955986,1753801509264,Synapse54,1753801509264,Synapse54
270,"J0K (Rawdon, QC)",J0K,105687.04,105687.04,29697039721.0,1406950.3334880418,1753801509264,Synapse54,1753801509264,Synapse54
271,"J0L (Saint-Amable, QC)",J0L,131660.35,131660.35,2780902762.0429688,596544.2844540038,1753801509264,Synapse54,1753801509264,Synapse54
272,"J0M (Chisasibi, QC)",J0M,147076.35,147076.35,2507274503756.0,24396187.397056405,1753801509264,Synapse54,1753801509264,Synapse54
273,"J0N (Sainte-Marthe-Sur-Le-Lac, QC)",J0N,143515.84,143515.84,341790001.0,92049.64421828423,1753801509264,Synapse54,1753801509264,Synapse54
274,"J0P (Saint-Zotique, QC)",J0P,138975.59,138975.59,1320873265.0,299819.56036801497,1753801509264,Synapse54,1753801509264,Synapse54
275,"J0R (Saint-Sauveur, QC)",J0R,143489.32,143489.32,549507968.0,153164.86554496005,1753801509264,Synapse54,1753801509264,Synapse54
276,"J0S (Sainte-Martine, QC)",J0S,112927.96,112927.96,3261392891.5,373681.8522427627,1753801509264,Synapse54,1753801509264,Synapse54
277,"J0T (Saint-Donat-De-Montcalm, QC)",J0T,110175.05,110175.05,10294024616.5,948593.2698027412,1753801509264,Synapse54,1753801509264,Synapse54
278,"J0V (Saint-Andre-Avellin, QC)",J0V,103126.86,103126.86,5169637352.5,604696.2148960141,1753801509264,Synapse54,1753801509264,Synapse54
279,"J0W (Lac-Des-Ecorces, QC)",J0W,94688.75,94688.75,72760667284.5,2116484.49890364,1753801509264,Synapse54,1753801509264,Synapse54
280,"J0X (Wakefield, QC)",J0X,117432.02,117432.02,18401542242.5,1302599.5812032141,1753801509264,Synapse54,1753801509264,Synapse54
281,"J0Y (Malartic, QC)",J0Y,126070.82,126070.82,223534310999.0,3278730.6722274064,1753801509264,Synapse54,1753801509264,Synapse54
282,"J0Z (Lorrainville, QC)",J0Z,117440.14,117440.14,59867601510.0,2216439.0400546975,1753801509264,Synapse54,1753801509264,Synapse54
283,"J1A (Coaticook, QC)",J1A,100402.19,100402.19,568143726.5,138682.11350637994,1753801509264,Synapse54,1753801509264,Synapse54
284,"J1C (Sherbrooke, QC)",J1C,124431.25,124431.25,148314795.5,58854.95341782354,1753801509264,Synapse54,1753801509264,Synapse54
285,"J1E (Sherbrooke, QC)",J1E,90350.61,90350.61,36392307.5,31305.785200373433,1753801509264,Synapse54,1753801509264,Synapse54
286,"J1G (Sherbrooke, QC)",J1G,108114.77,108114.77,23722537.5,26568.26494121696,1753801509264,Synapse54,1753801509264,Synapse54
287,"J1H (Sherbrooke, QC)",J1H,82690.34,82690.34,90156997.5,95524.0591322304,1753801509264,Synapse54,1753801509264,Synapse54
288,"J1J (Sherbrooke, QC)",J1J,127256.36,127256.36,14850239.5,21529.415696903085,1753801509264,Synapse54,1753801509264,Synapse54
289,"J1K (Sherbrooke, QC)",J1K,103301.34,103301.34,14646372.0,20632.820225363073,1753801509264,Synapse54,1753801509264,Synapse54
290,"J1L (Sherbrooke, QC)",J1L,107242.1,107242.1,27073074.0,24825.97616578884,1753801509264,Synapse54,1753801509264,Synapse54
291,"J1M (Sherbrooke, QC)",J1M,114749.3,114749.3,66319442.5,51850.27975629163,1753801509264,Synapse54,1753801509264,Synapse54
292,"J1N (Sherbrooke, QC)",J1N,142523.35,142523.35,196798113.5,75865.43435097949,1753801509264,Synapse54,1753801509264,Synapse54
