OBJECTID,DESCRIPTION,ID,P5YHNIAVG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
363,"J6E (Joliette, QC)",J6E,101396.93,101396.93,137214208.0,95275.2587794035,1753801509264,Synapse54,1753801509264,Synapse54
364,"J6J (Chateauguay, QC)",J6J,126217.75,126217.75,74217052.0,72123.22068999698,1753801509264,Synapse54,1753801509264,Synapse54
365,"J6K (Chateauguay, QC)",J6K,127922.51,127922.51,20188406.0,28536.15419577854,1753801509264,Synapse54,1753801509264,Synapse54
366,"J6N (Beauharnois, QC)",J6N,116134.47,116134.47,233462281.0,99024.33793574793,1753801509264,Synapse54,1753801509264,Synapse54
367,"J6R (Mercier, QC)",J6R,152115.95,152115.95,115347180.0,49311.90260299979,1753801509264,Synapse54,1753801509264,Synapse54
368,"J6S (Salaberry-De-Valleyfield, QC)",J6S,105450.54,105450.54,210261044.5,73467.37727321035,1753801509264,Synapse54,1753801509264,Synapse54
369,"J6T (Salaberry-De-Valleyfield, QC)",J6T,96551.42,96551.42,46981135.0,36756.956833154014,1753801509264,Synapse54,1753801509264,Synapse54
370,"J6V (Terrebonne, QC)",J6V,171509.1,171509.1,60800572.0,35889.68273881664,1753801509264,Synapse54,1753801509264,Synapse54
371,"J6W (Terrebonne, QC)",J6W,135809.95,135809.95,39136671.0,33325.59650886826,1753801509264,Synapse54,1753801509264,Synapse54
372,"J6X (Terrebonne, QC)",J6X,144386.89,144386.89,60225849.5,43095.169343531845,1753801509264,Synapse54,1753801509264,Synapse54
373,"J6Y (Terrebonne, QC)",J6Y,170760.09,170760.09,81550557.0,61201.9952124608,1753801509264,Synapse54,1753801509264,Synapse54
374,"J6Z (Rosemere, QC)",J6Z,177455.91,177455.91,22537924.0,22963.79436186629,1753801509264,Synapse54,1753801509264,Synapse54
375,"J7A (Rosemere, QC)",J7A,193368.55,193368.55,24339416.5,22941.14213233615,1753801509264,Synapse54,1753801509264,Synapse54
376,"J7B (Boisbriand, QC)",J7B,276250.79,276250.79,14667986.5,16792.064136555553,1753801509264,Synapse54,1753801509264,Synapse54
377,"J7C (Boisbriand, QC)",J7C,161045.89,161045.89,94216134.5,48996.310543076004,1753801509264,Synapse54,1753801509264,Synapse54
378,"J7E (Boisbriand, QC)",J7E,116265.79,116265.79,38942666.0,66768.75062873606,1753801509264,Synapse54,1753801509264,Synapse54
379,"J7G (Boisbriand, QC)",J7G,147221.34,147221.34,24826343.0,22844.466974416475,1753801509264,Synapse54,1753801509264,Synapse54
380,"J7H (Boisbriand, QC)",J7H,138915.03,138915.03,18524557.5,29683.633390851617,1753801509264,Synapse54,1753801509264,Synapse54
