OBJECTID,DESCRIPTION,ID,HSTE001,HSTE001_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
247,"H8T (Pointe-Claire-Dorval, QC)",H8T,738681853.58,113818.47,113818.47,21610415.0,20729.17122189251,1753809572619,Synapse54,1753809572619,Synapse54
248,"H8Y (Roxboro, QC)",H8Y,791071306.82,105265.64,105265.64,14039619.0,22252.616674527148,1753809572619,Synapse54,1753809572619,Synapse54
249,"H8Z (Roxboro, QC)",H8Z,626330831.99,106663.97,106663.97,11082242.5,14451.759662340886,1753809572619,Synapse54,1753809572619,Synapse54
250,"H9A (Pierrefonds, QC)",H9A,956941279.08,154469.94,154469.94,9353959.0,13155.163982221264,1753809572619,Synapse54,1753809572619,Synapse54
251,"H9B (Roxboro, QC)",H9B,908685462.89,117189.25,117189.25,14796114.0,18421.91025899604,1753809572619,Synapse54,1753809572619,Synapse54
252,"H9C (Pierrefonds, QC)",H9C,693568740.71,161897.47,161897.47,24503744.5,20531.792890304176,1753809572619,Synapse54,1753809572619,Synapse54
253,"H9E (Pierrefonds, QC)",H9E,219152589.66,168838.67,168838.67,42250333.0,27083.5790617143,1753809572619,Synapse54,1753809572619,Synapse54
254,"H9G (Pointe-Claire-Dorval, QC)",H9G,785529816.74,132713.27,132713.27,8457140.5,12464.539249179079,1753809572619,Synapse54,1753809572619,Synapse54
255,"H9H (Pierrefonds, QC)",H9H,1243724739.73,129177.89,129177.89,19613903.5,23879.67204388559,1753809572619,Synapse54,1753809572619,Synapse54
256,"H9J (Pierrefonds, QC)",H9J,1140708338.25,146225.91,146225.91,17167469.0,23970.816444803262,1753809572619,Synapse54,1753809572619,Synapse54
257,"H9K (Pierrefonds, QC)",H9K,489426512.91,147773.71,147773.71,30500131.5,26824.382930325875,1753809572619,Synapse54,1753809572619,Synapse54
258,"H9P (Pointe-Claire-Dorval, QC)",H9P,179199465.28,112350.76,112350.76,19498535.0,39692.170261991225,1753809572619,Synapse54,1753809572619,Synapse54
259,"H9R (Pointe-Claire-Dorval, QC)",H9R,1354292440.46,125420.67,125420.67,29882299.5,25305.84671237734,1753809572619,Synapse54,1753809572619,Synapse54
260,"H9S (Pointe-Claire-Dorval, QC)",H9S,1532848438.93,137598.6,137598.6,78965867.0,44171.880466646624,1753809572619,Synapse54,1753809572619,Synapse54
261,"H9W (Beaconsfield, QC)",H9W,1677924004.23,235994.94,235994.94,43852698.0,28888.96518701168,1753809572619,Synapse54,1753809572619,Synapse54
262,"H9X (Sainte-Anne-De-Bellevue, QC)",H9X,710617130.44,179041.86,179041.86,73291956.5,35517.603411509444,1753809572619,Synapse54,1753809572619,Synapse54
263,"J0A (Warwick, QC)",J0A,744863899.47,87312.61,87312.61,2834357143.0,359358.8229727042,1753809572619,Synapse54,1753809572619,Synapse54
264,"J0B (Richmond, QC)",J0B,2763913991.27,94071.47,94071.47,10667378133.5,1065896.4278918828,1753809572619,Synapse54,1753809572619,Synapse54
265,"J0C (Saint-Germain-De-Grantham, QC)",J0C,904153770.82,90988.61,90988.61,2217789273.0,543899.6487326861,1753809572619,Synapse54,1753809572619,Synapse54
266,"J0E (Waterloo, QC)",J0E,2647555300.22,103772.79,103772.79,4549634499.230469,648394.7017630582,1753809572619,Synapse54,1753809572619,Synapse54
267,"J0G (Saint-Francois-Du-Lac, QC)",J0G,745750577.95,87632.27,87632.27,2514787680.5,333340.5205009883,1753809572619,Synapse54,1753809572619,Synapse54
268,"J0H (Acton Vale, QC)",J0H,2179823626.84,95143.1,95143.1,4017334345.9570312,538883.6400762808,1753809572619,Synapse54,1753809572619,Synapse54
269,"J0J (Napierville, QC)",J0J,1782831722.39,97125.28,97125.28,3163504441.4609375,385870.6950955986,1753809572619,Synapse54,1753809572619,Synapse54
270,"J0K (Rawdon, QC)",J0K,6422603270.41,86266.18,86266.18,29697039721.0,1406950.3334880418,1753809572619,Synapse54,1753809572619,Synapse54
271,"J0L (Saint-Amable, QC)",J0L,4048502682.91,105112.23,105112.23,2780902762.0429688,596544.2844540038,1753809572619,Synapse54,1753809572619,Synapse54
272,"J0M (Chisasibi, QC)",J0M,698149413.24,99892.6,99892.6,2507274503756.0,24396187.397056405,1753809572619,Synapse54,1753809572619,Synapse54
273,"J0N (Sainte-Marthe-Sur-Le-Lac, QC)",J0N,1831718809.38,116647.7,116647.7,341790001.0,92049.64421828423,1753809572619,Synapse54,1753809572619,Synapse54
274,"J0P (Saint-Zotique, QC)",J0P,2132554966.4,115341.82,115341.82,1320873265.0,299819.56036801497,1753809572619,Synapse54,1753809572619,Synapse54
275,"J0R (Saint-Sauveur, QC)",J0R,2184184413.29,115254.31,115254.31,549507968.0,153164.86554496005,1753809572619,Synapse54,1753809572619,Synapse54
276,"J0S (Sainte-Martine, QC)",J0S,1461577390.17,91075.36,91075.36,3261392891.5,373681.8522427627,1753809572619,Synapse54,1753809572619,Synapse54
277,"J0T (Saint-Donat-De-Montcalm, QC)",J0T,2543348936.29,90112.99,90112.99,10294024616.5,948593.2698027412,1753809572619,Synapse54,1753809572619,Synapse54
278,"J0V (Saint-Andre-Avellin, QC)",J0V,1125898047.8,83171.9,83171.9,5169637352.5,604696.2148960141,1753809572619,Synapse54,1753809572619,Synapse54
279,"J0W (Lac-Des-Ecorces, QC)",J0W,677399958.89,77425.99,77425.99,72760667284.5,2116484.49890364,1753809572619,Synapse54,1753809572619,Synapse54
280,"J0X (Wakefield, QC)",J0X,2091024929.31,94020.91,94020.91,18401542242.5,1302599.5812032141,1753809572619,Synapse54,1753809572619,Synapse54
281,"J0Y (Malartic, QC)",J0Y,1112095251.23,96544.43,96544.43,223534310999.0,3278730.6722274064,1753809572619,Synapse54,1753809572619,Synapse54
282,"J0Z (Lorrainville, QC)",J0Z,1372722058.0,90999.14,90999.14,59867601510.0,2216439.0400546975,1753809572619,Synapse54,1753809572619,Synapse54
283,"J1A (Coaticook, QC)",J1A,345717005.08,78269.64,78269.64,568143726.5,138682.11350637994,1753809572619,Synapse54,1753809572619,Synapse54
284,"J1C (Sherbrooke, QC)",J1C,283603021.39,99127.24,99127.24,148314795.5,58854.95341782354,1753809572619,Synapse54,1753809572619,Synapse54
285,"J1E (Sherbrooke, QC)",J1E,967394039.98,71648.2,71648.2,36392307.5,31305.785200373433,1753809572619,Synapse54,1753809572619,Synapse54
286,"J1G (Sherbrooke, QC)",J1G,799031035.61,83896.58,83896.58,23722537.5,26568.26494121696,1753809572619,Synapse54,1753809572619,Synapse54
287,"J1H (Sherbrooke, QC)",J1H,1106694069.41,64380.11,64380.11,90156997.5,95524.0591322304,1753809572619,Synapse54,1753809572619,Synapse54
