OBJECTID,DESCRIPTION,ID,MP10120A_B,MP10120A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
357,32907 (Palm Bay),32907,2635,7.03,7.03,81138750.0,52440.08980653843,1754587961394,Synapse54,1754587961394,Synapse54
358,32908 (Palm Bay),32908,1225,8.77,8.77,113862500.0,56126.11122869613,1754587961394,Synapse54,1754587961394,Synapse54
359,32909 (Palm Bay),32909,2658,7.34,7.34,191903750.0,74381.91055089344,1754587961394,Synapse54,1754587961394,Synapse54
360,32920 (Cape Canaveral),32920,555,6.21,6.21,15501250.0,41579.00897382711,1754587961394,Synapse54,1754587961394,Synapse54
361,32922 (Cocoa),32922,1092,8.54,8.54,18673750.0,26748.834636156622,1754587961394,Synapse54,1754587961394,Synapse54
362,32925 (Patrick AFB),32925,101,9.95,9.95,107173750.0,115957.1387162919,1754587961394,Synapse54,1754587961394,Synapse54
363,32926 (Cocoa),32926,1405,6.74,6.74,190591250.0,89496.0705544162,1754587961394,Synapse54,1754587961394,Synapse54
364,32927 (Cocoa),32927,1674,7.13,7.13,82403750.0,44530.09975392833,1754587961394,Synapse54,1754587961394,Synapse54
365,32931 (Cocoa Beach),32931,628,5.0,5.0,18839739.447265625,134655.18399724847,1754587961394,Synapse54,1754587961394,Synapse54
366,32934 (Melbourne),32934,1117,6.35,6.35,75047500.0,47807.32231168002,1754587961394,Synapse54,1754587961394,Synapse54
367,32935 (Melbourne),32935,2651,7.89,7.89,40405000.0,37844.43131945516,1754587961394,Synapse54,1754587961394,Synapse54
368,32937 (Satellite Beach),32937,1542,6.63,6.63,23597500.0,37999.917830471146,1754587961394,Synapse54,1754587961394,Synapse54
369,32940 (Melbourne),32940,2867,6.34,6.34,94955000.0,50318.685330316366,1754587961394,Synapse54,1754587961394,Synapse54
370,32948 (Fellsmere),32948,320,6.57,6.57,345822500.0,92072.4391802513,1754587961394,Synapse54,1754587961394,Synapse54
371,32949 (Grant),32949,119,4.2,4.2,55436250.0,43901.80446988138,1754587961394,Synapse54,1754587961394,Synapse54
372,32950 (Malabar),32950,202,5.21,5.21,66666250.0,38639.65019887783,1754587961394,Synapse54,1754587961394,Synapse54
373,32951 (Melbourne Beach),32951,400,3.84,3.84,28582724.568359375,111193.21933724539,1754587961394,Synapse54,1754587961394,Synapse54
374,32952 (Merritt Island),32952,1089,6.13,6.13,44630000.0,143680.55171918622,1754587961394,Synapse54,1754587961394,Synapse54
375,32953 (Merritt Island),32953,1463,7.05,7.05,120550833.33007812,97921.78169926269,1754587961394,Synapse54,1754587961394,Synapse54
376,32955 (Rockledge),32955,2546,7.34,7.34,217613750.0,80945.73512746864,1754587961394,Synapse54,1754587961394,Synapse54
377,32958 (Sebastian),32958,1226,4.61,4.61,75746250.0,60922.975110695894,1754587961394,Synapse54,1754587961394,Synapse54
378,32960 (Vero Beach),32960,1361,7.25,7.25,38725000.0,25974.534007068753,1754587961394,Synapse54,1754587961394,Synapse54
379,32962 (Vero Beach),32962,1456,6.53,6.53,41065000.0,32505.087783588075,1754587961394,Synapse54,1754587961394,Synapse54
