OBJECTID,DESCRIPTION,ID,X14068_X,X14068_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
119,32266 (Neptune Beach),32266,14324599,4472.24,4472.24,9062500.0,13335.080168438277,1754588103351,Synapse54,1754588103351,Synapse54
120,32277 (Jacksonville),32277,26847224,2220.25,2220.25,24528750.0,38807.5883494788,1754588103351,Synapse54,1754588103351,Synapse54
121,32301 (Tallahassee),32301,29578088,1964.8,1964.8,38680000.0,40367.83146078246,1754588103351,Synapse54,1754588103351,Synapse54
122,32303 (Tallahassee),32303,54850555,2567.07,2567.07,140372500.0,85218.77527253964,1754588103351,Synapse54,1754588103351,Synapse54
123,32304 (Tallahassee),32304,24483171,1173.97,1173.97,56090000.0,53901.472732338276,1754588103351,Synapse54,1754588103351,Synapse54
124,32305 (Tallahassee),32305,16672526,2063.18,2063.18,325016250.0,123492.51771999865,1754588103351,Synapse54,1754588103351,Synapse54
125,32306 (Tallahassee),32306,0,0.0,0.0,895000.0,4693.147408092246,1754588103351,Synapse54,1754588103351,Synapse54
126,32307 (Tallahassee),32307,944,944.0,944.0,416250.0,2752.769256906871,1754588103351,Synapse54,1754588103351,Synapse54
127,32308 (Tallahassee),32308,36263063,3163.49,3163.49,50062500.0,38065.325049785235,1754588103351,Synapse54,1754588103351,Synapse54
128,32309 (Tallahassee),32309,46166487,3675.68,3675.68,454176250.0,129589.67442891216,1754588103351,Synapse54,1754588103351,Synapse54
129,32310 (Tallahassee),32310,12003661,1669.96,1669.96,591277500.0,150037.1444402268,1754588103351,Synapse54,1754588103351,Synapse54
130,32311 (Tallahassee),32311,33320949,3257.18,3257.18,272900000.0,111832.1119120944,1754588103351,Synapse54,1754588103351,Synapse54
131,32312 (Tallahassee),32312,57418205,4326.27,4326.27,372215000.0,135252.91772116843,1754588103351,Synapse54,1754588103351,Synapse54
132,32317 (Tallahassee),32317,23438844,3990.95,3990.95,152206250.0,63049.81455123837,1754588103351,Synapse54,1754588103351,Synapse54
133,32320 (Apalachicola),32320,3361251,1942.92,1942.92,227960000.0,198617.58464167797,1754588103351,Synapse54,1754588103351,Synapse54
134,32321 (Bristol),32321,3068600,1729.76,1729.76,1277885000.0,274280.7957321937,1754588103351,Synapse54,1754588103351,Synapse54
135,32322 (Carrabelle),32322,3059691,2191.76,2191.76,571215000.0,205768.4535621271,1754588103351,Synapse54,1754588103351,Synapse54
136,32323 (Lanark Village),32323,311703,2710.46,2710.46,342500.0,3574.5362014289094,1754588103351,Synapse54,1754588103351,Synapse54
137,32324 (Chattahoochee),32324,2300885,1535.97,1535.97,232218750.0,87676.51201202611,1754588103351,Synapse54,1754588103351,Synapse54
138,32327 (Crawfordville),32327,29134567,2485.25,2485.25,1226549550.8632812,454599.29712426825,1754588103351,Synapse54,1754588103351,Synapse54
139,32328 (Eastpoint),32328,3960902,2477.11,2477.11,971342500.0,459915.23595752876,1754588103351,Synapse54,1754588103351,Synapse54
140,32330 (Greensboro),32330,3582,1194.0,1194.0,143750.0,1591.0063789993565,1754588103351,Synapse54,1754588103351,Synapse54
141,32331 (Greenville),32331,3101897,1798.2,1798.2,1354316250.0,275730.7187950052,1754588103351,Synapse54,1754588103351,Synapse54
142,32332 (Gretna),32332,733261,1357.89,1357.89,11868750.0,23025.098997571473,1754588103351,Synapse54,1754588103351,Synapse54
143,32333 (Havana),32333,9351832,1969.22,1969.22,374488735.2949219,125533.51220048688,1754588103351,Synapse54,1754588103351,Synapse54
144,32334 (Hosford),32334,1403815,1955.17,1955.17,1657302500.0,272287.9827384704,1754588103351,Synapse54,1754588103351,Synapse54
145,32336 (Lamont),32336,1179187,1708.97,1708.97,1040231250.0,286815.9523599527,1754588103351,Synapse54,1754588103351,Synapse54
146,32337 (Lloyd),32337,40737,2546.06,2546.06,502500.0,3102.9858812935154,1754588103351,Synapse54,1754588103351,Synapse54
147,32340 (Madison),32340,6741221,1645.0,1645.0,914758750.0,226872.91591040554,1754588103351,Synapse54,1754588103351,Synapse54
148,32343 (Midway),32343,2124872,1764.84,1764.84,37405000.0,48263.60652730696,1754588103351,Synapse54,1754588103351,Synapse54
149,32344 (Monticello),32344,11017974,2051.38,2051.38,1148767500.0,247219.62189251915,1754588103351,Synapse54,1754588103351,Synapse54
150,32346 (Panacea),32346,2171405,2250.16,2250.16,150716408.4609375,288277.33258256677,1754588103351,Synapse54,1754588103351,Synapse54
151,32347 (Perry),32347,6681390,2135.99,2135.99,1557509699.2226562,362969.0738432816,1754588103351,Synapse54,1754588103351,Synapse54
152,32348 (Perry),32348,7172951,1791.89,1791.89,1410469573.125,291966.04448836774,1754588103351,Synapse54,1754588103351,Synapse54
153,32350 (Pinetta),32350,1081836,1809.09,1809.09,160310000.0,71719.3571554621,1754588103351,Synapse54,1754588103351,Synapse54
154,32351 (Quincy),32351,10153739,1547.12,1547.12,841310000.0,212959.33254663987,1754588103351,Synapse54,1754588103351,Synapse54
155,32352 (Quincy),32352,3107510,1361.75,1361.75,355733750.0,99867.74050022653,1754588103351,Synapse54,1754588103351,Synapse54
156,32355 (Saint Marks),32355,337389,2595.3,2595.3,3497500.0,8466.3748805944,1754588103351,Synapse54,1754588103351,Synapse54
157,32356 (Salem),32356,78112,2231.77,2231.77,129766250.0,58134.81273257344,1754588103351,Synapse54,1754588103351,Synapse54
158,32358 (Sopchoppy),32358,2568431,2550.58,2550.58,894877009.6113281,232514.207643592,1754588103351,Synapse54,1754588103351,Synapse54
159,32359 (Steinhatchee),32359,1957697,2177.64,2177.64,476036777.3691406,235338.11215021272,1754588103351,Synapse54,1754588103351,Synapse54
160,32360 (Telogia),32360,0,0.0,0.0,458750.0,2646.697432601785,1754588103351,Synapse54,1754588103351,Synapse54
161,32399 (Tallahassee),32399,0,0.0,0.0,242500.0,2533.508749109257,1754588103351,Synapse54,1754588103351,Synapse54
162,32401 (Panama City),32401,16726756,1907.05,1907.05,37580000.0,71785.59289499267,1754588103351,Synapse54,1754588103351,Synapse54
163,32403 (Panama City),32403,209381,2719.23,2719.23,213520000.0,232821.54699184545,1754588103351,Synapse54,1754588103351,Synapse54
164,32404 (Panama City),32404,42073353,2554.54,2554.54,707493750.0,280706.09174980834,1754588103351,Synapse54,1754588103351,Synapse54
165,32405 (Panama City),32405,31319581,2509.98,2509.98,65865111.919921875,70063.50181960287,1754588103351,Synapse54,1754588103351,Synapse54
166,32407 (Panama City Beach),32407,24519760,3065.35,3065.35,67396594.85351562,66712.27179463478,1754588103351,Synapse54,1754588103351,Synapse54
167,32408 (Panama City),32408,24674114,2901.81,2901.81,36592556.1796875,92086.45171354171,1754588103351,Synapse54,1754588103351,Synapse54
168,32409 (Panama City),32409,9069433,2470.56,2470.56,535931250.0,201878.82993092385,1754588103351,Synapse54,1754588103351,Synapse54
169,32413 (Panama City Beach),32413,25796020,3124.52,3124.52,321423221.9316406,150403.77839008538,1754588103351,Synapse54,1754588103351,Synapse54
170,32420 (Alford),32420,1745340,1670.18,1670.18,208651250.0,88470.38594817699,1754588103351,Synapse54,1754588103351,Synapse54
171,32421 (Altha),32421,2971934,1795.73,1795.73,541116250.0,182010.1889345969,1754588103351,Synapse54,1754588103351,Synapse54
172,32423 (Bascom),32423,752406,1495.84,1495.84,250790416.66796875,112238.04606352194,1754588103351,Synapse54,1754588103351,Synapse54
173,32424 (Blountstown),32424,4213930,1968.21,1968.21,544576250.0,175919.06207446358,1754588103351,Synapse54,1754588103351,Synapse54
174,32425 (Bonifay),32425,8875934,1701.02,1701.02,973843750.0,180005.753022048,1754588103351,Synapse54,1754588103351,Synapse54
175,32426 (Campbellton),32426,544316,1541.97,1541.97,163367500.0,71767.80457763003,1754588103351,Synapse54,1754588103351,Synapse54
176,32427 (Caryville),32427,768640,1418.15,1418.15,186842500.0,92635.47742056372,1754588103351,Synapse54,1754588103351,Synapse54
177,32428 (Chipley),32428,11769846,1790.09,1790.09,1027001250.0,203321.2045567596,1754588103351,Synapse54,1754588103351,Synapse54
178,32430 (Clarksville),32430,1070737,1912.03,1912.03,256593750.0,114065.26561112957,1754588103351,Synapse54,1754588103351,Synapse54
179,32431 (Cottondale),32431,3327925,1655.68,1655.68,369447500.0,140251.89105623393,1754588103351,Synapse54,1754588103351,Synapse54
180,32433 (Defuniak Springs),32433,14064744,1957.51,1957.51,952751250.0,223033.87468424859,1754588103351,Synapse54,1754588103351,Synapse54
181,32435 (Defuniak Springs),32435,6722910,2185.6,2185.6,968508750.0,198731.32877934736,1754588103351,Synapse54,1754588103351,Synapse54
182,32437 (Ebro),32437,420827,1676.6,1676.6,113285000.0,84471.03065248832,1754588103351,Synapse54,1754588103351,Synapse54
183,32438 (Fountain),32438,2690125,1571.33,1571.33,213026250.0,82845.5407387841,1754588103351,Synapse54,1754588103351,Synapse54
184,32439 (Freeport),32439,23089015,3070.35,3070.35,543667500.0,211462.01881704378,1754588103351,Synapse54,1754588103351,Synapse54
185,32440 (Graceville),32440,4205715,1909.95,1909.95,373083750.0,111936.50786829283,1754588103351,Synapse54,1754588103351,Synapse54
186,32442 (Grand Ridge),32442,2580775,1709.12,1709.12,347035000.0,148855.50230548473,1754588103351,Synapse54,1754588103351,Synapse54
187,32443 (Greenwood),32443,2221428,1843.51,1843.51,204275000.0,93723.78450388387,1754588103351,Synapse54,1754588103351,Synapse54
188,32444 (Lynn Haven),32444,23453648,2949.4,2949.4,34196397.01171875,63221.47229181387,1754588103351,Synapse54,1754588103351,Synapse54
189,32445 (Malone),32445,620825,1447.14,1447.14,68053750.0,42547.06314612425,1754588103351,Synapse54,1754588103351,Synapse54
190,32446 (Marianna),32446,8818760,2276.4,2276.4,605728750.0,199870.43853141012,1754588103351,Synapse54,1754588103351,Synapse54
191,32448 (Marianna),32448,6516621,1798.68,1798.68,682997500.0,162313.89741455344,1754588103351,Synapse54,1754588103351,Synapse54
192,32449 (Wewahitchka),32449,279558,1164.83,1164.83,344855000.0,95723.65512915183,1754588103351,Synapse54,1754588103351,Synapse54
193,32455 (Ponce de Leon),32455,3237599,1714.83,1714.83,745470000.0,277789.0951494201,1754588103351,Synapse54,1754588103351,Synapse54
194,32456 (Port Saint Joe),32456,11666333,3020.8,3020.8,744630000.0,267348.28890102176,1754588103351,Synapse54,1754588103351,Synapse54
195,32459 (Santa Rosa Beach),32459,50594540,4630.23,4630.23,241349250.0,153766.13432376256,1754588103351,Synapse54,1754588103351,Synapse54
196,32460 (Sneads),32460,2693300,1729.8,1729.8,288273333.33203125,132459.04683759535,1754588103351,Synapse54,1754588103351,Synapse54
197,32461 (Inlet Beach),32461,10029671,6141.87,6141.87,25270000.0,32366.103860628053,1754588103351,Synapse54,1754588103351,Synapse54
198,32462 (Vernon),32462,2530040,1613.55,1613.55,718382500.0,269536.5218187834,1754588103351,Synapse54,1754588103351,Synapse54
199,32464 (Westville),32464,2945278,1774.26,1774.26,624826250.0,206583.6343216083,1754588103351,Synapse54,1754588103351,Synapse54
200,32465 (Wewahitchka),32465,5376283,2014.34,2014.34,1236780000.0,216932.6082222009,1754588103351,Synapse54,1754588103351,Synapse54
201,32466 (Youngstown),32466,5956026,2501.48,2501.48,703891833.3320312,244164.0119252054,1754588103351,Synapse54,1754588103351,Synapse54
202,32501 (Pensacola),32501,11527484,2455.79,2455.79,12873750.0,19709.286715847433,1754588103351,Synapse54,1754588103351,Synapse54
203,32502 (Pensacola),32502,7128770,2976.52,2976.52,8832500.0,25086.287369916005,1754588103351,Synapse54,1754588103351,Synapse54
204,32503 (Pensacola),32503,38664402,2915.87,2915.87,43551250.0,52833.43353884332,1754588103351,Synapse54,1754588103351,Synapse54
